STNAM,FIPST,LEAID,leanm10,ALL_MTH04numvalid_1011,ALL_MTH04pctprof_1011,ECD_MTH04numvalid_1011,ECD_MTH04pctprof_1011,HOM_MTH04numvalid_1011,HOM_MTH04pctprof_1011,ALL_MTH08numvalid_1011,ALL_MTH08pctprof_1011,ECD_MTH08numvalid_1011,ECD_MTH08pctprof_1011,HOM_MTH08numvalid_1011,HOM_MTH08pctprof_1011
ALABAMA,1,100002,Alabama Youth Services,,,,,,,31.0,24.0,,,1.0,
ALABAMA,1,100005,Albertville City,320.0,89.0,221.0,87.0,5.0,,267.0,77.0,169.0,72.0,9.0,25.0
ALABAMA,1,100006,Marshall County,422.0,91.0,323.0,90.0,38.0,84.0,427.0,85.0,286.0,82.0,28.0,70.0
ALABAMA,1,100007,Hoover City,1036.0,86.0,232.0,67.0,4.0,,1032.0,93.0,214.0,82.0,1.0,
ALABAMA,1,100008,Madison City,605.0,89.0,136.0,72.0,1.0,,747.0,92.0,124.0,77.0,1.0,
ALABAMA,1,100009,Al Inst Deaf And Blind,18.0,10.0,,,,,23.0,30.0,,,,
ALABAMA,1,100011,Leeds City,113.0,77.0,69.0,72.0,12.0,25.0,119.0,77.0,73.0,72.0,5.0,
ALABAMA,1,100012,Boaz City,161.0,77.0,96.0,62.0,4.0,,177.0,87.0,91.0,77.0,3.0,
ALABAMA,1,100013,Trussville City,320.0,90.0,20.0,70.0,,,327.0,88.0,35.0,45.0,,
ALABAMA,1,100018,Alabama School of Fine Arts,,,,,,,48.0,45.0,,,,
ALABAMA,1,100030,Alexander City,237.0,87.0,141.0,82.0,,,254.0,82.0,147.0,72.0,,
ALABAMA,1,100033,Glenwood Mental Health Service,,,,,,,1.0,,,,,
ALABAMA,1,100035,Learning Tree Inc,5.0,,,,,,7.0,25.0,,,,
ALABAMA,1,100042,Laurel Oaks Behavioral Health,,,,,,,2.0,,,,,
ALABAMA,1,100060,Andalusia City,120.0,87.0,58.0,74.0,,,140.0,82.0,70.0,72.0,,
ALABAMA,1,100090,Anniston City,194.0,67.0,174.0,62.0,41.0,54.0,126.0,42.0,113.0,42.0,7.0,25.0
ALABAMA,1,100100,Arab City,171.0,48.0,49.0,45.0,9.0,25.0,233.0,48.0,68.0,92.0,7.0,25.0
ALABAMA,1,100120,Athens City,238.0,82.0,128.0,77.0,2.0,,232.0,87.0,101.0,77.0,,
ALABAMA,1,100180,Attalla City,83.0,82.0,67.0,77.0,,,184.0,67.0,133.0,62.0,2.0,
ALABAMA,1,100183,Alabama Clinical School,,,,,,,1.0,,,,,
ALABAMA,1,100185,Saraland City,148.0,82.0,81.0,77.0,1.0,,179.0,92.0,87.0,92.0,,
ALABAMA,1,100186,Father Purcell Center,2.0,,,,,,1.0,,,,,
ALABAMA,1,100187,Father Walters Ctr,2.0,,,,,,1.0,,,,,
ALABAMA,1,100210,Auburn City,562.0,91.0,161.0,77.0,,,510.0,86.0,145.0,67.0,,
ALABAMA,1,100240,Autauga County,792.0,91.0,384.0,88.0,1.0,,761.0,89.0,330.0,82.0,,
ALABAMA,1,100270,Baldwin County,2263.0,86.0,1119.0,80.0,15.0,25.0,2130.0,84.0,894.0,76.0,10.0,25.0
ALABAMA,1,100300,Barbour County,92.0,52.0,88.0,52.0,,,71.0,52.0,65.0,52.0,,
ALABAMA,1,100330,Bessemer City,374.0,80.0,340.0,81.0,17.0,70.0,308.0,83.0,277.0,82.0,17.0,40.0
ALABAMA,1,100360,Bibb County,280.0,72.0,174.0,72.0,,,290.0,72.0,182.0,67.0,2.0,
ALABAMA,1,100390,Birmingham City,2075.0,73.0,1840.0,72.0,13.0,25.0,1813.0,65.0,1528.0,63.0,8.0,25.0
ALABAMA,1,100420,Blount County,688.0,76.0,410.0,71.0,10.0,25.0,695.0,67.0,378.0,61.0,1.0,
ALABAMA,1,100450,Brewton City,86.0,92.0,43.0,84.0,,,98.0,87.0,60.0,84.0,,
ALABAMA,1,100480,Bullock County,111.0,77.0,109.0,82.0,2.0,,120.0,32.0,118.0,32.0,1.0,
ALABAMA,1,100510,Butler County,240.0,82.0,180.0,82.0,,,257.0,72.0,188.0,67.0,4.0,
ALABAMA,1,100540,Calhoun County,761.0,80.0,448.0,75.0,36.0,74.0,749.0,77.0,433.0,71.0,20.0,70.0
ALABAMA,1,100600,Chambers County,292.0,77.0,206.0,72.0,1.0,,288.0,67.0,200.0,62.0,,
ALABAMA,1,100630,Cherokee County,314.0,77.0,198.0,72.0,41.0,54.0,284.0,77.0,169.0,72.0,13.0,25.0
ALABAMA,1,100660,Chilton County,639.0,81.0,434.0,78.0,4.0,,538.0,68.0,319.0,62.0,2.0,
ALABAMA,1,100690,Choctaw County,157.0,72.0,129.0,72.0,,,150.0,67.0,105.0,62.0,1.0,
ALABAMA,1,100720,Clarke County,272.0,87.0,211.0,82.0,,,290.0,62.0,206.0,57.0,,
ALABAMA,1,100750,Clay County,185.0,72.0,140.0,67.0,,,184.0,67.0,116.0,57.0,,
ALABAMA,1,100780,Cleburne County,202.0,87.0,122.0,82.0,1.0,,219.0,77.0,144.0,77.0,5.0,
ALABAMA,1,100810,Coffee County,139.0,77.0,79.0,72.0,1.0,,154.0,82.0,76.0,72.0,,
ALABAMA,1,100840,Colbert County,206.0,82.0,142.0,87.0,14.0,25.0,236.0,82.0,150.0,77.0,4.0,
ALABAMA,1,100870,Conecuh County,129.0,92.0,119.0,92.0,,,98.0,77.0,88.0,77.0,,
ALABAMA,1,100900,Coosa County,81.0,72.0,68.0,67.0,,,103.0,72.0,73.0,67.0,,
ALABAMA,1,100930,Covington County,238.0,87.0,152.0,87.0,,,263.0,82.0,142.0,77.0,,
ALABAMA,1,100960,Crenshaw County,191.0,77.0,121.0,72.0,,,174.0,62.0,109.0,57.0,,
ALABAMA,1,100990,Cullman City,232.0,48.0,99.0,92.0,2.0,,208.0,92.0,66.0,87.0,1.0,
ALABAMA,1,101020,Cullman County,790.0,87.0,521.0,83.0,9.0,25.0,798.0,79.0,490.0,76.0,18.0,70.0
ALABAMA,1,101050,Dale County,259.0,82.0,154.0,77.0,,,235.0,92.0,109.0,82.0,,
ALABAMA,1,101080,Daleville City,86.0,62.0,67.0,62.0,,,103.0,52.0,66.0,57.0,,
ALABAMA,1,101110,Dallas County,284.0,72.0,249.0,72.0,1.0,,332.0,56.0,285.0,57.0,1.0,
ALABAMA,1,101140,Dekalb County,717.0,84.0,523.0,81.0,11.0,25.0,678.0,74.0,460.0,67.0,18.0,70.0
ALABAMA,1,101170,Decatur City,705.0,84.0,476.0,79.0,5.0,,631.0,84.0,371.0,76.0,2.0,
ALABAMA,1,101200,Demopolis City,180.0,77.0,94.0,67.0,,,151.0,92.0,75.0,82.0,,
ALABAMA,1,101230,Dothan City,760.0,87.0,511.0,83.0,1.0,,657.0,86.0,358.0,84.0,,
ALABAMA,1,101260,Elba City,59.0,74.0,44.0,64.0,,,65.0,67.0,44.0,54.0,,
ALABAMA,1,101290,Elmore County,894.0,84.0,454.0,76.0,2.0,,811.0,81.0,396.0,71.0,2.0,
ALABAMA,1,101320,Enterprise City,462.0,84.0,191.0,67.0,1.0,,546.0,85.0,191.0,72.0,2.0,
ALABAMA,1,101350,Escambia County,357.0,93.0,281.0,92.0,,,338.0,69.0,245.0,62.0,,
