STNAM,FIPST,LEAID,leanm10,ALL_MTH04numvalid_1011,ALL_MTH04pctprof_1011,ECD_MTH04numvalid_1011,ECD_MTH04pctprof_1011,HOM_MTH04numvalid_1011,HOM_MTH04pctprof_1011,ALL_MTH08numvalid_1011,ALL_MTH08pctprof_1011,ECD_MTH08numvalid_1011,ECD_MTH08pctprof_1011,HOM_MTH08numvalid_1011,HOM_MTH08pctprof_1011
ALABAMA,1,101380,Etowah County,704.0,88.0,392.0,83.0,3.0,,669.0,81.0,299.0,72.0,2.0,
ALABAMA,1,101410,Eufaula City,225.0,72.0,169.0,72.0,,,185.0,72.0,112.0,67.0,,
ALABAMA,1,101440,Fairfield City,146.0,72.0,127.0,67.0,1.0,,172.0,62.0,151.0,62.0,,
ALABAMA,1,101470,Fayette County,179.0,82.0,99.0,77.0,5.0,,193.0,82.0,109.0,77.0,4.0,
ALABAMA,1,101530,Florence City,299.0,87.0,191.0,82.0,7.0,25.0,299.0,87.0,155.0,77.0,7.0,25.0
ALABAMA,1,101560,Fort Payne City,231.0,72.0,152.0,67.0,,,205.0,72.0,115.0,62.0,,
ALABAMA,1,101590,Franklin County,235.0,92.0,172.0,92.0,,,252.0,77.0,165.0,72.0,,
ALABAMA,1,101620,Gadsden City,456.0,68.0,343.0,63.0,,,379.0,63.0,277.0,57.0,1.0,
ALABAMA,1,101640,Geneva City,117.0,87.0,62.0,82.0,,,103.0,82.0,56.0,84.0,,
ALABAMA,1,101660,Geneva County,236.0,77.0,164.0,72.0,,,212.0,82.0,132.0,77.0,1.0,
ALABAMA,1,101680,Greene County,97.0,67.0,90.0,62.0,19.0,50.0,113.0,37.0,104.0,37.0,9.0,25.0
ALABAMA,1,101690,Guntersville City,159.0,92.0,68.0,87.0,13.0,25.0,141.0,87.0,49.0,64.0,6.0,25.0
ALABAMA,1,101710,Hale County,233.0,87.0,191.0,82.0,,,237.0,72.0,181.0,67.0,1.0,
ALABAMA,1,101720,Haleyville City,135.0,82.0,84.0,72.0,4.0,,136.0,67.0,82.0,52.0,,
ALABAMA,1,101730,Hartselle City,245.0,82.0,95.0,67.0,10.0,25.0,268.0,92.0,64.0,82.0,4.0,
ALABAMA,1,101740,Henry County,193.0,72.0,135.0,62.0,,,219.0,62.0,140.0,57.0,,
ALABAMA,1,101760,Homewood City,280.0,92.0,79.0,82.0,,,266.0,87.0,79.0,72.0,1.0,
ALABAMA,1,101770,Houston County,473.0,87.0,275.0,82.0,,,534.0,81.0,278.0,72.0,,
ALABAMA,1,101800,Huntsville City,1772.0,81.0,981.0,73.0,15.0,25.0,1792.0,79.0,828.0,64.0,9.0,25.0
ALABAMA,1,101830,Jackson County,462.0,90.0,315.0,90.0,3.0,,443.0,81.0,286.0,77.0,2.0,
ALABAMA,1,101860,Jacksonville City,118.0,82.0,68.0,77.0,1.0,,153.0,82.0,67.0,77.0,3.0,
ALABAMA,1,101890,Jasper City,182.0,87.0,92.0,82.0,1.0,,195.0,87.0,82.0,72.0,1.0,
ALABAMA,1,101920,Jefferson County,2759.0,85.0,1543.0,79.0,59.0,84.0,2745.0,78.0,1391.0,70.0,66.0,77.0
ALABAMA,1,101950,Lamar County,184.0,82.0,112.0,77.0,,,209.0,72.0,122.0,62.0,,
ALABAMA,1,101980,Lanett City,70.0,57.0,66.0,57.0,,,70.0,27.0,66.0,22.0,,
ALABAMA,1,102010,Lauderdale County,653.0,88.0,313.0,83.0,2.0,,662.0,88.0,258.0,82.0,4.0,
ALABAMA,1,102040,Lawrence County,449.0,81.0,276.0,77.0,72.0,72.0,385.0,80.0,213.0,72.0,46.0,74.0
ALABAMA,1,102070,Lee County,726.0,77.0,413.0,73.0,,,803.0,79.0,409.0,74.0,,
ALABAMA,1,102100,Limestone County,707.0,74.0,341.0,67.0,2.0,,706.0,68.0,292.0,57.0,,
ALABAMA,1,102130,Linden City,40.0,64.0,39.0,64.0,,,37.0,64.0,33.0,64.0,,
ALABAMA,1,102160,Lowndes County,148.0,72.0,143.0,72.0,,,126.0,62.0,121.0,62.0,,
ALABAMA,1,102190,Macon County,151.0,82.0,151.0,82.0,,,228.0,37.0,227.0,37.0,,
ALABAMA,1,102220,Madison County,1489.0,87.0,527.0,81.0,1.0,,1537.0,87.0,501.0,78.0,,
ALABAMA,1,102250,Marengo County,117.0,77.0,99.0,77.0,1.0,,126.0,57.0,109.0,57.0,,
ALABAMA,1,102310,Marion County,273.0,87.0,194.0,82.0,14.0,25.0,267.0,82.0,171.0,77.0,9.0,25.0
ALABAMA,1,102350,Midfield City,91.0,57.0,79.0,57.0,2.0,,98.0,62.0,79.0,62.0,,
ALABAMA,1,102370,Mobile County,4815.0,88.0,3668.0,86.0,10.0,25.0,4339.0,76.0,3008.0,71.0,2.0,
ALABAMA,1,102400,Monroe County,289.0,72.0,209.0,67.0,,,321.0,70.0,224.0,67.0,,
ALABAMA,1,102430,Montgomery County,2682.0,72.0,1990.0,66.0,4.0,,2357.0,61.0,1683.0,53.0,4.0,
ALABAMA,1,102480,Morgan County,582.0,83.0,308.0,75.0,2.0,,616.0,79.0,305.0,72.0,4.0,
ALABAMA,1,102490,Mountain Brook City,347.0,98.0,,,,,347.0,98.0,,,,
ALABAMA,1,102520,Muscle Shoals City,217.0,87.0,81.0,77.0,,,207.0,92.0,56.0,84.0,,
ALABAMA,1,102550,Oneonta City,111.0,87.0,67.0,82.0,2.0,,102.0,87.0,40.0,74.0,,
ALABAMA,1,102580,Opelika City,327.0,78.0,217.0,72.0,,,332.0,81.0,216.0,77.0,,
ALABAMA,1,102610,Opp City,93.0,77.0,52.0,64.0,,,94.0,82.0,50.0,84.0,,
ALABAMA,1,102635,Oxford City,310.0,86.0,187.0,82.0,51.0,84.0,322.0,89.0,151.0,82.0,30.0,70.0
ALABAMA,1,102640,Ozark City,192.0,82.0,130.0,77.0,1.0,,185.0,87.0,113.0,82.0,,
ALABAMA,1,102650,Pell City,327.0,87.0,182.0,87.0,9.0,25.0,324.0,76.0,159.0,67.0,6.0,25.0
ALABAMA,1,102670,Perry County,155.0,72.0,151.0,72.0,,,125.0,57.0,124.0,57.0,,
ALABAMA,1,102700,Phenix City,543.0,81.0,365.0,77.0,,,438.0,73.0,310.0,69.0,,
ALABAMA,1,102730,Pickens County,212.0,82.0,157.0,82.0,,,223.0,67.0,168.0,67.0,,
ALABAMA,1,102760,Piedmont City,94.0,62.0,55.0,54.0,,,74.0,92.0,57.0,45.0,1.0,
ALABAMA,1,102790,Pike County,201.0,82.0,145.0,82.0,,,164.0,72.0,134.0,67.0,,
ALABAMA,1,102820,Randolph County,191.0,67.0,138.0,62.0,1.0,,189.0,67.0,126.0,62.0,1.0,
ALABAMA,1,102850,Roanoke City,129.0,72.0,87.0,72.0,,,140.0,72.0,78.0,62.0,,
ALABAMA,1,102880,Russell County,269.0,72.0,197.0,67.0,,,255.0,57.0,191.0,52.0,2.0,
ALABAMA,1,102910,Russellville City,201.0,92.0,136.0,92.0,,,166.0,77.0,105.0,72.0,,
ALABAMA,1,102940,Scottsboro City,232.0,77.0,122.0,67.0,1.0,,214.0,82.0,95.0,72.0,1.0,
ALABAMA,1,102970,Selma City,316.0,84.0,278.0,82.0,11.0,25.0,269.0,62.0,224.0,62.0,,
ALABAMA,1,103000,Sheffield City,68.0,87.0,62.0,82.0,1.0,,80.0,62.0,60.0,64.0,1.0,
ALABAMA,1,103030,Shelby County,2263.0,88.0,798.0,79.0,41.0,84.0,2123.0,85.0,647.0,74.0,22.0,70.0
ALABAMA,1,103062,St Clair County,676.0,81.0,335.0,75.0,19.0,50.0,596.0,84.0,275.0,82.0,15.0,25.0
ALABAMA,1,103090,Sumter County,132.0,67.0,126.0,67.0,1.0,,162.0,37.0,156.0,37.0,1.0,
ALABAMA,1,103120,Sylacauga City,188.0,87.0,96.0,87.0,1.0,,200.0,77.0,101.0,62.0,,
ALABAMA,1,103150,Talladega City,172.0,72.0,143.0,72.0,1.0,,180.0,62.0,137.0,57.0,,
ALABAMA,1,103180,Talladega County,594.0,83.0,451.0,80.0,1.0,,604.0,83.0,422.0,80.0,15.0,25.0
ALABAMA,1,103210,Tallapoosa County,232.0,77.0,155.0,72.0,,,252.0,72.0,167.0,62.0,,
ALABAMA,1,103240,Tallassee City,177.0,67.0,99.0,57.0,,,160.0,72.0,74.0,57.0,1.0,
ALABAMA,1,103270,Tarrant City,109.0,67.0,107.0,67.0,3.0,,108.0,42.0,99.0,37.0,,
ALABAMA,1,103300,Thomasville City,115.0,92.0,60.0,45.0,1.0,,108.0,62.0,76.0,57.0,1.0,
ALABAMA,1,103330,Troy City,183.0,92.0,107.0,87.0,,,179.0,87.0,105.0,77.0,,
ALABAMA,1,103360,Tuscaloosa City,793.0,75.0,529.0,69.0,19.0,40.0,714.0,64.0,488.0,56.0,17.0,50.0
ALABAMA,1,103390,Tuscaloosa County,1369.0,79.0,784.0,71.0,28.0,40.0,1328.0,75.0,674.0,64.0,34.0,54.0
ALABAMA,1,103420,Tuscumbia City,114.0,72.0,57.0,54.0,,,126.0,87.0,53.0,74.0,,
ALABAMA,1,103430,Vestavia Hills City,499.0,93.0,40.0,64.0,,,468.0,94.0,39.0,74.0,2.0,
ALABAMA,1,103450,Walker County,639.0,75.0,403.0,68.0,17.0,70.0,670.0,76.0,399.0,71.0,23.0,70.0
ALABAMA,1,103480,Washington County,254.0,72.0,176.0,62.0,,,246.0,62.0,128.0,47.0,,
ALABAMA,1,103510,Wilcox County,164.0,52.0,164.0,52.0,,,139.0,57.0,139.0,57.0,,
ALABAMA,1,103540,Winfield City,104.0,48.0,52.0,45.0,,,107.0,92.0,50.0,84.0,,
ALABAMA,1,103580,Winston County,234.0,82.0,151.0,82.0,1.0,,217.0,72.0,132.0,67.0,,
ALASKA,2,200001,Lower Kuskokwim School District,340.0,32.0,155.0,27.0,3.0,,244.0,37.0,140.0,37.0,1.0,
ALASKA,2,200003,Lower Yukon School District,154.0,42.0,84.0,32.0,,,161.0,27.0,81.0,17.0,,
ALASKA,2,200004,Yupiit School District,43.0,24.0,43.0,24.0,,,31.0,15.0,31.0,15.0,,
ALASKA,2,200005,Kashunamiut School District,19.0,30.0,17.0,30.0,,,16.0,50.0,12.0,25.0,,
ALASKA,2,200006,Mount Edgecumbe High School Agency,,,,,,,,,,,,
ALASKA,2,200007,Aleutians East Borough School District,13.0,25.0,8.0,25.0,,,13.0,25.0,10.0,25.0,,
ALASKA,2,200010,Aleutian Region School District,1.0,,1.0,,,,1.0,,1.0,,,
ALASKA,2,200020,Bering Strait School District,145.0,57.0,145.0,57.0,,,109.0,37.0,109.0,37.0,,
ALASKA,2,200030,Bristol Bay Borough School District,11.0,25.0,4.0,,,,9.0,25.0,3.0,,,
ALASKA,2,200050,Alaska Gateway School District,30.0,70.0,26.0,70.0,,,27.0,50.0,23.0,50.0,,
ALASKA,2,200060,Cordova City School District,26.0,40.0,13.0,25.0,,,23.0,40.0,7.0,25.0,,
ALASKA,2,200070,Copper River School District,39.0,74.0,11.0,25.0,,,43.0,84.0,10.0,25.0,,
ALASKA,2,200090,Craig City School District,46.0,64.0,12.0,25.0,,,47.0,54.0,24.0,50.0,,
ALASKA,2,200100,Delta/Greely School District,71.0,77.0,32.0,74.0,,,61.0,62.0,25.0,70.0,,
ALASKA,2,200120,Dillingham City School District,45.0,64.0,30.0,70.0,,,33.0,44.0,23.0,50.0,,
ALASKA,2,200130,Galena City School District,294.0,67.0,135.0,57.0,,,260.0,72.0,100.0,62.0,,
ALASKA,2,200150,Ketchikan Gateway Borough School District,142.0,77.0,60.0,64.0,,,176.0,57.0,54.0,44.0,,
ALASKA,2,200180,Anchorage School District,3740.0,78.0,1914.0,69.0,149.0,52.0,3499.0,66.0,1552.0,51.0,133.0,42.0
ALASKA,2,200210,Juneau Borough School District,379.0,77.0,84.0,57.0,7.0,25.0,368.0,77.0,85.0,57.0,9.0,25.0
ALASKA,2,200240,Sitka School District,98.0,82.0,35.0,64.0,1.0,,80.0,62.0,33.0,54.0,6.0,25.0
ALASKA,2,200270,Haines Borough School District,20.0,40.0,10.0,25.0,,,23.0,70.0,15.0,25.0,,
ALASKA,2,200300,Hoonah City School District,6.0,25.0,4.0,,,,7.0,25.0,5.0,,2.0,
ALASKA,2,200330,Hydaburg City School District,7.0,25.0,6.0,25.0,,,1.0,,,,,
ALASKA,2,200360,Kake City School District,7.0,25.0,7.0,25.0,,,5.0,,4.0,,,
ALASKA,2,200390,Kenai Peninsula Borough School District,662.0,85.0,307.0,80.0,15.0,25.0,713.0,81.0,272.0,77.0,17.0,70.0
ALASKA,2,200450,Klawock City School District,8.0,25.0,6.0,25.0,,,15.0,25.0,9.0,25.0,,
ALASKA,2,200480,Kodiak Island Borough School District,181.0,82.0,97.0,77.0,,,194.0,82.0,96.0,77.0,,
ALASKA,2,200485,Lake and Peninsula Borough School District,16.0,70.0,14.0,25.0,,,24.0,70.0,17.0,50.0,,
ALASKA,2,200510,Matanuska-Susitna Borough School District,1260.0,80.0,502.0,73.0,36.0,74.0,1262.0,77.0,435.0,69.0,47.0,44.0
ALASKA,2,200520,Iditarod Area School District,20.0,70.0,14.0,25.0,,,28.0,70.0,16.0,50.0,,
ALASKA,2,200525,Annette Island School District,23.0,50.0,,,,,19.0,40.0,,,,
ALASKA,2,200540,Nenana City School District,32.0,74.0,2.0,,,,40.0,64.0,9.0,25.0,,
ALASKA,2,200570,Nome Public Schools,56.0,54.0,46.0,54.0,,,46.0,64.0,32.0,54.0,,
ALASKA,2,200600,Fairbanks North Star Borough School District,1088.0,84.0,397.0,79.0,24.0,70.0,1044.0,71.0,324.0,60.0,27.0,30.0
ALASKA,2,200610,North Slope Borough School District,112.0,57.0,56.0,54.0,,,93.0,57.0,47.0,44.0,,
ALASKA,2,200625,Northwest Arctic Borough School District,150.0,42.0,109.0,37.0,,,120.0,47.0,68.0,37.0,,
ALASKA,2,200630,Pelican City School District,,,,,,,1.0,,,,,
ALASKA,2,200660,Petersburg City School District,30.0,40.0,16.0,70.0,,,39.0,74.0,21.0,40.0,,
ALASKA,2,200670,Pribilof School District,7.0,25.0,3.0,,,,14.0,25.0,8.0,25.0,,
ALASKA,2,200680,Saint Mary's School District,11.0,25.0,11.0,25.0,,,18.0,70.0,16.0,70.0,,
ALASKA,2,200690,Skagway City School District,5.0,,,,,,4.0,,1.0,,,
ALASKA,2,200700,Southeast Island School District,7.0,25.0,6.0,25.0,,,11.0,25.0,7.0,25.0,,
ALASKA,2,200710,Southwest Region School District,46.0,44.0,44.0,34.0,,,60.0,34.0,51.0,34.0,,
ALASKA,2,200715,Tanana City School District,2.0,,2.0,,,,1.0,,1.0,,,
ALASKA,2,200720,Unalaska City School District,36.0,45.0,7.0,25.0,,,35.0,45.0,7.0,25.0,,
ALASKA,2,200730,Chatham School District,10.0,25.0,9.0,25.0,,,13.0,25.0,6.0,25.0,,
ALASKA,2,200760,Kuspuk School District,27.0,50.0,25.0,50.0,,,27.0,50.0,22.0,50.0,,
ALASKA,2,200770,Denali Borough School District,65.0,87.0,3.0,,,,56.0,74.0,2.0,,,
ALASKA,2,200775,Yukon Flats School District,20.0,50.0,14.0,25.0,,,20.0,10.0,13.0,25.0,,
ALASKA,2,200780,Valdez City School District,46.0,45.0,13.0,25.0,,,59.0,84.0,13.0,25.0,,
ALASKA,2,200800,Chugach School District,23.0,70.0,15.0,25.0,,,14.0,25.0,9.0,25.0,,
ALASKA,2,200810,Wrangell Public School District,30.0,40.0,13.0,25.0,,,30.0,70.0,14.0,25.0,,
ALASKA,2,200840,Yakutat School District,12.0,25.0,12.0,25.0,,,11.0,25.0,9.0,25.0,,
ALASKA,2,200862,Yukon/Koyukuk School District,82.0,62.0,35.0,64.0,,,79.0,57.0,43.0,54.0,,
ARIZONA,4,400001,Cave Creek Unified District,479.0,84.0,47.0,64.0,,,443.0,72.0,47.0,54.0,1.0,
ARIZONA,4,400003,Chino Valley Unified District,160.0,67.0,110.0,62.0,12.0,25.0,201.0,52.0,123.0,42.0,7.0,25.0
ARIZONA,4,400004,Clarkdale-Jerome Elementary District,45.0,74.0,30.0,70.0,4.0,,37.0,74.0,19.0,70.0,4.0,
ARIZONA,4,400005,Salome Consolidated Elementary District,15.0,25.0,15.0,25.0,,,14.0,25.0,14.0,25.0,,
ARIZONA,4,400016,Center for Academic Success  Inc.,57.0,84.0,46.0,84.0,3.0,,63.0,22.0,41.0,24.0,2.0,
ARIZONA,4,400018,Pine Forest Education Association  Inc.,28.0,30.0,9.0,25.0,,,15.0,25.0,1.0,,,
ARIZONA,4,400019,Flagstaff Arts And Leadership Academy,,,,,,,50.0,74.0,5.0,,,
ARIZONA,4,400020,Montessori Charter School of Flagstaff  Inc.,29.0,70.0,,,,,14.0,25.0,,,,
ARIZONA,4,400021,Colorado City Unified District,37.0,74.0,25.0,40.0,,,29.0,50.0,22.0,50.0,,
ARIZONA,4,400022,Vernon Elementary District,14.0,25.0,9.0,25.0,,,5.0,,3.0,,,
ARIZONA,4,400023,Pinon Unified District,94.0,47.0,84.0,47.0,,,119.0,22.0,110.0,22.0,1.0,
ARIZONA,4,400026,Heber-Overgaard Unified District,34.0,54.0,27.0,50.0,,,36.0,54.0,19.0,50.0,,
ARIZONA,4,400028,Triumphant Learning Center,11.0,25.0,,,,,10.0,25.0,,,,
ARIZONA,4,400031,Ventana Academic Charter School,13.0,25.0,,,,,3.0,,,,,
ARIZONA,4,400033,Boys & Girls Clubs of the East Valley dba Mesa Arts Academy,24.0,70.0,17.0,70.0,1.0,,21.0,40.0,20.0,40.0,3.0,
ARIZONA,4,400034,Valley Academy  Inc.,99.0,92.0,1.0,,,,57.0,45.0,4.0,,,
ARIZONA,4,400036,Foothills Academy,17.0,70.0,,,,,38.0,64.0,,,,
ARIZONA,4,400037,Twenty First Century Charter School  Inc. dba: Bennett Acade,12.0,25.0,5.0,,1.0,,15.0,25.0,3.0,,1.0,
ARIZONA,4,400040,Edu-Prize  Inc.,156.0,92.0,1.0,,,,36.0,74.0,,,,
ARIZONA,4,400041,Maricopa County Community College District dba Gateway Early,,,,,,,,,,,,
ARIZONA,4,400043,New School For The Arts,,,,,,,,,,,,
ARIZONA,4,400045,Carden Traditional School of Glendale  Inc.,16.0,30.0,10.0,25.0,,,10.0,25.0,5.0,,,
ARIZONA,4,400047,Salt River Pima-Maricopa  Community Schools,,,,,,,35.0,5.0,17.0,10.0,,
ARIZONA,4,400048,Kachina Country Day School,9.0,25.0,,,,,10.0,25.0,,,,
ARIZONA,4,400052,Espiritu Community Development Corp.,70.0,42.0,9.0,25.0,4.0,,55.0,44.0,9.0,25.0,2.0,
ARIZONA,4,400053,Heritage Academy  Inc.,,,,,,,119.0,67.0,,,,
ARIZONA,4,400054,Villa Montessori Charter School,53.0,74.0,12.0,25.0,,,51.0,84.0,9.0,25.0,,
ARIZONA,4,400055,EduPreneurship  Inc.,7.0,25.0,5.0,,,,8.0,25.0,5.0,,,
ARIZONA,4,400056,Arizona School For The Arts,,,,,,,105.0,87.0,,,,
ARIZONA,4,400057,Arizona Call-a-Teen Youth Resources  Inc.,,,,,,,,,,,,
ARIZONA,4,400059,Scottsdale Horizons Charter School,4.0,,,,,,4.0,,,,,
ARIZONA,4,400061,Intelli-School  Inc.,,,,,,,,,,,,
ARIZONA,4,400062,Tertulia,14.0,25.0,11.0,25.0,,,,,,,,
ARIZONA,4,400064,Lake Havasu Charter School  Inc.,4.0,,3.0,,,,13.0,25.0,12.0,25.0,,
ARIZONA,4,400065,Benjamin Franklin Charter School,313.0,86.0,,,,,98.0,72.0,,,,
ARIZONA,4,400067,Victory High School  Inc.,,,,,,,,,,,,
ARIZONA,4,400068,Montessori Day Public Schools Chartered  Inc.,28.0,40.0,15.0,25.0,,,10.0,25.0,5.0,,,
ARIZONA,4,400069,Khalsa Montessori Elementary Schools,18.0,40.0,,,,,,,,,,
ARIZONA,4,400070,Tempe Preparatory Academy,,,,,,,42.0,45.0,,,,
ARIZONA,4,400071,Bright Beginnings School  Inc.,63.0,48.0,,,,,,,,,,
ARIZONA,4,400072,Montessori Education Centre Charter School,50.0,74.0,,,,,,,,,,
ARIZONA,4,400074,Kingman Academy Of Learning,106.0,92.0,20.0,40.0,,,114.0,57.0,23.0,50.0,,
ARIZONA,4,400075,Young Scholars Academy Charter School Corp.,48.0,74.0,19.0,70.0,,,33.0,74.0,5.0,,,
ARIZONA,4,400077,Career Development  Inc.,,,,,,,,,,,,
