STNAM,FIPST,LEAID,LEANM,DATE_CUR,ALL_MTH04NUMVALID_1415,ALL_MTH04PCTPROF_1415,ECD_MTH04NUMVALID_1415,ECD_MTH04PCTPROF_1415,HOM_MTH04NUMVALID_1415,HOM_MTH04PCTPROF_1415,ALL_MTH08NUMVALID_1415,ALL_MTH08PCTPROF_1415,ECD_MTH08NUMVALID_1415,ECD_MTH08PCTPROF_1415,HOM_MTH08NUMVALID_1415,HOM_MTH08PCTPROF_1415
TEXAS,48,4808230,ANDERSON-SHIRO CISD,13APR16,60.0,74.0,27.0,50.0,,,49.0,54.0,30.0,50.0,1.0,
TEXAS,48,4808280,ANDREWS ISD,13APR16,311.0,48.0,133.0,37.0,2.0,,312.0,69.0,110.0,57.0,3.0,
TEXAS,48,4808310,ANGLETON ISD,13APR16,448.0,79.0,299.0,77.0,6.0,25.0,496.0,81.0,315.0,77.0,2.0,
TEXAS,48,4808340,ANNA ISD,13APR16,230.0,72.0,98.0,67.0,,,170.0,77.0,63.0,72.0,1.0,
TEXAS,48,4808400,ANSON ISD,13APR16,63.0,62.0,38.0,54.0,3.0,,45.0,44.0,34.0,54.0,3.0,
TEXAS,48,4808430,ANTHONY ISD,13APR16,68.0,52.0,68.0,52.0,,,33.0,74.0,31.0,74.0,,
TEXAS,48,4808460,ANTON ISD,13APR16,18.0,70.0,15.0,25.0,,,21.0,50.0,15.0,25.0,,
TEXAS,48,4808490,APPLE SPRINGS ISD,13APR16,8.0,25.0,4.0,,,,8.0,25.0,5.0,,,
TEXAS,48,4808520,AQUILLA ISD,13APR16,20.0,70.0,10.0,25.0,,,22.0,40.0,11.0,25.0,,
TEXAS,48,4808550,ARANSAS COUNTY ISD,13APR16,240.0,77.0,147.0,72.0,10.0,25.0,219.0,62.0,127.0,52.0,2.0,
TEXAS,48,4808580,ARANSAS PASS ISD,13APR16,123.0,72.0,87.0,72.0,2.0,,111.0,62.0,75.0,62.0,,
TEXAS,48,4808610,ARCHER CITY ISD,13APR16,33.0,74.0,14.0,25.0,2.0,,32.0,74.0,5.0,,1.0,
TEXAS,48,4808670,ARGYLE ISD,13APR16,156.0,92.0,23.0,40.0,,,157.0,87.0,12.0,25.0,,
TEXAS,48,4808700,ARLINGTON ISD,13APR16,4546.0,62.0,3236.0,57.0,97.0,52.0,3225.0,58.0,2269.0,53.0,87.0,47.0
TEXAS,48,4808730,ARP ISD,13APR16,54.0,64.0,27.0,50.0,3.0,,56.0,84.0,25.0,70.0,1.0,
TEXAS,48,4808870,ATHENS ISD,13APR16,243.0,72.0,186.0,67.0,,,211.0,67.0,151.0,62.0,2.0,
TEXAS,48,4808880,ATLANTA ISD,13APR16,112.0,77.0,76.0,77.0,11.0,25.0,93.0,37.0,73.0,32.0,8.0,25.0
TEXAS,48,4808910,AUBREY ISD,13APR16,169.0,87.0,47.0,74.0,1.0,,154.0,77.0,40.0,54.0,1.0,
TEXAS,48,4808940,AUSTIN ISD,13APR16,6404.0,73.0,3958.0,62.0,70.0,42.0,5416.0,70.0,3054.0,56.0,62.0,47.0
TEXAS,48,4809000,AUSTWELL-TIVOLI ISD,13APR16,10.0,25.0,4.0,,,,10.0,25.0,4.0,,,
TEXAS,48,4809030,AVALON ISD,13APR16,24.0,70.0,13.0,25.0,,,26.0,40.0,17.0,40.0,,
TEXAS,48,4809060,AVERY ISD,13APR16,21.0,70.0,12.0,25.0,,,26.0,40.0,14.0,25.0,,
TEXAS,48,4809090,AVINGER ISD,13APR16,12.0,25.0,11.0,25.0,,,8.0,25.0,8.0,25.0,1.0,
TEXAS,48,4809150,AXTELL ISD,13APR16,61.0,62.0,35.0,44.0,1.0,,55.0,64.0,45.0,54.0,,
TEXAS,48,4809200,AZLE ISD,13APR16,437.0,80.0,224.0,77.0,13.0,25.0,323.0,54.0,166.0,47.0,8.0,25.0
TEXAS,48,4809280,BAIRD ISD,13APR16,17.0,50.0,6.0,25.0,1.0,,31.0,64.0,27.0,50.0,4.0,
TEXAS,48,4809300,BALLINGER ISD,13APR16,87.0,62.0,48.0,64.0,3.0,,69.0,62.0,36.0,54.0,2.0,
TEXAS,48,4809330,BALMORHEA ISD,13APR16,11.0,25.0,11.0,25.0,,,16.0,40.0,14.0,25.0,1.0,
TEXAS,48,4809360,BANDERA ISD,13APR16,171.0,52.0,102.0,47.0,7.0,25.0,130.0,72.0,76.0,72.0,2.0,
TEXAS,48,4809390,BANGS ISD,13APR16,58.0,64.0,29.0,50.0,,,71.0,62.0,29.0,50.0,,
TEXAS,48,4809410,BANQUETE ISD,13APR16,62.0,82.0,43.0,84.0,,,51.0,74.0,34.0,74.0,1.0,
TEXAS,48,4809450,BARBERS HILL ISD,13APR16,386.0,86.0,99.0,72.0,4.0,,351.0,97.0,57.0,45.0,,
TEXAS,48,4809540,BARTLETT ISD,13APR16,25.0,70.0,22.0,50.0,,,21.0,50.0,19.0,50.0,,
TEXAS,48,4809570,BASTROP ISD,13APR16,754.0,60.0,534.0,52.0,9.0,25.0,497.0,54.0,365.0,51.0,1.0,
TEXAS,48,4809630,BAY CITY ISD,13APR16,293.0,62.0,210.0,57.0,3.0,,195.0,62.0,141.0,57.0,4.0,
TEXAS,48,4809670,BEAUMONT ISD,13APR16,1430.0,47.0,1119.0,41.0,14.0,25.0,1280.0,61.0,978.0,55.0,2.0,
TEXAS,48,4809690,BECKVILLE ISD,13APR16,62.0,77.0,21.0,40.0,,,45.0,84.0,22.0,40.0,,
TEXAS,48,4809720,BEEVILLE ISD,13APR16,236.0,57.0,194.0,57.0,3.0,,274.0,47.0,187.0,42.0,2.0,
TEXAS,48,4809750,BELLEVUE ISD,13APR16,9.0,25.0,3.0,,,,10.0,25.0,5.0,,,
TEXAS,48,4809780,BELLS ISD,13APR16,53.0,84.0,20.0,40.0,1.0,,53.0,74.0,15.0,25.0,,
TEXAS,48,4809810,BELLVILLE ISD,13APR16,158.0,72.0,85.0,62.0,3.0,,119.0,62.0,61.0,57.0,,
TEXAS,48,4809860,BELTON ISD,13APR16,782.0,81.0,381.0,73.0,12.0,25.0,591.0,68.0,323.0,57.0,6.0,25.0
TEXAS,48,4809870,BEN BOLT-PALITO BLANCO ISD,13APR16,45.0,34.0,31.0,24.0,,,63.0,37.0,48.0,34.0,,
TEXAS,48,4809980,BENJAMIN ISD,13APR16,11.0,25.0,10.0,25.0,,,6.0,25.0,6.0,25.0,,
TEXAS,48,4810140,BIG SANDY ISD,13APR16,53.0,64.0,42.0,64.0,2.0,,47.0,74.0,29.0,70.0,5.0,
TEXAS,48,4810170,BIG SANDY ISD,13APR16,40.0,54.0,24.0,30.0,1.0,,38.0,54.0,17.0,50.0,1.0,
TEXAS,48,4810200,BIG SPRING ISD,13APR16,322.0,41.0,221.0,32.0,2.0,,273.0,57.0,168.0,57.0,1.0,
TEXAS,48,4810230,BIRDVILLE ISD,13APR16,1816.0,77.0,1135.0,70.0,21.0,70.0,1432.0,72.0,909.0,68.0,19.0,50.0
TEXAS,48,4810260,BISHOP CISD,13APR16,80.0,82.0,48.0,74.0,1.0,,75.0,72.0,48.0,64.0,,
TEXAS,48,4810320,BLANCO ISD,13APR16,84.0,57.0,49.0,34.0,1.0,,52.0,64.0,25.0,70.0,,
TEXAS,48,4810350,BLAND ISD,13APR16,39.0,45.0,22.0,40.0,1.0,,54.0,84.0,22.0,40.0,,
TEXAS,48,4810380,BLANKET ISD,13APR16,12.0,25.0,9.0,25.0,,,17.0,50.0,9.0,25.0,,
TEXAS,48,4810440,BLOOMBURG ISD,13APR16,16.0,70.0,7.0,25.0,,,19.0,70.0,8.0,25.0,,
TEXAS,48,4810470,BLOOMING GROVE ISD,13APR16,65.0,42.0,43.0,34.0,,,49.0,74.0,37.0,74.0,,
TEXAS,48,4810500,BLOOMINGTON ISD,13APR16,71.0,47.0,66.0,47.0,2.0,,79.0,52.0,72.0,52.0,1.0,
TEXAS,48,4810590,BLUE RIDGE ISD,13APR16,62.0,62.0,37.0,54.0,1.0,,46.0,34.0,27.0,30.0,,
TEXAS,48,4810620,BLUFF DALE ISD,13APR16,10.0,25.0,2.0,,,,5.0,,,,,
TEXAS,48,4810650,BLUM ISD,13APR16,31.0,64.0,21.0,50.0,2.0,,28.0,40.0,11.0,25.0,,
TEXAS,48,4810710,BOERNE ISD,13APR16,578.0,85.0,127.0,57.0,,,363.0,88.0,88.0,67.0,1.0,
TEXAS,48,4810740,BOLES ISD,13APR16,31.0,84.0,17.0,70.0,1.0,,36.0,45.0,18.0,40.0,,
TEXAS,48,4810780,BOLING ISD,13APR16,87.0,82.0,47.0,84.0,1.0,,75.0,67.0,43.0,74.0,,
TEXAS,48,4810800,BONHAM ISD,13APR16,138.0,72.0,90.0,67.0,1.0,,146.0,67.0,92.0,52.0,1.0,
TEXAS,48,4810830,BOOKER ISD,13APR16,36.0,74.0,22.0,70.0,,,27.0,50.0,14.0,25.0,2.0,
TEXAS,48,4810860,BORDEN COUNTY ISD,13APR16,20.0,40.0,7.0,25.0,,,21.0,40.0,2.0,,,
TEXAS,48,4810890,BORGER ISD,13APR16,203.0,57.0,131.0,47.0,1.0,,150.0,67.0,84.0,67.0,1.0,
TEXAS,48,4810910,BOSQUEVILLE ISD,13APR16,45.0,64.0,18.0,30.0,,,38.0,84.0,14.0,25.0,,
TEXAS,48,4810950,BOVINA ISD,13APR16,33.0,74.0,24.0,70.0,1.0,,41.0,84.0,31.0,84.0,,
TEXAS,48,4810990,BOWIE ISD,13APR16,119.0,72.0,64.0,72.0,,,113.0,72.0,50.0,64.0,,
TEXAS,48,4811010,BOYD ISD,13APR16,84.0,72.0,37.0,74.0,,,68.0,82.0,46.0,84.0,2.0,
TEXAS,48,4811040,BOYS RANCH ISD,13APR16,9.0,25.0,7.0,25.0,,,37.0,54.0,34.0,54.0,,
TEXAS,48,4811070,BRACKETT ISD,13APR16,34.0,74.0,22.0,70.0,,,31.0,84.0,20.0,70.0,,
TEXAS,48,4811110,BRADY ISD,13APR16,95.0,67.0,54.0,64.0,,,77.0,82.0,47.0,74.0,6.0,25.0
TEXAS,48,4811190,BRAZOSPORT ISD,13APR16,947.0,67.0,582.0,60.0,29.0,50.0,679.0,53.0,442.0,46.0,15.0,25.0
TEXAS,48,4811220,BRECKENRIDGE ISD,13APR16,103.0,77.0,71.0,72.0,1.0,,86.0,67.0,57.0,54.0,1.0,
TEXAS,48,4811250,BREMOND ISD,13APR16,36.0,74.0,14.0,25.0,2.0,,35.0,54.0,22.0,50.0,,
TEXAS,48,4811280,BRENHAM ISD,13APR16,366.0,76.0,220.0,67.0,8.0,25.0,404.0,73.0,202.0,62.0,4.0,
TEXAS,48,4811310,BRIDGE CITY ISD,13APR16,202.0,77.0,67.0,67.0,4.0,,201.0,87.0,66.0,82.0,4.0,
TEXAS,48,4811340,BRIDGEPORT ISD,13APR16,129.0,67.0,86.0,57.0,12.0,25.0,135.0,77.0,88.0,77.0,,
TEXAS,48,4811400,FORT ELLIOTT CISD,13APR16,7.0,25.0,1.0,,,,11.0,25.0,2.0,,,
TEXAS,48,4811430,BROADDUS ISD,13APR16,31.0,34.0,21.0,30.0,,,29.0,50.0,23.0,50.0,,
TEXAS,48,4811460,BROCK ISD,13APR16,87.0,92.0,11.0,25.0,,,44.0,84.0,6.0,25.0,,
TEXAS,48,4811490,BRONTE ISD,13APR16,18.0,70.0,10.0,25.0,2.0,,28.0,40.0,15.0,25.0,,
TEXAS,48,4811520,BROOKELAND ISD,13APR16,33.0,74.0,19.0,70.0,1.0,,21.0,40.0,13.0,25.0,,
