STNAM,FIPST,LEAID,LEANM,ALL_MTH04NUMVALID_1213,ALL_MTH04PCTPROF_1213,ECD_MTH04NUMVALID_1213,ECD_MTH04PCTPROF_1213,HOM_MTH04NUMVALID_1213,HOM_MTH04PCTPROF_1213,ALL_MTH08NUMVALID_1213,ALL_MTH08PCTPROF_1213,ECD_MTH08NUMVALID_1213,ECD_MTH08PCTPROF_1213,HOM_MTH08NUMVALID_1213,HOM_MTH08PCTPROF_1213
ALABAMA,1,100005,Albertville City,352.0,86.0,233.0,82.0,3.0,,290.0,77.0,167.0,72.0,1.0,
ALABAMA,1,100006,Marshall County,418.0,83.0,323.0,83.0,20.0,70.0,476.0,84.0,314.0,81.0,21.0,70.0
ALABAMA,1,100007,Hoover City,992.0,91.0,244.0,82.0,2.0,,1148.0,90.0,288.0,77.0,7.0,25.0
ALABAMA,1,100008,Madison City,676.0,93.0,150.0,82.0,2.0,,746.0,89.0,160.0,72.0,3.0,
ALABAMA,1,100011,Leeds City,146.0,77.0,95.0,67.0,5.0,,119.0,87.0,70.0,82.0,,
ALABAMA,1,100012,Boaz City,178.0,77.0,131.0,72.0,1.0,,185.0,87.0,111.0,87.0,1.0,
ALABAMA,1,100013,Trussville City,325.0,97.0,34.0,5.0,,,319.0,92.0,43.0,84.0,,
ALABAMA,1,100030,Alexander City,225.0,87.0,154.0,82.0,,,242.0,82.0,144.0,72.0,,
ALABAMA,1,100060,Andalusia City,141.0,82.0,79.0,77.0,,,134.0,82.0,75.0,72.0,,
ALABAMA,1,100090,Anniston City,151.0,67.0,134.0,62.0,23.0,70.0,146.0,52.0,135.0,52.0,16.0,50.0
ALABAMA,1,100100,Arab City,176.0,2.0,82.0,92.0,,,204.0,92.0,72.0,87.0,1.0,
ALABAMA,1,100120,Athens City,237.0,77.0,140.0,72.0,2.0,,223.0,87.0,105.0,77.0,3.0,
ALABAMA,1,100180,Attalla City,87.0,67.0,67.0,67.0,2.0,,201.0,72.0,137.0,67.0,,
ALABAMA,1,100185,Saraland City,152.0,87.0,88.0,82.0,8.0,25.0,197.0,2.0,113.0,2.0,14.0,25.0
ALABAMA,1,100188,Chickasaw City,68.0,57.0,58.0,54.0,1.0,,67.0,82.0,58.0,84.0,,
ALABAMA,1,100189,Satsuma City,110.0,82.0,49.0,64.0,2.0,,113.0,82.0,56.0,84.0,,
ALABAMA,1,100210,Auburn City,569.0,93.0,143.0,82.0,,,574.0,89.0,147.0,72.0,,
ALABAMA,1,100240,Autauga County,704.0,84.0,333.0,74.0,3.0,,760.0,91.0,354.0,85.0,3.0,
ALABAMA,1,100270,Baldwin County,2241.0,87.0,1077.0,82.0,9.0,25.0,2185.0,82.0,1017.0,74.0,9.0,25.0
ALABAMA,1,100300,Barbour County,72.0,37.0,69.0,37.0,3.0,,68.0,22.0,65.0,22.0,,
ALABAMA,1,100330,Bessemer City,323.0,71.0,294.0,72.0,3.0,,298.0,62.0,269.0,62.0,4.0,
ALABAMA,1,100360,Bibb County,256.0,72.0,171.0,67.0,4.0,,300.0,77.0,198.0,77.0,1.0,
ALABAMA,1,100390,Birmingham City,1893.0,67.0,1714.0,65.0,10.0,25.0,1815.0,67.0,1618.0,65.0,10.0,25.0
ALABAMA,1,100420,Blount County,597.0,86.0,344.0,82.0,5.0,,674.0,76.0,382.0,67.0,2.0,
ALABAMA,1,100450,Brewton City,78.0,87.0,43.0,84.0,,,91.0,92.0,37.0,84.0,,
ALABAMA,1,100480,Bullock County,118.0,52.0,103.0,52.0,1.0,,117.0,42.0,101.0,47.0,,
ALABAMA,1,100510,Butler County,235.0,82.0,188.0,77.0,25.0,10.0,251.0,72.0,199.0,67.0,4.0,
ALABAMA,1,100540,Calhoun County,686.0,83.0,425.0,79.0,7.0,25.0,782.0,79.0,469.0,74.0,9.0,25.0
ALABAMA,1,100600,Chambers County,265.0,77.0,197.0,72.0,,,290.0,77.0,192.0,72.0,,
ALABAMA,1,100630,Cherokee County,276.0,72.0,177.0,67.0,32.0,64.0,353.0,81.0,224.0,77.0,27.0,70.0
ALABAMA,1,100660,Chilton County,603.0,82.0,409.0,78.0,1.0,,623.0,79.0,395.0,73.0,1.0,
ALABAMA,1,100690,Choctaw County,135.0,72.0,115.0,72.0,,,123.0,52.0,105.0,57.0,1.0,
ALABAMA,1,100720,Clarke County,225.0,77.0,171.0,72.0,,,263.0,62.0,190.0,52.0,,
ALABAMA,1,100750,Clay County,150.0,82.0,101.0,77.0,,,168.0,77.0,96.0,72.0,,
ALABAMA,1,100780,Cleburne County,198.0,82.0,131.0,82.0,,,212.0,82.0,125.0,77.0,,
ALABAMA,1,100810,Coffee County,160.0,82.0,91.0,77.0,5.0,,188.0,77.0,94.0,67.0,2.0,
ALABAMA,1,100840,Colbert County,184.0,87.0,128.0,82.0,28.0,70.0,203.0,72.0,137.0,67.0,11.0,25.0
ALABAMA,1,100870,Conecuh County,128.0,92.0,120.0,92.0,,,105.0,92.0,98.0,92.0,,
