STNAM,FIPST,LEAID,leanm11,ALL_MTH04numvalid_1112,ALL_MTH04pctprof_1112,ECD_MTH04numvalid_1112,ECD_MTH04pctprof_1112,HOM_MTH04numvalid_1112,HOM_MTH04pctprof_1112,ALL_MTH08numvalid_1112,ALL_MTH08pctprof_1112,ECD_MTH08numvalid_1112,ECD_MTH08pctprof_1112,HOM_MTH08numvalid_1112,HOM_MTH08pctprof_1112
WASHINGTON,53,5302370,Eatonville School District,137.0,57.0,67.0,47.0,2.0,,173.0,37.0,69.0,27.0,,
WASHINGTON,53,5302400,Edmonds School District,1463.0,61.0,612.0,47.0,23.0,30.0,1486.0,53.0,566.0,37.0,17.0,10.0
WASHINGTON,53,5302460,Ellensburg School District,212.0,67.0,102.0,52.0,,,215.0,52.0,55.0,34.0,1.0,
WASHINGTON,53,5302490,Elma School District,97.0,27.0,59.0,24.0,3.0,,99.0,62.0,60.0,54.0,7.0,25.0
WASHINGTON,53,5302520,Endicott School District,6.0,25.0,5.0,,,,16.0,50.0,5.0,,,
WASHINGTON,53,5302550,Entiat School District,34.0,44.0,22.0,50.0,,,22.0,70.0,12.0,25.0,,
WASHINGTON,53,5302610,Ephrata School District,168.0,67.0,97.0,52.0,1.0,,174.0,72.0,98.0,62.0,5.0,
WASHINGTON,53,5302640,Evaline School District,8.0,25.0,,,,,,,,,,
WASHINGTON,53,5302670,Everett School District,1354.0,69.0,606.0,53.0,39.0,44.0,1376.0,69.0,531.0,50.0,35.0,44.0
WASHINGTON,53,5302700,Evergreen School District (Clark),1982.0,54.0,1010.0,43.0,26.0,30.0,2014.0,66.0,984.0,53.0,34.0,24.0
WASHINGTON,53,5302730,Evergreen School District (Stevens),1.0,,,,,,,,,,,
WASHINGTON,53,5302820,Federal Way School District,1492.0,52.0,889.0,40.0,13.0,25.0,1716.0,53.0,929.0,41.0,13.0,25.0
WASHINGTON,53,5302850,Ferndale School District,345.0,58.0,185.0,37.0,11.0,25.0,406.0,53.0,206.0,42.0,18.0,30.0
WASHINGTON,53,5302880,Fife School District,261.0,52.0,116.0,42.0,8.0,25.0,272.0,42.0,123.0,32.0,4.0,
WASHINGTON,53,5302910,Finley School District,73.0,42.0,51.0,34.0,1.0,,77.0,37.0,53.0,34.0,1.0,
WASHINGTON,53,5302940,Franklin Pierce School District,522.0,57.0,395.0,52.0,7.0,25.0,548.0,53.0,359.0,46.0,3.0,
WASHINGTON,53,5302970,Freeman School District,74.0,52.0,18.0,30.0,,,81.0,57.0,20.0,70.0,,
WASHINGTON,53,5303000,Garfield School District,8.0,25.0,3.0,,,,5.0,,2.0,,,
WASHINGTON,53,5303030,Glenwood School District,6.0,25.0,3.0,,1.0,,8.0,25.0,2.0,,,
WASHINGTON,53,5303090,Goldendale School District,60.0,64.0,34.0,44.0,,,76.0,62.0,51.0,54.0,9.0,25.0
WASHINGTON,53,5303130,Grand Coulee Dam School District,52.0,34.0,38.0,24.0,,,43.0,44.0,24.0,30.0,,
WASHINGTON,53,5303150,Grandview School District,281.0,42.0,250.0,42.0,20.0,50.0,245.0,42.0,207.0,42.0,8.0,25.0
WASHINGTON,53,5303180,Granger School District,102.0,47.0,98.0,47.0,5.0,,112.0,37.0,108.0,32.0,2.0,
WASHINGTON,53,5303210,Granite Falls School District,152.0,62.0,62.0,52.0,3.0,,163.0,47.0,72.0,32.0,7.0,25.0
WASHINGTON,53,5303240,Grapeview School District,27.0,50.0,8.0,25.0,,,19.0,30.0,8.0,25.0,,
WASHINGTON,53,5303270,Great Northern School District,5.0,,,,,,,,,,,
WASHINGTON,53,5303300,Green Mountain School District,14.0,25.0,8.0,25.0,,,9.0,25.0,5.0,,,
WASHINGTON,53,5303330,Griffin School District,72.0,52.0,18.0,30.0,,,73.0,67.0,9.0,25.0,,
WASHINGTON,53,5303360,Harrington School District,4.0,,3.0,,,,11.0,25.0,6.0,25.0,,
WASHINGTON,53,5303440,Coulee-Hartline School District,12.0,25.0,8.0,25.0,,,,,,,,
WASHINGTON,53,5303510,Highland School District,81.0,52.0,58.0,44.0,4.0,,104.0,47.0,80.0,47.0,9.0,25.0
WASHINGTON,53,5303540,Highline School District,1387.0,51.0,1008.0,43.0,59.0,34.0,1201.0,52.0,832.0,44.0,41.0,34.0
WASHINGTON,53,5303570,Hockinson School District,150.0,72.0,28.0,50.0,1.0,,178.0,62.0,45.0,44.0,2.0,
WASHINGTON,53,5303600,Hood Canal School District,27.0,50.0,27.0,50.0,,,43.0,24.0,43.0,24.0,1.0,
WASHINGTON,53,5303660,Hoquiam School District,119.0,47.0,79.0,42.0,7.0,25.0,143.0,47.0,86.0,42.0,10.0,25.0
WASHINGTON,53,5303720,Index School District,4.0,,,,1.0,,,,,,,
WASHINGTON,53,5303750,Issaquah School District,1424.0,84.0,137.0,57.0,8.0,25.0,1332.0,77.0,144.0,47.0,7.0,25.0
WASHINGTON,53,5303780,Kahlotus School District,3.0,,2.0,,,,4.0,,4.0,,,
WASHINGTON,53,5303810,Kalama School District,82.0,52.0,37.0,44.0,2.0,,73.0,47.0,25.0,30.0,1.0,
WASHINGTON,53,5303870,Keller School District,4.0,,4.0,,1.0,,,,,,,
WASHINGTON,53,5303930,Kennewick School District,1191.0,55.0,696.0,38.0,,,1143.0,48.0,568.0,35.0,,
