STNAM,FIPST,LEAID,LEANM,DATE_CUR,ALL_MTH04NUMVALID_1516,ALL_MTH04PCTPROF_1516,ECD_MTH04NUMVALID_1516,ECD_MTH04PCTPROF_1516,HOM_MTH04NUMVALID_1516,HOM_MTH04PCTPROF_1516,ALL_MTH08NUMVALID_1516,ALL_MTH08PCTPROF_1516,ECD_MTH08NUMVALID_1516,ECD_MTH08PCTPROF_1516,HOM_MTH08NUMVALID_1516,HOM_MTH08PCTPROF_1516
ALABAMA,1,100005,Albertville City,14APR17,406.0,47.0,218.0,37.0,5.0,,334.0,29.0,140.0,17.0,9.0,25.0
ALABAMA,1,100006,Marshall County,14APR17,420.0,52.0,320.0,47.0,37.0,44.0,434.0,29.0,326.0,24.0,18.0,10.0
ALABAMA,1,100007,Hoover City,14APR17,1032.0,74.0,280.0,52.0,2.0,,1051.0,63.0,282.0,32.0,5.0,
ALABAMA,1,100008,Madison City,14APR17,757.0,83.0,180.0,57.0,10.0,25.0,795.0,69.0,156.0,42.0,7.0,25.0
ALABAMA,1,100011,Leeds City,14APR17,173.0,32.0,103.0,32.0,18.0,30.0,139.0,32.0,66.0,17.0,4.0,
ALABAMA,1,100012,Boaz City,14APR17,188.0,57.0,140.0,52.0,4.0,,161.0,32.0,104.0,22.0,6.0,25.0
ALABAMA,1,100013,Trussville City,14APR17,330.0,88.0,37.0,84.0,,,349.0,51.0,34.0,34.0,,
ALABAMA,1,100030,Alexander City,14APR17,207.0,47.0,146.0,37.0,1.0,,222.0,32.0,112.0,22.0,1.0,
ALABAMA,1,100060,Andalusia City,14APR17,128.0,47.0,72.0,32.0,1.0,,112.0,27.0,59.0,15.0,1.0,
ALABAMA,1,100090,Anniston City,14APR17,145.0,22.0,118.0,17.0,20.0,10.0,129.0,8.0,96.0,2.0,13.0,25.0
ALABAMA,1,100100,Arab City,14APR17,175.0,77.0,78.0,72.0,3.0,,198.0,47.0,74.0,32.0,2.0,
ALABAMA,1,100120,Athens City,14APR17,287.0,57.0,162.0,47.0,5.0,,293.0,37.0,157.0,22.0,8.0,25.0
ALABAMA,1,100180,Attalla City,14APR17,98.0,42.0,83.0,37.0,18.0,30.0,171.0,17.0,124.0,12.0,27.0,10.0
