STNAM,FIPST,LEAID,LEANM,DATE_CUR,ALL_MTH04NUMVALID_1516,ALL_MTH04PCTPROF_1516,ECD_MTH04NUMVALID_1516,ECD_MTH04PCTPROF_1516,HOM_MTH04NUMVALID_1516,HOM_MTH04PCTPROF_1516,ALL_MTH08NUMVALID_1516,ALL_MTH08PCTPROF_1516,ECD_MTH08NUMVALID_1516,ECD_MTH08PCTPROF_1516,HOM_MTH08NUMVALID_1516,HOM_MTH08PCTPROF_1516
ALABAMA,1,100185,Saraland City,14APR17,201.0,82.0,110.0,72.0,22.0,70.0,256.0,37.0,135.0,32.0,5.0,
ALABAMA,1,100188,Chickasaw City,14APR17,80.0,47.0,60.0,44.0,1.0,,78.0,12.0,60.0,15.0,2.0,
ALABAMA,1,100189,Satsuma City,14APR17,98.0,62.0,48.0,54.0,,,119.0,22.0,57.0,15.0,,
ALABAMA,1,100190,Alabaster City,14APR17,484.0,61.0,199.0,47.0,3.0,,531.0,48.0,229.0,32.0,7.0,25.0
ALABAMA,1,100194,Pelham City,14APR17,243.0,57.0,106.0,42.0,1.0,,211.0,37.0,71.0,22.0,,
ALABAMA,1,100195,Pike Road,14APR17,126.0,37.0,20.0,10.0,,,86.0,27.0,14.0,25.0,,
ALABAMA,1,100210,Auburn City,14APR17,628.0,80.0,194.0,57.0,2.0,,609.0,49.0,182.0,17.0,5.0,
ALABAMA,1,100240,Autauga County,14APR17,715.0,53.0,378.0,36.0,18.0,30.0,783.0,46.0,365.0,27.0,10.0,25.0
ALABAMA,1,100270,Baldwin County,14APR17,2367.0,60.0,1209.0,45.0,30.0,50.0,2270.0,41.0,1057.0,26.0,28.0,30.0
ALABAMA,1,100300,Barbour County,14APR17,60.0,24.0,51.0,15.0,,,58.0,5.0,45.0,5.0,,
ALABAMA,1,100330,Bessemer City,14APR17,276.0,27.0,214.0,22.0,17.0,10.0,288.0,8.0,201.0,8.0,26.0,10.0
ALABAMA,1,100360,Bibb County,14APR17,277.0,42.0,176.0,32.0,5.0,,242.0,27.0,167.0,22.0,2.0,
ALABAMA,1,100390,Birmingham City,14APR17,1947.0,23.0,1392.0,19.0,53.0,15.0,1588.0,10.0,1033.0,6.0,50.0,5.0
ALABAMA,1,100420,Blount County,14APR17,571.0,57.0,344.0,47.0,10.0,25.0,618.0,28.0,344.0,19.0,10.0,25.0
ALABAMA,1,100450,Brewton City,14APR17,80.0,62.0,43.0,44.0,,,101.0,22.0,50.0,5.0,,
ALABAMA,1,100480,Bullock County,14APR17,105.0,12.0,88.0,12.0,1.0,,81.0,2.0,67.0,2.0,1.0,
ALABAMA,1,100510,Butler County,14APR17,211.0,27.0,157.0,22.0,16.0,10.0,232.0,12.0,200.0,12.0,15.0,25.0
ALABAMA,1,100540,Calhoun County,14APR17,676.0,60.0,429.0,52.0,13.0,25.0,712.0,25.0,429.0,17.0,10.0,25.0
ALABAMA,1,100600,Chambers County,14APR17,260.0,37.0,195.0,32.0,,,294.0,22.0,197.0,12.0,,
ALABAMA,1,100630,Cherokee County,14APR17,272.0,42.0,183.0,37.0,32.0,34.0,321.0,38.0,215.0,27.0,19.0,30.0
ALABAMA,1,100660,Chilton County,14APR17,546.0,48.0,366.0,42.0,,,624.0,21.0,392.0,14.0,1.0,
ALABAMA,1,100690,Choctaw County,14APR17,99.0,37.0,67.0,27.0,,,121.0,8.0,61.0,2.0,,
ALABAMA,1,100720,Clarke County,14APR17,163.0,47.0,98.0,37.0,,,196.0,17.0,109.0,12.0,3.0,
ALABAMA,1,100750,Clay County,14APR17,150.0,52.0,110.0,47.0,,,138.0,17.0,100.0,12.0,1.0,
ALABAMA,1,100780,Cleburne County,14APR17,200.0,67.0,120.0,67.0,5.0,,181.0,27.0,111.0,22.0,,
ALABAMA,1,100810,Coffee County,14APR17,137.0,57.0,90.0,57.0,4.0,,152.0,27.0,85.0,22.0,6.0,25.0
ALABAMA,1,100840,Colbert County,14APR17,199.0,42.0,149.0,37.0,29.0,30.0,188.0,12.0,127.0,8.0,20.0,10.0
ALABAMA,1,100870,Conecuh County,14APR17,107.0,37.0,96.0,37.0,,,109.0,8.0,101.0,8.0,,
ALABAMA,1,100900,Coosa County,14APR17,87.0,22.0,69.0,17.0,1.0,,81.0,27.0,57.0,24.0,,
ALABAMA,1,100930,Covington County,14APR17,244.0,42.0,160.0,37.0,,,250.0,27.0,158.0,17.0,,
ALABAMA,1,100960,Crenshaw County,14APR17,147.0,52.0,102.0,37.0,1.0,,199.0,17.0,134.0,12.0,,
ALABAMA,1,100990,Cullman City,14APR17,235.0,77.0,96.0,67.0,2.0,,206.0,67.0,72.0,57.0,,
ALABAMA,1,101020,Cullman County,14APR17,715.0,47.0,457.0,39.0,5.0,,712.0,39.0,407.0,31.0,6.0,25.0
ALABAMA,1,101050,Dale County,14APR17,245.0,52.0,156.0,47.0,5.0,,237.0,42.0,141.0,27.0,2.0,
ALABAMA,1,101080,Daleville City,14APR17,65.0,32.0,51.0,24.0,4.0,,82.0,12.0,50.0,5.0,1.0,
ALABAMA,1,101110,Dallas County,14APR17,203.0,27.0,148.0,22.0,15.0,25.0,262.0,12.0,181.0,8.0,16.0,10.0
ALABAMA,1,101140,Dekalb County,14APR17,646.0,39.0,430.0,33.0,36.0,34.0,697.0,22.0,418.0,19.0,39.0,15.0
ALABAMA,1,101170,Decatur City,14APR17,640.0,57.0,355.0,48.0,8.0,25.0,611.0,30.0,347.0,18.0,7.0,25.0
ALABAMA,1,101200,Demopolis City,14APR17,199.0,57.0,131.0,42.0,2.0,,196.0,32.0,135.0,22.0,,
ALABAMA,1,101230,Dothan City,14APR17,710.0,56.0,475.0,45.0,37.0,34.0,658.0,30.0,448.0,18.0,57.0,15.0
ALABAMA,1,101260,Elba City,14APR17,35.0,44.0,19.0,30.0,5.0,,42.0,34.0,16.0,10.0,,
ALABAMA,1,101290,Elmore County,14APR17,880.0,62.0,486.0,54.0,13.0,25.0,851.0,29.0,486.0,18.0,10.0,25.0
ALABAMA,1,101320,Enterprise City,14APR17,477.0,67.0,231.0,52.0,8.0,25.0,551.0,43.0,246.0,22.0,11.0,25.0
ALABAMA,1,101350,Escambia County,14APR17,356.0,46.0,292.0,42.0,,,346.0,21.0,252.0,17.0,1.0,
ALABAMA,1,101380,Etowah County,14APR17,675.0,57.0,377.0,50.0,2.0,,707.0,28.0,349.0,24.0,4.0,
ALABAMA,1,101410,Eufaula City,14APR17,198.0,47.0,155.0,42.0,,,199.0,22.0,133.0,12.0,,
ALABAMA,1,101440,Fairfield City,14APR17,128.0,32.0,90.0,37.0,42.0,34.0,138.0,2.0,99.0,2.0,44.0,5.0
ALABAMA,1,101470,Fayette County,14APR17,154.0,57.0,98.0,52.0,,,175.0,37.0,111.0,27.0,3.0,
ALABAMA,1,101530,Florence City,14APR17,301.0,59.0,202.0,47.0,5.0,,324.0,47.0,183.0,27.0,5.0,
ALABAMA,1,101560,Fort Payne City,14APR17,263.0,52.0,171.0,42.0,,,218.0,27.0,146.0,17.0,,
ALABAMA,1,101590,Franklin County,14APR17,248.0,47.0,97.0,37.0,,,266.0,17.0,102.0,12.0,1.0,
ALABAMA,1,101620,Gadsden City,14APR17,383.0,45.0,299.0,37.0,7.0,25.0,372.0,22.0,263.0,12.0,3.0,
ALABAMA,1,101640,Geneva City,14APR17,115.0,52.0,63.0,37.0,,,82.0,42.0,51.0,24.0,,
ALABAMA,1,101660,Geneva County,14APR17,207.0,47.0,145.0,42.0,5.0,,201.0,32.0,128.0,22.0,1.0,
ALABAMA,1,101680,Greene County,14APR17,74.0,17.0,70.0,17.0,6.0,25.0,97.0,2.0,95.0,2.0,6.0,25.0
ALABAMA,1,101690,Guntersville City,14APR17,135.0,62.0,77.0,57.0,11.0,25.0,151.0,47.0,72.0,32.0,12.0,25.0
ALABAMA,1,101710,Hale County,14APR17,183.0,47.0,144.0,42.0,,,173.0,17.0,131.0,12.0,2.0,
ALABAMA,1,101720,Haleyville City,14APR17,120.0,67.0,82.0,62.0,,,121.0,37.0,74.0,22.0,,
ALABAMA,1,101730,Hartselle City,14APR17,231.0,72.0,79.0,57.0,9.0,25.0,243.0,67.0,68.0,52.0,1.0,
ALABAMA,1,101740,Henry County,14APR17,190.0,37.0,127.0,27.0,4.0,,215.0,27.0,118.0,17.0,2.0,
ALABAMA,1,101760,Homewood City,14APR17,330.0,77.0,84.0,47.0,,,284.0,67.0,84.0,42.0,6.0,25.0
ALABAMA,1,101770,Houston County,14APR17,460.0,68.0,293.0,62.0,2.0,,513.0,32.0,320.0,24.0,1.0,
ALABAMA,1,101800,Huntsville City,14APR17,1765.0,56.0,821.0,41.0,17.0,50.0,1600.0,35.0,650.0,14.0,14.0,25.0
ALABAMA,1,101830,Jackson County,14APR17,398.0,51.0,286.0,47.0,,,423.0,28.0,280.0,27.0,2.0,
ALABAMA,1,101860,Jacksonville City,14APR17,117.0,67.0,74.0,57.0,2.0,,134.0,47.0,78.0,32.0,1.0,
ALABAMA,1,101890,Jasper City,14APR17,202.0,62.0,121.0,47.0,,,200.0,22.0,93.0,12.0,,
ALABAMA,1,101920,Jefferson County,14APR17,2727.0,46.0,1760.0,37.0,21.0,10.0,2749.0,21.0,1622.0,13.0,25.0,10.0
ALABAMA,1,101950,Lamar County,14APR17,184.0,47.0,125.0,37.0,5.0,,185.0,17.0,121.0,8.0,,
ALABAMA,1,101980,Lanett City,14APR17,72.0,27.0,66.0,27.0,,,40.0,24.0,37.0,15.0,,
ALABAMA,1,102010,Lauderdale County,14APR17,619.0,63.0,311.0,49.0,7.0,25.0,621.0,41.0,298.0,32.0,5.0,
ALABAMA,1,102040,Lawrence County,14APR17,369.0,56.0,255.0,52.0,30.0,50.0,324.0,22.0,224.0,17.0,21.0,10.0
ALABAMA,1,102070,Lee County,14APR17,693.0,61.0,436.0,54.0,,,765.0,27.0,437.0,20.0,,
ALABAMA,1,102100,Limestone County,14APR17,665.0,63.0,371.0,56.0,8.0,25.0,684.0,27.0,348.0,17.0,9.0,25.0
ALABAMA,1,102130,Linden City,14APR17,25.0,10.0,22.0,10.0,3.0,,37.0,5.0,26.0,10.0,,
ALABAMA,1,102160,Lowndes County,14APR17,112.0,22.0,84.0,17.0,9.0,25.0,125.0,8.0,96.0,8.0,12.0,25.0
ALABAMA,1,102190,Macon County,14APR17,149.0,17.0,110.0,12.0,4.0,,143.0,2.0,90.0,2.0,3.0,
ALABAMA,1,102220,Madison County,14APR17,1395.0,66.0,604.0,55.0,41.0,54.0,1477.0,43.0,544.0,29.0,24.0,50.0
ALABAMA,1,102250,Marengo County,14APR17,68.0,42.0,60.0,34.0,,,95.0,37.0,70.0,22.0,,
ALABAMA,1,102310,Marion County,14APR17,227.0,62.0,161.0,57.0,8.0,25.0,267.0,27.0,154.0,17.0,4.0,
ALABAMA,1,102350,Midfield City,14APR17,96.0,17.0,75.0,17.0,26.0,10.0,105.0,8.0,77.0,8.0,17.0,10.0
ALABAMA,1,102370,Mobile County,14APR17,4430.0,51.0,2474.0,42.0,249.0,42.0,3989.0,28.0,1977.0,18.0,267.0,17.0
ALABAMA,1,102400,Monroe County,14APR17,246.0,42.0,176.0,42.0,1.0,,286.0,17.0,187.0,8.0,1.0,
ALABAMA,1,102430,Montgomery County,14APR17,2442.0,34.0,1497.0,24.0,88.0,12.0,2190.0,15.0,1292.0,5.0,60.0,5.0
ALABAMA,1,102480,Morgan County,14APR17,562.0,50.0,323.0,39.0,3.0,,587.0,27.0,301.0,19.0,7.0,25.0
ALABAMA,1,102490,Mountain Brook City,14APR17,310.0,93.0,,,,,359.0,87.0,,,,
ALABAMA,1,102520,Muscle Shoals City,14APR17,209.0,77.0,61.0,47.0,,,241.0,57.0,89.0,47.0,,
ALABAMA,1,102550,Oneonta City,14APR17,116.0,57.0,60.0,44.0,,,125.0,67.0,46.0,44.0,1.0,
ALABAMA,1,102580,Opelika City,14APR17,352.0,57.0,245.0,47.0,,,322.0,38.0,200.0,22.0,,
ALABAMA,1,102610,Opp City,14APR17,103.0,67.0,51.0,64.0,2.0,,95.0,32.0,52.0,15.0,1.0,
ALABAMA,1,102635,Oxford City,14APR17,315.0,67.0,199.0,57.0,44.0,54.0,322.0,50.0,186.0,37.0,32.0,44.0
ALABAMA,1,102640,Ozark City,14APR17,146.0,52.0,93.0,42.0,4.0,,151.0,27.0,96.0,17.0,,
ALABAMA,1,102650,Pell City,14APR17,294.0,57.0,165.0,47.0,4.0,,310.0,26.0,155.0,17.0,,
ALABAMA,1,102670,Perry County,14APR17,93.0,17.0,60.0,15.0,20.0,10.0,130.0,2.0,99.0,2.0,16.0,10.0
ALABAMA,1,102700,Phenix City,14APR17,613.0,48.0,412.0,41.0,1.0,,436.0,22.0,307.0,16.0,1.0,
ALABAMA,1,102730,Pickens County,14APR17,171.0,37.0,119.0,32.0,,,207.0,17.0,135.0,12.0,1.0,
ALABAMA,1,102760,Piedmont City,14APR17,93.0,72.0,56.0,64.0,,,81.0,32.0,52.0,15.0,3.0,
ALABAMA,1,102790,Pike County,14APR17,161.0,42.0,129.0,37.0,10.0,25.0,176.0,32.0,142.0,27.0,9.0,25.0
ALABAMA,1,102820,Randolph County,14APR17,167.0,37.0,116.0,32.0,2.0,,180.0,17.0,127.0,12.0,2.0,
ALABAMA,1,102850,Roanoke City,14APR17,107.0,42.0,84.0,32.0,,,116.0,27.0,72.0,22.0,,
ALABAMA,1,102880,Russell County,14APR17,255.0,52.0,152.0,47.0,3.0,,256.0,17.0,167.0,12.0,1.0,
ALABAMA,1,102910,Russellville City,14APR17,251.0,47.0,116.0,42.0,,,206.0,22.0,75.0,12.0,,
ALABAMA,1,102940,Scottsboro City,14APR17,178.0,57.0,98.0,47.0,2.0,,201.0,42.0,94.0,27.0,1.0,
ALABAMA,1,102970,Selma City,14APR17,285.0,27.0,244.0,27.0,12.0,25.0,230.0,2.0,188.0,2.0,14.0,25.0
ALABAMA,1,103000,Sheffield City,14APR17,70.0,52.0,44.0,54.0,,,72.0,17.0,45.0,15.0,1.0,
ALABAMA,1,103030,Shelby County,14APR17,1584.0,68.0,518.0,55.0,22.0,30.0,1499.0,46.0,461.0,24.0,12.0,25.0
ALABAMA,1,103062,St Clair County,14APR17,688.0,56.0,345.0,42.0,8.0,25.0,640.0,32.0,297.0,17.0,4.0,
ALABAMA,1,103090,Sumter County,14APR17,124.0,17.0,93.0,17.0,4.0,,122.0,8.0,86.0,8.0,2.0,
ALABAMA,1,103120,Sylacauga City,14APR17,178.0,62.0,123.0,52.0,2.0,,146.0,27.0,84.0,12.0,3.0,
ALABAMA,1,103150,Talladega City,14APR17,148.0,32.0,124.0,32.0,,,129.0,12.0,110.0,8.0,,
ALABAMA,1,103180,Talladega County,14APR17,572.0,45.0,428.0,40.0,18.0,30.0,633.0,30.0,456.0,23.0,5.0,
ALABAMA,1,103210,Tallapoosa County,14APR17,211.0,37.0,150.0,32.0,3.0,,204.0,22.0,145.0,17.0,1.0,
ALABAMA,1,103240,Tallassee City,14APR17,131.0,57.0,79.0,42.0,,,137.0,22.0,84.0,8.0,,
ALABAMA,1,103270,Tarrant City,14APR17,80.0,22.0,54.0,24.0,2.0,,84.0,12.0,51.0,15.0,2.0,
ALABAMA,1,103300,Thomasville City,14APR17,87.0,42.0,60.0,34.0,4.0,,90.0,27.0,64.0,22.0,1.0,
ALABAMA,1,103330,Troy City,14APR17,146.0,52.0,90.0,42.0,4.0,,149.0,17.0,142.0,17.0,3.0,
ALABAMA,1,103360,Tuscaloosa City,14APR17,799.0,46.0,414.0,28.0,19.0,30.0,729.0,29.0,327.0,12.0,17.0,30.0
ALABAMA,1,103390,Tuscaloosa County,14APR17,1342.0,60.0,704.0,47.0,21.0,30.0,1389.0,31.0,711.0,20.0,18.0,10.0
ALABAMA,1,103420,Tuscumbia City,14APR17,103.0,52.0,65.0,42.0,1.0,,107.0,12.0,64.0,12.0,,
ALABAMA,1,103430,Vestavia Hills City,14APR17,574.0,84.0,68.0,57.0,2.0,,505.0,75.0,49.0,34.0,1.0,
ALABAMA,1,103450,Walker County,14APR17,563.0,45.0,366.0,37.0,11.0,25.0,560.0,31.0,352.0,26.0,15.0,25.0
ALABAMA,1,103480,Washington County,14APR17,212.0,47.0,137.0,42.0,4.0,,251.0,12.0,153.0,2.0,4.0,
ALABAMA,1,103510,Wilcox County,14APR17,125.0,22.0,94.0,22.0,24.0,10.0,114.0,2.0,83.0,2.0,11.0,25.0
ALABAMA,1,103540,Winfield City,14APR17,89.0,82.0,47.0,74.0,3.0,,94.0,52.0,42.0,34.0,1.0,
ALABAMA,1,103580,Winston County,14APR17,159.0,47.0,95.0,37.0,2.0,,186.0,22.0,116.0,17.0,,
ARIZONA,4,400001,Cave Creek Unified District,14APR17,436.0,71.0,58.0,44.0,,,432.0,44.0,36.0,24.0,,
ARIZONA,4,400003,Chino Valley Unified District,14APR17,162.0,52.0,126.0,47.0,7.0,25.0,173.0,52.0,115.0,42.0,12.0,25.0
ARIZONA,4,400004,Clarkdale-Jerome Elementary District,14APR17,59.0,34.0,36.0,34.0,,,57.0,34.0,24.0,10.0,,
ARIZONA,4,400005,Salome Consolidated Elementary District,14APR17,17.0,30.0,17.0,30.0,,,13.0,25.0,13.0,25.0,,
ARIZONA,4,400016,Center for Academic Success  Inc.,14APR17,105.0,42.0,84.0,42.0,43.0,44.0,99.0,22.0,80.0,27.0,38.0,24.0
ARIZONA,4,400018,Pine Forest Education Association  Inc.,14APR17,26.0,10.0,10.0,25.0,,,16.0,30.0,7.0,25.0,,
ARIZONA,4,400019,Flagstaff Arts And Leadership Academy,14APR17,,,,,,,48.0,34.0,,,,
ARIZONA,4,400020,Flagstaff Montessori  L.L.C.,14APR17,19.0,70.0,,,,,11.0,25.0,,,,
ARIZONA,4,400021,Colorado City Unified District,14APR17,41.0,64.0,33.0,54.0,,,29.0,30.0,21.0,50.0,,
ARIZONA,4,400022,Vernon Elementary District,14APR17,10.0,25.0,2.0,,,,10.0,25.0,1.0,,1.0,
ARIZONA,4,400023,Pinon Unified District,14APR17,108.0,37.0,4.0,,4.0,,96.0,27.0,1.0,,1.0,
ARIZONA,4,400026,Heber-Overgaard Unified District,14APR17,13.0,25.0,11.0,25.0,,,37.0,54.0,14.0,25.0,,
ARIZONA,4,400028,Triumphant Learning Center,14APR17,12.0,25.0,6.0,25.0,,,10.0,25.0,,,,
ARIZONA,4,400031,Ridgeline Academy  Inc.,14APR17,57.0,64.0,2.0,,,,32.0,54.0,2.0,,,
ARIZONA,4,400033,Boys & Girls Clubs of the East Valley dba Mesa Arts Academy,14APR17,26.0,10.0,2.0,,2.0,,26.0,30.0,,,,
ARIZONA,4,400034,Reid Traditional Schools' Valley Academy  Inc.,14APR17,102.0,77.0,,,,,47.0,74.0,,,,
ARIZONA,4,400036,Foothills Academy,14APR17,15.0,25.0,,,,,33.0,54.0,,,,
ARIZONA,4,400037,Twenty First Century Charter School  Inc. Bennett Academy,14APR17,40.0,44.0,24.0,70.0,,,20.0,50.0,18.0,50.0,,
ARIZONA,4,400040,STEP UP Schools  Inc.,14APR17,9.0,25.0,9.0,25.0,,,9.0,25.0,8.0,25.0,1.0,
ARIZONA,4,400041,Maricopa County Community College District dba Gateway Early,14APR17,,,,,,,,,,,,
ARIZONA,4,400043,New School For The Arts,14APR17,,,,,,,,,,,,
ARIZONA,4,400047,Salt River Pima-Maricopa  Community Schools,14APR17,,,,,,,35.0,15.0,18.0,10.0,,
ARIZONA,4,400052,Espiritu Community Development Corp. 1,14APR17,,,,,,,52.0,24.0,52.0,24.0,,
ARIZONA,4,400053,Heritage Academy  Inc.,14APR17,,,,,,,111.0,32.0,,,,
ARIZONA,4,400054,Villa Montessori Charter School,14APR17,56.0,64.0,9.0,25.0,,,49.0,64.0,9.0,25.0,,
ARIZONA,4,400055,EduPreneurship  Inc.,14APR17,11.0,25.0,11.0,25.0,1.0,,7.0,25.0,7.0,25.0,,
ARIZONA,4,400056,Arizona School For The Arts,14APR17,,,,,,,110.0,72.0,,,,
ARIZONA,4,400057,Arizona Call-a-Teen Youth Resources  Inc.,14APR17,,,,,,,,,,,,
ARIZONA,4,400061,Intelli-School  Inc.,14APR17,,,,,,,,,,,,
ARIZONA,4,400065,Benjamin Franklin Charter School,14APR17,254.0,77.0,,,,,222.0,57.0,,,,
ARIZONA,4,400068,Montessori Day Public Schools Chartered  Inc.,14APR17,40.0,64.0,5.0,,,,7.0,25.0,2.0,,,
ARIZONA,4,400069,Khalsa Montessori Elementary Schools,14APR17,10.0,25.0,,,,,,,,,,
ARIZONA,4,400070,Tempe Preparatory Academy,14APR17,,,,,,,62.0,67.0,,,,
ARIZONA,4,400071,Bright Beginnings School  Inc.,14APR17,50.0,5.0,,,,,,,,,,
ARIZONA,4,400072,Montessori Education Centre Charter School,14APR17,42.0,64.0,,,,,,,,,,
ARIZONA,4,400074,Kingman Academy Of Learning,14APR17,104.0,67.0,32.0,54.0,,,112.0,52.0,32.0,54.0,2.0,
ARIZONA,4,400075,Young Scholars Academy Charter School Corp.,14APR17,47.0,54.0,23.0,50.0,,,28.0,30.0,9.0,25.0,,
ARIZONA,4,400077,Career Development  Inc.,14APR17,,,,,,,,,,,,
ARIZONA,4,400078,Edge School  Inc.  The,14APR17,,,,,,,,,,,,
ARIZONA,4,400079,Tucson Youth Development/ACE Charter High School,14APR17,,,,,,,,,,,,
ARIZONA,4,400081,Presidio School,14APR17,35.0,64.0,26.0,70.0,,,40.0,44.0,21.0,50.0,,
ARIZONA,4,400082,Colorado River Union High School District,14APR17,,,,,,,,,,,,
ARIZONA,4,400083,Portable Practical Educational Preparation Inc. (PPEP In 1,14APR17,,,,,,,,,,,,
ARIZONA,4,400089,Sedona Charter School  Inc.,14APR17,16.0,50.0,10.0,25.0,,,12.0,25.0,7.0,25.0,,
ARIZONA,4,400090,Mingus Springs Charter School,14APR17,21.0,30.0,10.0,25.0,,,17.0,30.0,10.0,25.0,1.0,
ARIZONA,4,400092,Franklin Phonetic Primary School Inc. 1,14APR17,54.0,54.0,31.0,64.0,,,40.0,34.0,19.0,30.0,,
ARIZONA,4,400093,Skyview School  Inc.,14APR17,21.0,70.0,9.0,25.0,,,13.0,25.0,7.0,25.0,,
ARIZONA,4,400094,Az-Tec High School,14APR17,,,,,,,,,,,,
ARIZONA,4,400095,Yuma Private Industry Council  Inc.,14APR17,,,,,,,,,,,,
ARIZONA,4,400096,Mountain School  Inc.,14APR17,34.0,44.0,,,,,,,,,,
ARIZONA,4,400097,Northland Preparatory Academy,14APR17,,,,,,,100.0,57.0,,,,
ARIZONA,4,400098,Flagstaff Junior Academy,14APR17,30.0,50.0,6.0,25.0,,,33.0,24.0,12.0,25.0,,
ARIZONA,4,400099,Liberty High School,14APR17,,,,,,,8.0,25.0,2.0,,,
ARIZONA,4,400100,Ball Charter Schools (Hearn),14APR17,69.0,57.0,23.0,30.0,,,43.0,54.0,12.0,25.0,,
ARIZONA,4,400102,Friendly House  Inc.,14APR17,34.0,24.0,34.0,24.0,8.0,25.0,31.0,5.0,31.0,5.0,2.0,
ARIZONA,4,400103,Ombudsman Educational Services Ltd. a subsidiary of Educ 1,14APR17,,,,,,,,,,,,
ARIZONA,4,400104,Global Renaissance Academy of Distinguished Education,14APR17,,,,,,,13.0,25.0,,,,
ARIZONA,4,400105,Hillcrest Academy  Inc.,14APR17,11.0,25.0,1.0,,,,7.0,25.0,,,,
ARIZONA,4,400106,Arizona Agribusiness & Equine Center Inc. 1,14APR17,,,,,,,,,,,,
ARIZONA,4,400107,International Commerce Secondary Schools  Inc.,14APR17,,,,,,,,,,,,
ARIZONA,4,400108,Humanities and Sciences Academy of the United States  Inc.,14APR17,,,,,,,,,,,,
ARIZONA,4,400109,Phoenix Advantage Charter School  Inc.,14APR17,44.0,5.0,42.0,5.0,2.0,,40.0,5.0,37.0,5.0,3.0,
ARIZONA,4,400111,Allen-Cochran Enterprises  Inc.,14APR17,48.0,74.0,,,,,20.0,30.0,,,,
ARIZONA,4,400112,American Leadership Academy  Inc.,14APR17,514.0,53.0,178.0,42.0,,,457.0,35.0,153.0,32.0,1.0,
ARIZONA,4,400113,Fountain Hills Charter School,14APR17,10.0,25.0,,,,,8.0,25.0,,,,
ARIZONA,4,400115,Hermosa Montessori Charter School,14APR17,24.0,70.0,,,,,9.0,25.0,,,,
ARIZONA,4,400121,Accelerated Learning Center  Inc.,14APR17,,,,,,,,,,,,
ARIZONA,4,400122,Acclaim Charter School,14APR17,47.0,15.0,29.0,30.0,,,38.0,15.0,26.0,30.0,,
ARIZONA,4,400124,Genesis Program  Inc.,14APR17,,,,,,,,,,,,
ARIZONA,4,400125,Luz Academy of Tucson  Inc,14APR17,,,,,,,,,,,,
ARIZONA,4,400126,Montessori Schoolhouse of Tucson  Inc.,14APR17,13.0,25.0,4.0,,,,,,,,,
ARIZONA,4,400128,Academy Of Excellence  Inc.,14APR17,11.0,25.0,11.0,25.0,9.0,25.0,11.0,25.0,11.0,25.0,7.0,25.0
ARIZONA,4,400129,Accelerated Elementary and Secondary Schools,14APR17,18.0,50.0,10.0,25.0,,,13.0,25.0,5.0,,,
ARIZONA,4,400130,American Heritage Academy,14APR17,39.0,24.0,24.0,30.0,,,41.0,34.0,18.0,30.0,,
ARIZONA,4,400131,The Charter Foundation  Inc.,14APR17,127.0,57.0,55.0,54.0,,,42.0,44.0,28.0,50.0,,
ARIZONA,4,400133,Employ-Ability Unlimited  Inc.,14APR17,22.0,50.0,16.0,50.0,,,13.0,25.0,10.0,25.0,,
