"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!All households!!With earnings","Total!!Margin of Error!!All households!!With earnings","Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Total!!Estimate!!All households!!With Social Security income","Total!!Margin of Error!!All households!!With Social Security income","Total!!Estimate!!All households!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Total!!Estimate!!All households!!With cash public assistance income","Total!!Margin of Error!!All households!!With cash public assistance income","Total!!Estimate!!All households!!With retirement income","Total!!Margin of Error!!All households!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households!!With earnings","Mean income (dollars)!!Margin of Error!!All households!!With earnings","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!All households!!With Social Security income","Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!All households!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income","Mean income (dollars)!!Estimate!!All households!!With retirement income","Mean income (dollars)!!Margin of Error!!All households!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT ALLOCATED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Individual income in the past 12 months"
"9700000US0100007","Hoover City School District, Alabama","31257","1620","83.1","3.4","28.7","4.1","26.7","3.8","2.3","1.6","0.0","0.5","16.9","2.6","22271","1059","N","N","N","N","N","N","N","N","N","N","N","N","83039","1258","71.6","3.4","16.4","3.4","0.5","0.7","6.0","1.8","0.1","0.1","3.0","2.4","2.5","1.3","7.7","2.7","67.1","3.8","34.1","(X)","34.3","(X)","26.1","(X)","112136","8511","109646","7924","25223","17392","22945","1821","15949","5301","N","N","33260","5811","130605","12530","N","N","N","N","N","N","N","N","N","N","N","N","42970","2899","48082","4114","27826","5197","N","N","46162","11976","N","N","16056","9979","25216","17767","16763","8249","50262","4174","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100270","Baldwin County School District, Alabama","76779","3010","70.2","2.7","21.1","2.4","39.8","2.8","5.5","1.3","0.6","0.3","26.3","2.2","49943","3287","22.6","2.4","31.6","4.1","32.4","3.8","5.8","1.6","5.9","1.9","1.7","1.2","208563","*****","86.5","0.5","9.0","0.6","0.7","0.6","0.4","0.2","0.0","0.1","0.7","0.5","2.6","0.7","4.4","*****","83.0","0.3","36.3","(X)","38.6","(X)","30.5","(X)","74892","4192","77076","4879","16211","5092","19932","919","10300","1496","1390","515","29136","4022","93516","5613","57819","8599","80909","10390","123225","10436","91172","30060","131709","17750","111494","40925","29977","1456","31953","1684","14788","2972","N","N","47256","30390","N","N","25513","7876","19343","11705","12836","4213","32881","1736","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100390","Birmingham City School District, Alabama","90117","3280","73.7","2.3","10.4","1.3","30.3","2.5","10.8","1.7","2.8","1.1","17.8","1.9","48392","2231","16.2","2.8","41.6","3.6","20.2","2.6","14.8","2.6","4.1","1.5","3.2","1.2","213434","1446","24.6","2.2","71.3","2.2","0.2","0.2","0.7","0.3","0.0","0.1","1.6","0.8","1.6","0.8","3.6","1.0","23.2","2.1","44.5","(X)","50.0","(X)","38.5","(X)","52792","3249","53469","3180","28024","13601","15557","856","8663","828","1878","630","21330","4103","63207","4886","37269","10690","43443","5258","109299","14672","65837","9525","114326","17240","83214","29421","23432","1528","37735","3936","18958","1502","N","N","41360","12746","N","N","16699","7504","4284","3078","14626","3878","39018","4015","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101020","Cullman County School District, Alabama","24188","1198","64.8","4.3","12.4","2.8","38.3","3.9","5.9","2.6","1.2","1.0","24.1","3.6","17511","1318","25.7","4.7","33.2","5.5","24.7","5.0","8.1","3.4","5.2","2.8","3.0","1.9","65184","3628","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3.0","0.9","93.8","1.1","35.0","(X)","33.6","(X)","29.4","(X)","54280","4835","61548","6575","6382","3459","19556","1309","12123","4484","N","N","19011","2900","62910","5948","30823","4451","59985","10098","80536","9525","91560","42501","93134","24437","95375","45888","21345","2153","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7435","3564","21886","2261","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101230","Dothan City School District, Alabama","26119","1073","71.4","2.3","18.2","2.1","35.9","2.1","7.9","1.3","1.2","0.5","21.8","2.0","15977","873","18.9","2.3","39.9","3.2","27.3","3.0","7.5","1.9","4.2","1.0","2.2","1.1","67714","288","60.9","1.8","35.0","1.6","0.3","0.2","1.4","0.2","0.0","0.2","1.1","0.9","1.3","0.5","2.9","0.9","59.3","1.8","43.0","(X)","43.0","(X)","34.9","(X)","63435","4217","65879","4968","14414","4480","18240","760","8784","845","2355","1064","23501","3851","79402","6425","44664","8922","70487","7360","113826","16653","70286","15185","109827","11782","85197","28400","26008","1563","32559","2330","15112","1405","N","N","41498","24413","N","N","14043","5913","8657","5167","15363","3786","32955","2364","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101290","Elmore County School District, Alabama","26273","1456","76.1","3.5","17.0","3.1","31.7","3.4","5.1","2.2","1.2","0.8","24.3","4.3","19087","1977","17.6","4.2","32.2","5.8","32.4","5.5","9.2","3.5","7.0","3.1","1.6","1.8","74566","1816","N","N","N","N","N","N","N","N","N","N","N","N","N","N","0.9","0.8","73.0","1.4","33.3","(X)","35.2","(X)","26.4","(X)","71221","7015","72076","7902","9765","4431","19484","1639","9521","2427","2433","1267","27045","3608","81417","8733","46193","10842","61416","11246","109454","13197","78257","20886","137944","49797","74830","11363","25726","2308","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","28592","2594","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101800","Huntsville City School District, Alabama","80540","2701","78.5","2.1","20.3","2.1","27.2","1.8","5.2","1.2","3.9","1.1","19.5","1.9","46374","2317","14.5","2.7","38.7","4.2","31.1","3.6","8.6","2.5","5.4","2.0","1.6","0.9","196225","2817","60.6","2.4","31.5","2.3","0.6","0.4","2.8","0.8","0.1","0.1","2.1","0.9","2.3","0.6","6.3","0.8","56.8","2.3","28.5","(X)","28.6","(X)","22.4","(X)","79025","4708","75851","5628","26621","9817","18305","926","9821","1602","3186","878","34219","3605","98617","7382","60429","11140","78701","16134","145200","12529","63370","12763","133072","22349","94429","32942","33255","1947","40076","2218","19093","2171","29969","22506","78671","31018","43699","19169","10223","4242","13621","4079","13346","2560","41775","2302","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101920","Jefferson County School District, Alabama","88145","2802","74.4","2.3","15.7","1.5","36.3","2.1","5.8","1.2","0.9","0.6","22.8","2.0","59167","2488","17.5","2.3","34.4","3.0","28.5","3.0","9.1","1.9","8.3","1.9","2.2","1.0","224848","6392","61.2","2.5","32.2","2.2","0.2","0.1","0.9","0.5","0.1","0.1","2.9","1.3","2.6","1.3","2.9","1.1","60.6","2.4","35.0","(X)","38.6","(X)","28.4","(X)","64379","2805","64852","3063","14031","5359","18757","913","9492","1261","4611","1422","21707","5451","75706","3420","46953","5569","60958","5329","103787","7778","69046","6237","104784","10614","87586","15676","26031","1107","29001","1616","22742","2138","N","N","27172","9328","N","N","11759","4560","10820","6519","13117","4222","29160","1603","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0102220","Madison County School District, Alabama","48073","2336","77.9","3.2","20.2","3.5","31.0","3.6","4.8","1.8","1.1","0.6","26.1","3.1","32657","1724","13.8","3.3","31.1","4.0","38.1","4.3","8.7","2.9","6.5","2.3","1.8","1.1","122067","57","75.5","3.1","18.9","3.2","1.1","0.5","0.6","0.4","0.0","0.1","0.5","0.5","3.3","1.3","3.0","1.2","72.8","3.4","31.3","(X)","31.4","(X)","24.6","(X)","84364","7185","84823","5280","N","N","17784","1328","10369","2329","1526","531","26996","4551","98636","9118","42665","8615","85380","27048","125912","9568","89777","11768","132698","18097","98410","18768","34323","2936","35044","3911","34118","6473","26645","9715","8527","6835","N","N","N","N","31726","14852","33482","13021","35017","4039","(X)","(X)","(X)","(X)","(X)","(X)"
