"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C01_004E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M","S1902_C02_015E"
"9700000US1713710","School District U-46, Illinois","75359","2788","87.4","1.8","20.0","2.5","2.1","2.8","0.8","1.3","0.5","13.2","1.9","56083","1991","6.8","1.4","27.5","3.0","35.0","3.1","10.6","2.1","14.0","2.4","6.1","1.9","236501","3673","66.0","2.9","5.4","1.4","0.5","0.4","8.5","1.7","0.0","0.1","17.9","2.7","1.8","0.6","33.5","3.3","51.5","3.1","33.6","(X)","35.9","(X)","25.7","(X)","84564","4125","85202","4079","8436","2153","18132","1433","8127","1834","2705","935","21196","3574","91166","4272","48890","9523","62098","6303","110017","23.8","8782","76889","13544","122436","11198","114081","18576","1399","32812","1943","19192","4100","N","N","27691","3693","N","N","14414","2316","18868","7763","15808","1359","37088","2191","(X)","(X)","(X)","(X)","(X)","(X)","28001"
"9700000US1727710","Naperville Community Unit District 203, Illinois","34834","1481","86.9","2.4","38.7","3.8","3.0","3.5","1.5","0.9","0.6","15.0","2.0","26691","1263","N","N","N","N","N","N","N","N","N","N","N","N","99500","3485","80.8","3.3","3.0","1.5","0.0","0.1","13.8","2.7","0.0","0.1","0.3","0.2","2.2","1.0","4.2","2.0","76.9","3.5","30.5","(X)","30.3","(X)","25.0","(X)","132691","10972","129032","9963","23252","11066","20026","1486","14421","2811","3610","2263","31363","5234","147796","12889","N","N","N","N","N","24.7","N","N","N","N","N","N","N","3468","49045","4156","34138","10435","N","N","42769","10442","N","N","N","N","16950","12968","16535","8888","50694","4412","(X)","(X)","(X)","(X)","(X)","(X)","46982"
"9700000US1728620","McLean County Unit School District 5, Illinois","35466","1523","84.4","2.8","24.9","3.0","2.2","2.2","0.9","1.4","0.9","16.7","2.8","21422","1427","N","N","N","N","N","N","N","N","N","N","N","N","96472","3097","83.1","2.2","6.3","1.7","0.3","0.2","5.9","1.3","0.1","0.2","1.3","1.2","3.0","1.1","5.1","1.0","79.8","2.2","27.6","(X)","25.0","(X)","23.9","(X)","83423","4375","83197","5019","15537","6246","17834","1692","14369","3884","1890","926","27600","4473","108445","6594","N","N","N","N","N","18.8","N","N","N","N","N","N","N","1592","32369","1765","27602","8266","N","N","32926","6697","N","N","N","N","20963","17571","20873","19030","32532","1816","(X)","(X)","(X)","(X)","(X)","(X)","31434"
"9700000US1800150","Anderson Community School Corporation, Indiana","29599","1401","65.3","4.0","16.0","2.5","3.8","7.0","2.0","7.2","2.2","27.7","3.1","17254","1445","22.3","4.3","40.8","5.3","23.2","3.7","6.6","2.5","4.7","1.5","2.4","1.8","71041","2063","83.6","2.2","10.9","1.4","0.2","0.2","0.1","0.2","0.0","0.2","3.0","1.8","2.1","1.2","N","N","N","N","30.1","(X)","28.1","(X)","23.6","(X)","45128","3345","44765","4088","14006","9065","18761","1162","10757","2201","1942","713","15616","2597","54291","4192","42028","11288","39646","5221","75472","38.6","7561","55778","14911","126159","63134","68396","12829","1449","20513","1719","16296","4238","N","N","N","N","N","N","4660","2304","3032","2366","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","19181"
"9700000US1800360","Bartholomew County School Corporation, Indiana","28439","991","75.0","3.1","21.3","3.3","2.9","4.8","1.8","1.7","0.9","22.2","3.4","18646","1443","18.9","3.7","29.3","4.6","35.3","5.1","8.2","2.4","7.5","2.7","0.8","0.8","74115","1449","85.2","1.4","1.8","0.9","0.4","0.5","4.9","0.8","0.2","0.3","5.6","1.4","2.0","1.1","6.8","0.1","83.6","0.7","17.8","(X)","20.2","(X)","15.1","(X)","69876","4482","73213","4573","14144","11343","18096","1329","9790","2564","2084","548","16484","3144","77771","5462","47394","8004","66655","12314","91084","32.8","8573","75101","18217","138711","21699","69689","48573","1912","28795","2179","25731","12798","N","N","44360","9102","N","N","8365","3308","N","N","11616","5086","28883","2206","(X)","(X)","(X)","(X)","(X)","(X)","27822"
"9700000US1800630","Monroe County Community School Corporation, Indiana","46401","1967","80.6","2.5","27.5","3.6","2.1","3.5","1.4","1.3","0.7","14.5","2.0","21800","1733","17.1","4.3","32.7","3.9","33.5","4.2","8.0","3.3","6.0","2.4","2.7","2.0","123593","2294","86.4","0.7","3.8","0.5","0.2","0.2","6.8","0.4","0.1","0.1","0.5","0.4","2.2","0.6","3.5","0.1","83.5","0.5","22.8","(X)","20.5","(X)","26.4","(X)","61503","5141","60387","5694","12103","4359","18513","1402","9036","887","2664","1713","28084","8634","87741","9608","45246","12800","74266","15697","123290","22.5","21078","58907","16336","114863","27865","104574","23381","1744","25837","1862","32254","18861","N","N","15569","5542","N","N","N","N","9773","4936","11069","8104","26451","1893","(X)","(X)","(X)","(X)","(X)","(X)","24901"
"9700000US1801200","Carmel Clay Schools, Indiana","32532","1582","86.1","2.8","38.0","4.1","3.1","1.1","0.8","0.5","0.5","13.3","2.9","23758","1142","N","N","N","N","N","N","N","N","N","N","N","N","90065","24","84.2","3.3","3.5","2.1","0.2","0.3","7.6","2.5","0.0","0.2","1.4","1.6","3.0","1.5","2.3","1.4","82.4","3.5","26.8","(X)","29.1","(X)","23.0","(X)","124235","7906","123610","8615","18900","10252","24327","2548","6934","4165","N","N","32960","7650","146121","10392","N","N","N","N","N","20.6","N","N","N","N","N","N","N","3603","48683","4308","33725","17109","N","N","39882","9716","N","N","N","N","N","N","31475","15951","48999","4412","(X)","(X)","(X)","(X)","(X)","(X)","45635"
"9700000US1802850","East Allen County Schools, Indiana","25360","1492","75.5","3.8","24.9","3.8","3.9","5.9","2.4","4.1","1.8","21.9","3.6","17267","919","15.3","3.6","29.5","4.9","34.9","5.0","6.7","2.7","11.8","4.4","1.8","1.7","67138","1746","85.9","3.2","9.7","3.0","0.0","0.1","1.5","1.0","0.0","0.2","0.7","0.6","2.2","1.2","6.3","2.7","80.5","3.5","31.2","(X)","30.4","(X)","24.7","(X)","62831","4601","65612","5310","8831","3859","19846","1351","11128","2206","4538","2903","12898","1890","74755","6219","36591","4775","54570","7773","105751","30.9","14831","53372","12175","100384","8955","42198","19225","1721","24706","1928","22573","5293","N","N","28125","7830","N","N","17416","10556","7110","5012","12438","4806","25557","2155","(X)","(X)","(X)","(X)","(X)","(X)","24112"
"9700000US1803270","Elkhart Community Schools, Indiana","27872","1437","81.9","4.0","13.0","2.7","4.4","7.6","3.3","2.2","1.1","12.2","3.1","19198","1602","12.0","4.1","41.1","6.8","24.0","5.3","15.5","4.5","5.6","2.8","1.8","1.2","71768","4039","80.5","2.8","8.5","2.2","0.3","0.4","1.7","0.9","0.1","0.2","4.5","2.4","4.3","2.0","17.9","3.4","68.5","3.4","24.5","(X)","27.5","(X)","20.7","(X)","46904","3091","44571","3577","13027","5826","17164","1556","8984","1666","1885","635","12223","3854","51013","4102","26313","5739","39276","5138","70523","31.7","7634","57523","12210","82468","13821","70550","17617","1198","20065","1418","13693","4117","N","N","36003","25669","N","N","6722","1995","11668","4542","10773","2187","21546","1480","(X)","(X)","(X)","(X)","(X)","(X)","18774"
"9700000US1803450","Evansville-Vanderburgh School Corporation, Indiana","72659","1970","74.8","2.1","21.6","2.2","1.7","6.1","1.2","2.6","1.0","19.0","2.4","44431","2245","17.9","2.6","33.7","3.2","31.3","3.4","6.8","1.9","8.4","1.7","2.0","1.0","181398","*****","86.4","0.4","9.2","0.7","0.4","0.1","0.9","0.2","0.1","0.2","0.7","0.4","2.3","0.7","2.4","*****","84.5","0.1","31.4","(X)","29.7","(X)","24.2","(X)","56887","3964","57458","2866","17162","12449","17752","909","8775","861","3873","1837","17541","2240","66565","3748","35271","7058","52517","6729","85899","29.9","6035","61746","9290","105940","8616","130068","71579","1590","25349","1786","10253","1863","20834","17894","18993","7424","N","N","N","N","9137","4815","7970","2085","25731","1814","(X)","(X)","(X)","(X)","(X)","(X)","23402"
"9700000US1803630","Fort Wayne Community Schools, Indiana","88673","1742","78.8","2.0","16.8","1.6","2.1","7.6","1.3","2.8","0.7","15.1","1.5","52276","1933","14.1","2.2","40.7","3.4","27.8","2.5","8.5","1.9","7.1","1.4","1.9","0.8","218745","1114","73.5","1.7","15.4","1.1","0.1","0.1","3.0","0.7","0.0","0.1","4.0","1.3","3.8","0.8","8.8","0.9","68.9","1.6","26.2","(X)","24.6","(X)","20.5","(X)","48365","1871","49249","2341","5339","1219","16971","925","9380","938","2414","794","15005","1383","56247","3106","29149","3341","39752","4168","80137","26.6","5417","62033","8500","104097","12793","56108","8044","779","22394","873","12688","1228","11091","7923","25247","14298","N","N","7901","1952","10527","3421","11012","1527","23107","850","(X)","(X)","(X)","(X)","(X)","(X)","19938"
"9700000US1803870","Gary Community School Corporation, Indiana","28264","1624","61.3","3.8","7.0","1.7","3.5","12.9","3.0","6.2","1.7","22.6","3.4","17876","1390","26.5","4.7","47.7","5.2","11.0","3.4","11.8","3.5","1.5","1.4","1.4","0.9","69814","3607","9.1","2.3","85.7","3.2","0.3","0.3","0.5","0.7","1.2","1.7","2.1","1.7","1.2","0.5","N","N","N","N","34.7","(X)","35.6","(X)","28.3","(X)","35836","2576","37724","3022","10137","6234","15887","891","10005","1253","2410","786","14235","1558","38996","3257","19208","2825","35720","4830","80550","39.2","18529","47343","7655","111525","11599","52116","20174","1104","23548","5827","14523","1259","N","N","N","N","N","N","11835","5321","7645","4541","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","15023"
"9700000US1803940","Greater Clark County Schools, Indiana","28015","1513","75.3","3.7","15.4","3.2","3.8","6.2","2.1","1.1","0.7","23.7","3.4","18134","1488","12.5","3.4","32.6","5.1","31.7","5.5","10.9","3.2","9.8","3.7","2.5","1.7","74985","3700","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","30.0","(X)","28.8","(X)","25.8","(X)","58202","4917","59092","5195","N","N","16944","1389","7871","2095","1581","886","16771","2162","67326","6070","52568","31727","46767","5361","80094","34.1","7853","61123","7349","116460","31703","82510","20341","1561","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","22725"
"9700000US1804320","Hammond School City, Indiana","28575","1759","76.8","3.3","10.6","2.1","3.6","9.2","2.2","3.9","1.4","18.0","3.1","18191","1026","12.9","3.8","40.2","5.2","18.9","4.4","15.0","4.1","7.0","3.1","6.0","3.5","79121","204","47.2","4.5","25.0","3.7","0.7","0.6","1.4","0.6","0.0","0.2","22.8","4.6","3.0","1.5","37.2","4.6","35.4","4.1","40.9","(X)","46.2","(X)","31.6","(X)","47555","3188","48946","3122","6285","4775","15972","1221","9272","1425","2210","652","15027","2658","54142","4356","27844","12153","41619","4853","72617","27.5","8296","57980","8142","100686","11283","72379","24084","1265","22605","1636","13196","2101","18449","1978","7894","4298","N","N","13721","2491","13494","5326","14993","2085","24074","2083","(X)","(X)","(X)","(X)","(X)","(X)","17732"
"9700000US1804770","Indianapolis Public Schools, Indiana","120203","3780","74.5","1.8","10.3","1.1","1.6","7.5","1.1","2.6","0.6","13.6","1.2","62043","2983","17.7","2.3","40.0","2.7","25.3","2.8","12.4","2.2","3.2","1.1","1.5","0.6","310870","8548","53.2","1.9","36.8","1.8","0.3","0.2","0.8","0.3","0.0","0.1","6.3","1.5","2.6","0.7","11.9","1.5","47.7","1.8","33.7","(X)","38.4","(X)","27.4","(X)","47007","2345","51783","2941","12431","3877","14399","616","8780","542","2435","567","14434","2132","54794","3258","22626","3129","37445","3959","93834","25.1","11754","59594","10866","126657","39853","47558","10885","960","24565","1415","14066","1672","7511","5373","16811","10024","N","N","11808","2393","11902","3966","10661","1645","26280","1584","(X)","(X)","(X)","(X)","(X)","(X)","19448"
