"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M"
"9700000US2102990","Jefferson County School District, Kentucky","307177","3351","76.5","0.9","17.5","0.7","28.7","0.7","6.7","0.7","3.2","0.5","18.9","0.7","188591","4323","15.8","1.0","33.3","1.5","32.3","1.5","9.5","1.1","6.9","0.7","2.3","0.6","748630","525","73.3","0.3","20.9","0.4","0.1","0.1","2.4","0.1","0.0","0.1","0.7","0.3","2.6","0.4","4.6","0.1","69.9","0.1","26.7","(X)","26.3","(X)","21.1","(X)","63209","1637","65499","1907","13928","1631","16618","443","8744","541","3856","704","20939","1334","77273","2204","38587","2490","59805","4334","107656","3961","67615","6756","122066","6148","76674","8930","26497","644","29854","845","16312","861","21640","11575","25495","3711","N","N","15378","7873","17746","8993","15187","1733","30551","889","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US2103090","Kenton County School District, Kentucky","35676","1498","82.0","2.5","22.6","3.0","25.1","2.7","3.8","1.1","2.1","1.2","21.0","2.9","25169","1609","12.2","2.6","30.1","3.9","33.5","3.8","9.2","2.8","11.7","2.1","3.2","1.7","97939","3876","92.3","1.7","2.2","1.0","0.1","0.2","1.2","0.9","0.0","0.1","2.4","1.1","1.8","0.9","3.6","0.7","91.6","1.5","28.7","(X)","26.3","(X)","21.2","(X)","74126","4390","72913","4296","13566","4529","18692","1374","9880","1955","4323","3108","23267","3483","83785","5109","49666","12567","56700","9921","111302","9668","78776","13228","117285","9893","71805","14905","27953","1549","28774","1558","24121","9955","N","N","9898","2973","N","N","24661","13663","7017","5695","19715","11998","28918","1563","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US2103720","Madison County School District, Kentucky","28094","1482","75.3","3.1","13.4","2.7","28.0","3.6","9.0","2.5","2.7","1.8","18.3","2.8","17047","1357","N","N","N","N","N","N","N","N","N","N","N","N","76964","1910","92.3","1.7","4.4","2.3","0.7","0.1","1.0","0.7","0.2","0.4","0.1","0.2","1.4","1.3","1.0","1.1","91.4","1.5","19.5","(X)","19.6","(X)","17.7","(X)","52149","3775","52733","4445","8419","4881","16831","1305","8196","1282","4716","2881","24381","2987","64031","5226","N","N","N","N","N","N","N","N","N","N","N","N","19808","1427","20366","1502","12005","7062","8341","5322","N","N","N","N","N","N","N","N","N","N","20447","1510","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US2105730","Warren County School District, Kentucky","36266","1325","80.7","3.0","17.9","2.9","26.6","2.7","8.1","2.6","1.4","0.9","15.2","2.1","24193","1544","13.6","3.0","30.7","5.2","38.1","4.9","9.9","3.5","6.0","2.2","1.7","1.4","90151","3017","84.5","2.2","7.4","1.7","0.0","0.1","2.4","0.8","0.0","0.1","4.1","1.5","1.6","1.2","5.1","1.2","83.6","1.9","24.8","(X)","22.1","(X)","17.6","(X)","57967","3519","57516","3993","13483","6497","17160","1508","7506","1021","N","N","18335","3057","69311","4975","34567","6165","59715","9921","84935","7714","66350","13642","101087","10828","74310","37658","23223","1613","24622","1694","15460","3983","N","N","19761","8341","N","N","8712","3544","28142","12587","8681","2442","24809","1693","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US2200090","Ascension Parish School District, Louisiana","39794","871","81.5","3.2","18.8","3.6","21.9","2.9","4.2","1.9","0.7","0.5","14.7","2.6","29123","1642","15.9","3.9","29.2","4.7","38.2","4.8","7.3","2.9","8.1","3.0","1.3","1.3","112286","*****","74.4","0.7","22.5","0.7","0.1","0.2","1.1","0.3","0.0","0.1","0.4","0.4","1.5","0.9","4.9","*****","70.1","0.3","30.9","(X)","29.6","(X)","22.3","(X)","73034","4963","77161","5263","9006","6631","16497","1278","12399","3249","N","N","23248","4340","81007","5531","40095","8618","65331","11361","107386","10251","46014","14078","123023","23787","95065","14018","26582","1697","29635","2015","18299","2868","N","N","11287","4451","N","N","N","N","12951","9149","15828","7755","30594","2046","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US2200270","Bossier Parish School District, Louisiana","46685","1375","82.9","2.6","15.1","2.7","25.4","2.5","3.4","1.4","1.2","0.7","16.8","2.6","31360","2176","10.0","2.4","35.2","4.0","36.0","4.2","10.0","2.5","6.2","2.0","2.6","1.7","122197","*****","72.5","1.1","21.3","0.4","0.6","0.2","1.4","0.4","0.1","0.1","2.2","1.1","1.8","0.6","6.2","*****","68.7","0.3","27.2","(X)","29.1","(X)","22.5","(X)","68244","6656","68901","6704","10841","4535","15122","1414","8018","1193","4721","3506","20335","4043","79089","9413","35162","7499","62997","13367","106229","20373","59798","11154","114571","16665","79107","27143","27230","2405","31192","3308","16176","2619","9645","4935","40862","25217","N","N","13625","3452","10257","5876","17175","4823","31830","3408","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US2200300","Caddo Parish School District, Louisiana","96648","2111","74.9","1.9","16.6","1.4","32.1","1.5","7.6","1.5","1.1","0.4","19.4","1.6","62845","2954","18.2","1.9","39.6","3.0","25.0","3.0","10.2","2.1","5.0","1.2","2.0","0.9","257093","*****","48.5","0.5","47.9","0.6","0.3","0.1","1.3","0.1","0.0","0.1","0.6","0.4","1.3","0.6","2.6","*****","47.1","0.1","33.4","(X)","33.1","(X)","25.1","(X)","61321","3096","61987","3481","22357","8447","14980","747","8805","899","4063","1865","21362","2600","72085","4454","40425","9055","61606","7484","105399","8099","61208","7915","121771","17013","82270","17379","24073","1193","32551","1721","15787","1212","27177","10382","26555","8594","N","N","28823","10696","7172","2595","16858","3758","33098","1753","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US2200330","Calcasieu Parish School District, Louisiana","74708","1751","76.6","1.5","15.5","2.0","30.6","1.7","5.3","1.3","1.0","0.7","18.3","1.9","51530","2311","15.3","2.0","35.8","2.8","29.9","3.6","10.8","2.2","5.8","1.6","2.4","1.2","194493","*****","71.5","0.3","24.3","0.8","0.4","0.2","1.3","0.1","0.0","0.1","0.7","0.6","1.7","0.6","2.8","*****","69.0","0.2","33.9","(X)","35.9","(X)","26.2","(X)","59070","2979","61429","3712","12193","3052","16558","844","8276","971","3960","1401","17491","1841","70741","3794","30420","3831","53594","4601","99777","8582","71454","10547","114769","16680","112704","38337","23414","1088","26761","1574","14351","1151","27970","8207","26993","15605","N","N","28034","8588","6548","3459","16890","7142","27123","1621","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US2200540","East Baton Rouge Parish School District, Louisiana","145312","3659","81.9","1.3","24.0","1.9","21.9","1.1","5.8","0.8","1.2","0.4","14.9","1.3","82446","3590","14.5","1.6","36.7","2.5","29.3","2.9","11.3","1.9","5.7","1.4","2.5","0.7","376657","6277","46.5","1.1","47.4","1.1","0.2","0.1","3.3","0.3","0.0","0.1","1.0","0.5","1.7","0.6","4.4","0.2","43.5","0.9","41.9","(X)","44.8","(X)","34.9","(X)","67655","3148","65445","2926","20446","5725","16294","810","8478","531","3662","1520","25028","2311","84015","5421","44835","6418","64058","7376","122180","11957","75491","18139","133977","18758","81781","26414","27227","1183","40107","2370","15571","784","N","N","19965","5501","N","N","16517","6002","17412","7890","17661","3644","41536","2545","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US2200720","Iberia Parish School District, Louisiana","26359","1185","75.6","3.9","10.9","2.7","28.9","2.9","7.5","2.3","2.4","1.5","14.4","3.0","19250","1402","N","N","N","N","N","N","N","N","N","N","N","N","73999","*****","63.0","0.8","31.7","1.2","0.1","0.1","2.5","0.6","0.0","0.2","0.6","0.8","2.1","1.3","3.4","*****","60.3","0.1","25.7","(X)","28.2","(X)","20.9","(X)","64189","7888","65455","6382","36218","34487","14909","1130","7432","1372","3255","719","32474","17317","72370","9634","N","N","N","N","N","N","N","N","N","N","N","N","23763","2655","29059","3629","15288","3595","N","N","15974","10929","N","N","N","N","6906","5543","18001","6733","29474","3743","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US2200840","Jefferson Parish School District, Louisiana","166492","2246","78.8","1.3","17.2","1.2","29.5","1.2","6.0","0.9","1.8","0.5","15.9","1.2","104146","3159","14.0","1.5","38.1","2.3","27.4","1.8","10.6","1.6","7.7","1.3","2.1","0.8","433676","*****","63.4","0.9","26.8","0.6","0.5","0.2","3.9","0.2","0.1","0.2","3.3","1.0","2.0","0.5","13.1","*****","54.7","0.4","31.8","(X)","33.5","(X)","25.4","(X)","62419","2030","64183","2349","16788","3691","15346","522","8162","785","3161","800","18973","1197","75255","3059","33629","3410","55348","4286","109267","7002","75826","8489","122001","13631","95809","20569","25300","738","29770","1062","17157","1171","12473","4561","22894","4802","N","N","17515","3937","14361","3457","18301","2036","31311","1079","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US2200870","Lafayette Parish School District, Louisiana","88097","1632","84.7","1.5","16.4","1.8","22.7","1.5","3.6","1.1","1.0","0.5","12.3","1.5","55558","2620","8.6","1.9","40.8","4.3","29.6","3.9","11.1","2.5","8.1","2.1","1.8","1.0","227055","*****","69.9","0.6","24.4","1.0","0.2","0.1","1.4","0.3","0.0","0.1","0.9","0.5","3.3","1.0","4.1","*****","66.9","0.1","30.0","(X)","29.4","(X)","24.2","(X)","70640","4397","70365","5127","20839","6670","15465","834","7726","1358","2381","1247","21962","3350","85993","6525","32875","5484","68013","10274","111881","8488","64326","9590","167840","56206","89025","36372","28883","1639","34599","2318","15350","1379","31078","16288","18363","11794","N","N","21211","7506","14186","5508","21953","6428","35074","2373","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US2200900","Lafourche Parish School District, Louisiana","35392","976","79.2","2.6","16.8","2.5","31.3","2.8","5.6","1.6","1.0","0.7","12.2","2.1","25220","1419","14.8","2.8","40.2","5.5","28.9","4.7","8.7","2.3","5.6","2.3","1.8","1.4","97029","*****","80.7","1.0","13.7","0.3","1.6","0.6","0.9","0.2","0.0","0.2","0.9","1.0","2.2","0.7","4.1","*****","77.6","0.2","27.0","(X)","28.1","(X)","23.3","(X)","60675","3359","62131","4384","13008","7070","16280","846","7394","1271","N","N","19827","4703","67123","4412","32257","5164","53150","7159","92470","7010","70355","11691","118662","26535","82117","25832","23028","1147","24921","1396","14202","3561","15706","10461","N","N","N","N","N","N","18368","6890","18226","3108","25162","1444","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US2201020","Livingston Parish School District, Louisiana","47228","1302","81.5","2.5","8.8","1.9","22.3","2.7","4.4","1.6","1.7","1.4","14.0","2.3","34444","1901","12.0","2.7","38.8","5.1","30.7","4.7","9.8","3.2","7.9","2.7","0.9","0.8","131942","*****","90.5","0.5","6.8","0.5","0.3","0.2","0.0","0.1","0.0","0.1","1.4","0.8","1.0","0.7","N","N","N","N","31.7","(X)","32.0","(X)","23.4","(X)","64787","5728","67117","5080","N","N","15998","1405","10230","3278","1351","981","19915","4447","70377","5945","29572","6267","53914","8409","96922","7228","56290","9845","118659","15583","151657","101397","24075","2074","25081","2175","10909","2949","N","N","N","N","N","N","17929","13796","N","N","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US2201170","Orleans Parish School District, Louisiana","151735","2526","74.0","1.4","15.8","1.0","24.7","0.9","8.4","0.9","2.2","0.5","13.2","0.9","76120","2828","16.7","1.7","41.0","2.2","25.5","1.7","9.2","1.2","5.4","0.9","2.2","0.7","369250","*****","33.9","0.4","59.8","0.3","0.3","0.2","2.9","0.2","0.0","0.1","1.7","0.4","1.3","0.3","5.3","*****","30.6","0.2","36.9","(X)","41.3","(X)","30.6","(X)","59423","2714","65537","3567","22613","4786","13276","438","8436","562","2172","422","19007","1203","73210","3281","22662","4071","54669","4754","121974","8164","67386","9623","148743","24918","74895","13271","25697","1069","45679","2912","14878","676","30732","19030","21567","4276","N","N","19197","7021","18709","5009","23047","4276","48007","3085","(X)","(X)","(X)","(X)","(X)","(X)"
