"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!All households!!With earnings","Total!!Margin of Error!!All households!!With earnings","Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Total!!Estimate!!All households!!With Social Security income","Total!!Margin of Error!!All households!!With Social Security income","Total!!Estimate!!All households!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Total!!Estimate!!All households!!With cash public assistance income","Total!!Margin of Error!!All households!!With cash public assistance income","Total!!Estimate!!All households!!With retirement income","Total!!Margin of Error!!All households!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households!!With earnings","Mean income (dollars)!!Margin of Error!!All households!!With earnings","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!All households!!With Social Security income","Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!All households!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income","Mean income (dollars)!!Estimate!!All households!!With retirement income","Mean income (dollars)!!Margin of Error!!All households!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months"
"9700000US0101020","Cullman County School District, Alabama","24252","1161","64.8","4.7","9.6","2.3","36.4","3.4","5","2.2","0.4","0.5","15","3","16310","1455","N","N","N","N","N","N","N","N","N","N","N","N","64031","2955","97.7","1.3","0.7","0.4","0.2","0.1","0.2","0.2","0","0.2","0.9","1.2","0.4","0.3","5.1","0.8","93.6","1","39","(X)","42.5","(X)","29.1","(X)","47744","3397","55517","4743","10662","4707","17964","1319","12147","5265","N","N","16708","3162","57052","4698","N","N","N","N","N","N","N","N","N","N","N","N","19298","1569","19376","1621","21494","23025","N","N","N","N","N","N","N","N","N","N","6407","3510","19910","1661","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100007","Hoover City School District, Alabama","32355","2061","81.8","3","28.6","3.3","27.1","3.5","2.8","1.6","0.5","0.5","20.3","3.2","22977","1148","11.6","2.9","26.1","4.6","43.3","4.6","9.2","2.9","8.2","2.9","1.6","1.3","84090","861","71.1","4.4","20.7","4.5","0","0.2","5.2","2.8","0","0.2","1.3","1.6","1.8","1.1","3.8","2.1","68.8","4.3","28.6","(X)","31.7","(X)","21.7","(X)","99637","7058","98303","7310","17585","6139","22206","1734","11033","3290","3020","2771","31474","5291","117138","9089","70646","9715","97493","16675","151220","15923","76674","16385","126924","16791","36815","14179","38996","2758","43429","2708","29382","4403","N","N","33447","31970","N","N","N","N","11050","9179","23270","10756","43794","2831","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100270","Baldwin County School District, Alabama","72269","2478","70.7","2.7","21.8","2.3","40.2","2.5","4.1","1.4","2.6","1.3","26.1","2.6","45858","2944","23.6","3.2","30.2","3.8","33.4","4","5.5","1.9","5.2","1.5","2.1","1","203709","*****","85.9","0.8","11.3","0.5","0.9","0.4","0.1","0.1","0","0.1","0.7","0.7","1","0.6","4.5","*****","82.8","0.2","37.6","(X)","41.8","(X)","29.7","(X)","73408","4389","73678","5844","23223","5747","18770","935","8565","1742","4463","2890","24558","2576","89065","5426","62491","8605","85802","15305","112216","7663","66123","13861","100493","17892","98359","37715","28497","1769","30755","1985","15483","2969","14944","6513","N","N","N","N","N","N","12847","9194","14465","7285","31252","2089","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100390","Birmingham City School District, Alabama","93467","2898","72.1","2.5","10.1","1.5","34.1","2.3","8.7","1.5","2.5","0.8","17.9","2.2","47331","2484","17","2.4","43.7","3.8","19.1","2.6","13.2","2.7","4.2","2","2.8","1.2","214911","2144","23.2","1.8","72.8","1.9","0.2","0.2","0.6","0.3","0","0.1","2.2","1","1.1","0.6","4.2","1.1","21.5","1.6","44.8","(X)","46.1","(X)","38.1","(X)","45685","2107","47488","2606","12016","5427","14840","692","7745","752","1993","584","18225","1757","54599","3462","29712","7464","35900","3665","102042","11205","54491","6563","118035","20071","80290","14270","20817","1086","34669","3279","16778","852","N","N","32295","14095","N","N","10058","5999","11582","6604","14722","4221","35686","3501","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101230","Dothan City School District, Alabama","25709","771","72.8","2.3","17.7","1.8","35.3","2.2","7.4","1","1.4","0.5","22.8","2","16686","792","19.6","2.2","39.7","3","24.7","2.2","8.9","1.7","5.4","1.4","1.6","0.8","67536","296","62.6","1.7","33.3","1.7","0.4","0.3","1.1","0.2","0.2","0.3","0.3","0.3","2.1","0.7","2.5","0.8","61.1","1.7","38.1","(X)","38.4","(X)","31","(X)","64798","3705","65979","4380","18647","4929","18316","814","7868","625","2338","671","21803","1788","77972","4876","42190","5562","63220","6889","115067","14174","90476","29795","133680","40617","52848","13374","26377","1428","32712","2031","15752","1507","29245","22382","20676","9844","N","N","20547","11848","11922","5474","17948","3975","33033","2047","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101290","Elmore County School District, Alabama","27124","1090","75.4","4","20","3.7","35.2","3.9","8.5","2.8","0.8","0.8","26.1","4.1","20255","1509","17.4","3.4","37.1","5.7","27.3","5.6","11.5","4.4","4.5","2.1","2.2","1.6","74705","2131","76.2","1.8","21.6","1.8","0","0.1","0.3","0.2","0","0.2","0.2","0.3","1.8","0.3","2.6","0.7","73.6","2","29.2","(X)","28.7","(X)","20.8","(X)","73557","11234","68641","7367","32198","27685","18405","1731","9448","1203","N","N","23972","4680","85979","14508","47184","10242","65489","8125","109056","11500","139446","104293","110988","16342","121879","31750","25748","3059","28558","3664","15079","2760","N","N","N","N","N","N","N","N","26786","11516","11727","5559","29125","3764","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101800","Huntsville City School District, Alabama","77904","2562","73.9","2.1","21.6","1.7","30.8","1.8","4.5","1.2","2.1","0.8","24.2","1.8","44353","2324","19.1","2.7","37.4","3.8","29.1","3.3","9.2","2.5","4","1.2","1.1","0.8","181222","2497","62.1","2.2","31.4","2.1","0.1","0.1","2.5","0.7","0","0.1","1","0.6","2.8","1","5.7","1.1","57.5","2.1","31","(X)","31.2","(X)","25.2","(X)","71805","5051","71044","6417","21155","8987","18075","979","8597","1600","2958","1692","30935","2539","92953","8745","49461","7154","92195","20636","120649","10409","73683","15862","148207","29273","98795","40714","31410","1984","38803","2931","17409","2134","N","N","42790","14846","N","N","15388","10500","20015","6642","32670","21944","38848","2528","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101920","Jefferson County School District, Alabama","88484","3061","77.5","2","15.1","1.9","35.2","2","5.4","1.3","1.7","0.9","20.3","1.8","62034","2523","16.7","2.4","35.6","3.9","29.2","2.9","7.5","1.7","8.5","1.9","2.5","1.1","230409","4825","66.5","2.2","29.2","2.4","0.3","0.2","1.6","0.9","0","0.1","1.4","0.8","1","0.4","3","1","65.1","2.2","33.9","(X)","35.6","(X)","26.7","(X)","66744","3904","67441","3736","12859","11673","18477","839","9436","962","1147","534","21001","4759","78050","5195","37135","5023","62530","12329","104454","7523","72265","8512","123729","12022","125790","34989","26447","1359","29949","2185","20547","2389","18675","14427","15282","6476","N","N","5966","3183","15327","6750","12018","3587","30245","2171","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0102220","Madison County School District, Alabama","47729","2087","83.7","2.6","19.3","2.6","28.8","3.2","5.8","1.8","1.3","0.8","23.1","2.7","35287","1604","11.7","2.5","36.7","4","31.2","4.4","9.4","2.5","9.1","2.6","1.9","1.8","129047","2494","76.6","2.6","16.8","2.3","1.1","0.5","1.5","0.6","0.2","0.3","0.5","0.5","3.2","1.1","3.6","1.4","73.9","2.6","25.8","(X)","26.8","(X)","20.8","(X)","78689","3838","75233","4513","8842","4963","18353","1317","8729","1140","1643","875","28850","3506","88430","4845","56289","8641","70653","8121","115225","8684","74397","12290","127459","19623","72117","41413","29581","1777","30478","2180","27736","3931","47278","13089","38275","20352","N","N","N","N","10935","4974","20391","5919","30811","2278","(X)","(X)","(X)","(X)","(X)","(X)"
