"GEO_ID","NAME","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E"
"9700000US3404500","Edison Township School District, New Jersey","2.3","26948","934","9.2","2.3","32.8","3.7","34.4","3.6","9.5","2.5","9.9","2.7","4.2","1.7","101954","62","40.6","3.2","7.4","1.9","0.3","0.2","45.0","3.9","0.0","0.2","4.3","1.9","2.5","1.2","9.7","2.4","35.8","2.9","26.9","(X)","28.2","(X)","23.2","(X)","110462","6641","116318","7233","11939","2782","18730","1418","11829","3337","3345","1750","22826","3872","123310","7199","46033","10927","98950","10259","161577","13496","106558","20177","160711","28825","118856","20916","38261","2076","39230","2984","22629","3525","N","N","42636","3337","N","N","26759","8926","12492","5189","26176","6201","40799","3480","(X)","(X)","(X)","(X)","(X)","(X)","34199","1290","83.6","2.5","25.8","3.1","24.5","2.9","4.0","1.6","1.5","1.0","16.1"
"9700000US3404590","Elizabeth City School District, New Jersey","2.1","27831","1451","9.0","2.4","37.2","4.6","17.7","3.8","22.1","3.4","9.3","2.2","4.9","1.9","128695","48","49.5","3.6","19.4","2.5","0.0","0.1","2.7","1.4","0.0","0.1","25.2","3.7","3.2","0.9","63.0","3.2","13.7","2.5","38.2","(X)","39.0","(X)","30.0","(X)","53960","3052","55752","3496","10309","2220","14531","1439","9062","1467","2778","961","16734","2953","57324","4158","13872","4951","42815","6244","68472","8320","65436","6088","99776","16072","90127","18611","18308","1106","20217","1617","18161","2348","N","N","21936","9931","N","N","14608","1584","15669","5013","16002","1254","29869","3850","(X)","(X)","(X)","(X)","(X)","(X)","39546","2004","84.2","2.5","10.2","2.1","16.7","2.2","6.1","1.7","3.9","1.6","11.0"
"9700000US3405490","Franklin Township School District, New Jersey","3.5","17350","1103","N","N","N","N","N","N","N","N","N","N","N","N","65940","27","46.5","5.7","22.9","4.5","0.3","0.2","23.3","4.1","0.0","0.2","3.2","2.2","3.8","2.2","13.0","3.9","39.1","4.8","40.0","(X)","39.3","(X)","33.5","(X)","113546","9423","114534","10390","14062","8159","22003","2537","6324","1612","N","N","35304","8951","129878","10740","N","N","N","N","N","N","N","N","N","N","N","N","44066","3619","47512","6170","36976","7330","N","N","49543","6509","N","N","34617","23822","22576","15060","29981","9802","51335","6799","(X)","(X)","(X)","(X)","(X)","(X)","24846","1502","84.9","4.0","26.4","4.5","23.6","3.9","2.7","1.8","2.1","1.5","15.4"
"9700000US3406540","Hamilton Township School District, New Jersey","3.6","21278","1238","10.2","2.8","25.9","5.4","26.0","4.6","14.6","3.3","17.2","4.8","6.1","2.9","89132","32","78.6","3.7","14.6","3.1","0.0","0.2","4.5","2.4","0.0","0.2","1.0","0.6","1.2","0.8","14.4","3.9","66.2","4.7","32.8","(X)","33.8","(X)","30.3","(X)","88189","6126","87185","6788","16425","9036","20780","1395","8816","2692","2095","1315","29178","4442","106801","8644","71120","15841","70659","10028","124153","19234","89552","18506","160314","27401","136624","25103","33156","2056","34617","2430","25489","4110","N","N","31930","12848","N","N","36289","20410","32908","17502","19621","2975","37559","2587","(X)","(X)","(X)","(X)","(X)","(X)","32323","1724","78.6","3.3","20.7","3.4","34.6","3.8","4.3","1.9","1.3","1.0","24.7"
"9700000US3407830","Jersey City School District, New Jersey","1.4","59088","2333","8.4","1.9","40.4","3.1","25.3","2.6","15.1","2.2","5.3","1.5","5.6","1.5","262146","43","35.6","2.2","26.2","1.5","0.2","0.2","25.3","1.3","0.1","0.1","10.4","1.7","2.2","0.7","27.8","1.9","21.2","1.7","44.3","(X)","49.3","(X)","35.3","(X)","84267","4055","90146","4331","10210","2209","16101","1230","8883","1037","2811","521","16097","2789","89955","5947","21722","7390","62339","6030","154807","15258","78465","8303","113821","19889","107006","11540","32894","1552","38125","2744","21940","2159","16260","5791","43230","3136","N","N","17369","4295","35477","16120","19005","2008","49382","3966","(X)","(X)","(X)","(X)","(X)","(X)","98873","2550","85.3","1.5","15.3","1.8","18.8","1.4","5.3","1.2","4.2","1.1","9.4"
"9700000US3408220","Lakewood Township School District, New Jersey","3.0","17586","1082","11.4","3.6","47.8","6.0","26.8","5.1","6.1","2.5","4.3","1.7","3.6","2.3","95172","26","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","29.8","(X)","30.3","(X)","24.2","(X)","63188","5985","61353","7061","12884","4241","19913","2113","7229","895","6945","2850","24552","4945","67817","7450","49449","9420","53305","10391","90322","15137","44543","15644","159740","59813","81011","40727","15758","1536","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)","22979","1462","78.6","3.6","21.9","3.8","29.3","4.1","2.6","1.2","5.4","2.9","17.3"
"9700000US3409270","Old Bridge Township School District, New Jersey","3.6","16657","984","9.3","3.1","25.6","4.7","34.5","5.4","13.0","4.2","15.3","3.8","2.4","1.7","67001","41","78.3","3.8","5.5","1.6","0.1","0.1","13.0","3.7","0.0","0.2","1.4","0.9","1.8","1.0","11.7","3.5","68.4","4.2","33.2","(X)","34.5","(X)","26.7","(X)","106525","7361","107024","8095","6619","2307","20551","2178","10166","2842","2783","1864","31163","6256","119240","8959","69955","20829","77003","8259","148452","14477","91936","20960","181921","23053","90122","27261","39953","2652","40013","2672","47848","24094","N","N","38783","7684","N","N","29725","16244","28660","14142","32059","4217","41053","3056","(X)","(X)","(X)","(X)","(X)","(X)","24205","1238","85.5","3.0","24.7","3.2","28.2","4.1","3.0","1.5","0.9","0.7","17.6"
"9700000US3410110","Middletown Township School District, New Jersey","3.7","17871","789","9.9","2.7","28.0","5.5","33.8","4.8","14.0","4.1","10.9","3.1","3.3","2.1","66021","27","92.3","2.6","1.8","1.1","0.3","0.4","3.3","1.8","0.0","0.2","1.1","1.0","1.3","0.8","5.3","2.1","89.3","3.0","36.3","(X)","36.2","(X)","25.9","(X)","132774","15134","139156","14946","20367","9451","19767","1740","10588","2556","N","N","28944","5128","158386","17665","61900","15969","135087","23738","174789","13072","173956","94165","226680","56341","185779","75780","49451","4731","50951","5011","41159","16374","N","N","37326","11782","N","N","18801","18958","17856","11343","29890","9409","51410","5156","(X)","(X)","(X)","(X)","(X)","(X)","24281","1280","78.9","3.8","35.9","4.5","33.2","4.3","4.6","1.7","1.2","0.9","23.3"
"9700000US3411340","Newark City School District, New Jersey","1.2","58070","2174","12.8","1.7","44.4","3.0","16.5","1.9","13.1","2.0","7.0","1.5","6.1","1.5","280577","44","21.8","2.1","49.7","1.7","0.7","0.2","2.5","0.8","0.0","0.1","23.0","1.9","2.2","0.8","36.0","1.9","10.5","1.2","41.5","(X)","43.9","(X)","31.8","(X)","47492","1945","50959","2308","12809","2400","12855","738","8958","592","2767","350","20367","4232","51509","2530","19844","3179","36349","2430","74543","7254","59839","5176","104142","13019","86911","13371","16864","655","20578","1486","16311","957","13803","5620","16926","6894","N","N","15319","1211","9546","2412","15107","1077","24493","2349","(X)","(X)","(X)","(X)","(X)","(X)","89182","2731","78.0","2.0","8.6","1.3","23.8","2.0","10.7","1.5","12.0","1.5","7.1"
"9700000US3412540","Passaic City School District, New Jersey","1.7","14287","1094","20.7","5.4","38.8","5.0","18.9","5.0","14.5","3.9","4.4","2.1","2.7","1.8","71517","35","35.4","5.5","9.1","3.0","2.8","2.4","3.0","2.0","0.1","0.1","45.3","6.4","4.2","2.2","74.0","4.7","15.6","3.8","23.1","(X)","23.6","(X)","17.5","(X)","45300","4821","54208","5531","23037","13991","13099","1468","7520","732","2514","579","25898","9854","50802","6267","9896","3198","47338","9058","80168","13936","51658","9630","102990","26729","117225","46230","14031","1420","18859","3228","12197","4765","15788","9831","21324","9626","N","N","9718","1623","17269","6166","11211","1236","25034","5730","(X)","(X)","(X)","(X)","(X)","(X)","18813","1289","69.8","5.5","5.7","1.8","25.2","4.7","6.3","2.2","6.2","2.7","4.8"
