"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","District of Columbia","2016","LSPR","Elementary-secondary education school system State ranking for revenue from local sources per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2017","LSPR","Elementary-secondary education school system State ranking for revenue from local sources per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2018","LSPR","Elementary-secondary education school system State ranking for revenue from local sources per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2012","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2013","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2014","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2015","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2016","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2017","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","1"
"Annual Survey of School System Finance","District of Columbia","2018","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2012","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2013","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2014","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2016","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2017","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2018","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2014","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2017","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2012","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2013","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2014","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2015","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2016","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2017","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2018","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2012","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2013","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2014","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2015","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2016","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2017","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","1"
"Annual Survey of School System Finance","New York","2018","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","1"
"Annual Survey of School System Finance","Vermont","2012","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","1"
"Annual Survey of School System Finance","Vermont","2013","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","1"
"Annual Survey of School System Finance","Vermont","2014","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","1"
"Annual Survey of School System Finance","Vermont","2015","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","1"
"Annual Survey of School System Finance","Vermont","2016","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","1"
"Annual Survey of School System Finance","Vermont","2017","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","1"
"Annual Survey of School System Finance","Vermont","2018","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","1"
"Annual Survey of School System Finance","Alaska","2012","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","2"
"Annual Survey of School System Finance","Alaska","2013","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","2"
"Annual Survey of School System Finance","Alaska","2014","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","2"
"Annual Survey of School System Finance","Alaska","2015","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","2"
"Annual Survey of School System Finance","Alaska","2015","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","2"
"Annual Survey of School System Finance","Alaska","2012","FSPR","Elementary-secondary education school system State ranking for revenue from federal sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","Alaska","2013","FSPR","Elementary-secondary education school system State ranking for revenue from federal sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","Alaska","2014","FSPR","Elementary-secondary education school system State ranking for revenue from federal sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","Alaska","2015","FSPR","Elementary-secondary education school system State ranking for revenue from federal sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","Alaska","2016","FSPR","Elementary-secondary education school system State ranking for revenue from federal sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","Alaska","2017","FSPR","Elementary-secondary education school system State ranking for revenue from federal sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","Alaska","2013","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","Alaska","2014","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","Alaska","2015","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","Connecticut","2016","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","2"
"Annual Survey of School System Finance","Connecticut","2018","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","2"
"Annual Survey of School System Finance","Connecticut","2014","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","2"
"Annual Survey of School System Finance","District of Columbia","2014","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","2"
"Annual Survey of School System Finance","District of Columbia","2017","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","2"
"Annual Survey of School System Finance","District of Columbia","2012","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","2"
"Annual Survey of School System Finance","District of Columbia","2016","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","2"
"Annual Survey of School System Finance","District of Columbia","2017","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","2"
"Annual Survey of School System Finance","District of Columbia","2018","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","2"
"Annual Survey of School System Finance","District of Columbia","2012","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","2"
"Annual Survey of School System Finance","District of Columbia","2013","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","2"
"Annual Survey of School System Finance","District of Columbia","2014","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","2"
"Annual Survey of School System Finance","District of Columbia","2016","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","2"
"Annual Survey of School System Finance","District of Columbia","2017","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","2"
"Annual Survey of School System Finance","District of Columbia","2018","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","2"
"Annual Survey of School System Finance","District of Columbia","2018","FSPR","Elementary-secondary education school system State ranking for revenue from federal sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","Hawaii","2012","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","2"
