"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Hawaii","2016","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","8031"
"Annual Survey of School System Finance","Hawaii","2017","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","8420"
"Annual Survey of School System Finance","Hawaii","2018","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","8810"
"Annual Survey of School System Finance","Idaho","2012","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1238989"
"Annual Survey of School System Finance","Idaho","2013","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1278155"
"Annual Survey of School System Finance","Idaho","2014","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1319582"
"Annual Survey of School System Finance","Idaho","2015","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1381205"
"Annual Survey of School System Finance","Idaho","2016","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1454830"
"Annual Survey of School System Finance","Idaho","2017","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1557977"
"Annual Survey of School System Finance","Idaho","2018","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1661972"
"Annual Survey of School System Finance","Idaho","2012","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Idaho","2013","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Idaho","2014","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Idaho","2015","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Idaho","2016","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Idaho","2017","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Idaho","2018","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","0"
"Annual Survey of School System Finance","Idaho","2012","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","974637"
"Annual Survey of School System Finance","Idaho","2013","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","985180"
"Annual Survey of School System Finance","Idaho","2014","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1020626"
"Annual Survey of School System Finance","Idaho","2015","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1057947"
"Annual Survey of School System Finance","Idaho","2016","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1114510"
"Annual Survey of School System Finance","Idaho","2017","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1184799"
"Annual Survey of School System Finance","Idaho","2018","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1252911"
"Annual Survey of School System Finance","Idaho","2012","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","2432"
"Annual Survey of School System Finance","Idaho","2013","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","1316"
"Annual Survey of School System Finance","Idaho","2014","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","898"
"Annual Survey of School System Finance","Idaho","2015","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","792"
"Annual Survey of School System Finance","Idaho","2016","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","715"
"Annual Survey of School System Finance","Idaho","2017","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","503"
"Annual Survey of School System Finance","Idaho","2018","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","482"
"Annual Survey of School System Finance","Idaho","2012","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","183920"
"Annual Survey of School System Finance","Idaho","2013","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","213979"
"Annual Survey of School System Finance","Idaho","2014","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","219098"
"Annual Survey of School System Finance","Idaho","2015","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","243167"
"Annual Survey of School System Finance","Idaho","2016","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","254716"
"Annual Survey of School System Finance","Idaho","2017","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","285649"
"Annual Survey of School System Finance","Idaho","2018","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","318618"
"Annual Survey of School System Finance","Idaho","2012","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","4056"
"Annual Survey of School System Finance","Idaho","2013","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","3572"
"Annual Survey of School System Finance","Idaho","2014","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","3387"
"Annual Survey of School System Finance","Idaho","2015","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","3369"
"Annual Survey of School System Finance","Idaho","2016","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","4356"
"Annual Survey of School System Finance","Idaho","2017","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","4120"
"Annual Survey of School System Finance","Idaho","2018","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","4125"
"Annual Survey of School System Finance","Idaho","2012","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","61719"
"Annual Survey of School System Finance","Idaho","2013","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","62701"
"Annual Survey of School System Finance","Idaho","2014","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","63483"
"Annual Survey of School System Finance","Idaho","2015","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","63980"
"Annual Survey of School System Finance","Idaho","2016","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","65009"
"Annual Survey of School System Finance","Idaho","2017","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","66916"
"Annual Survey of School System Finance","Idaho","2018","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","68756"
"Annual Survey of School System Finance","Idaho","2012","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","12225"
"Annual Survey of School System Finance","Idaho","2013","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","11407"
"Annual Survey of School System Finance","Idaho","2014","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","12090"
"Annual Survey of School System Finance","Idaho","2015","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","11950"
"Annual Survey of School System Finance","Idaho","2016","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","15524"
"Annual Survey of School System Finance","Idaho","2017","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","15990"
"Annual Survey of School System Finance","Idaho","2018","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","17080"
"Annual Survey of School System Finance","Illinois","2012","SS","Elementary-secondary education school system revenue from state sources","State and Local ","10142137"
"Annual Survey of School System Finance","Illinois","2013","SS","Elementary-secondary education school system revenue from state sources","State and Local ","10382540"
"Annual Survey of School System Finance","Illinois","2014","SS","Elementary-secondary education school system revenue from state sources","State and Local ","11163462"
"Annual Survey of School System Finance","Illinois","2015","SS","Elementary-secondary education school system revenue from state sources","State and Local ","11858968"
"Annual Survey of School System Finance","Illinois","2016","SS","Elementary-secondary education school system revenue from state sources","State and Local ","12053316"
"Annual Survey of School System Finance","Illinois","2017","SS","Elementary-secondary education school system revenue from state sources","State and Local ","14471043"
"Annual Survey of School System Finance","Illinois","2018","SS","Elementary-secondary education school system revenue from state sources","State and Local ","15569570"
"Annual Survey of School System Finance","Illinois","2012","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","193099"
"Annual Survey of School System Finance","Illinois","2013","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","170729"
"Annual Survey of School System Finance","Illinois","2014","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","149647"
"Annual Survey of School System Finance","Illinois","2015","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","253215"
"Annual Survey of School System Finance","Illinois","2016","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","252780"
"Annual Survey of School System Finance","Illinois","2017","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","135444"
"Annual Survey of School System Finance","Illinois","2018","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","414498"
"Annual Survey of School System Finance","Illinois","2012","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","5107970"
"Annual Survey of School System Finance","Illinois","2013","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","4895590"
"Annual Survey of School System Finance","Illinois","2014","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","5000560"
"Annual Survey of School System Finance","Illinois","2015","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","4895686"
"Annual Survey of School System Finance","Illinois","2016","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","5044779"
"Annual Survey of School System Finance","Illinois","2017","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","5577086"
"Annual Survey of School System Finance","Illinois","2018","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","6487674"
"Annual Survey of School System Finance","Illinois","2012","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","2406141"
"Annual Survey of School System Finance","Illinois","2013","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","2724361"
"Annual Survey of School System Finance","Illinois","2014","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","3432404"
"Annual Survey of School System Finance","Illinois","2015","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","4321231"
"Annual Survey of School System Finance","Illinois","2016","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","4711021"
"Annual Survey of School System Finance","Illinois","2017","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","6661355"
"Annual Survey of School System Finance","Illinois","2018","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","6698391"
"Annual Survey of School System Finance","Illinois","2012","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","1068710"
"Annual Survey of School System Finance","Illinois","2013","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","1074911"
"Annual Survey of School System Finance","Illinois","2014","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","1137325"
"Annual Survey of School System Finance","Illinois","2015","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","1238912"
"Annual Survey of School System Finance","Illinois","2016","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","826697"
"Annual Survey of School System Finance","Illinois","2017","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","984608"
"Annual Survey of School System Finance","Illinois","2018","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","813318"
"Annual Survey of School System Finance","Illinois","2012","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","813185"
"Annual Survey of School System Finance","Illinois","2013","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","851747"
"Annual Survey of School System Finance","Illinois","2014","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","829566"
"Annual Survey of School System Finance","Illinois","2015","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","665646"
"Annual Survey of School System Finance","Illinois","2016","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","700370"
"Annual Survey of School System Finance","Illinois","2017","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","645333"
"Annual Survey of School System Finance","Illinois","2018","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","407384"
"Annual Survey of School System Finance","Illinois","2012","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","501694"
"Annual Survey of School System Finance","Illinois","2013","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","616011"
"Annual Survey of School System Finance","Illinois","2014","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","568845"
"Annual Survey of School System Finance","Illinois","2015","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","437825"
"Annual Survey of School System Finance","Illinois","2016","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","471968"
"Annual Survey of School System Finance","Illinois","2017","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","443041"
"Annual Survey of School System Finance","Illinois","2018","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","686386"
"Annual Survey of School System Finance","Illinois","2012","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","51338"
"Annual Survey of School System Finance","Illinois","2013","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","49191"
"Annual Survey of School System Finance","Illinois","2014","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","45115"
"Annual Survey of School System Finance","Illinois","2015","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","46453"
"Annual Survey of School System Finance","Illinois","2016","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","45701"
"Annual Survey of School System Finance","Illinois","2017","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","24176"
"Annual Survey of School System Finance","Illinois","2018","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","61919"
"Annual Survey of School System Finance","Indiana","2012","SS","Elementary-secondary education school system revenue from state sources","State and Local ","7462594"
"Annual Survey of School System Finance","Indiana","2013","SS","Elementary-secondary education school system revenue from state sources","State and Local ","7503451"
"Annual Survey of School System Finance","Indiana","2014","SS","Elementary-secondary education school system revenue from state sources","State and Local ","7632238"
"Annual Survey of School System Finance","Indiana","2015","SS","Elementary-secondary education school system revenue from state sources","State and Local ","7676341"
"Annual Survey of School System Finance","Indiana","2016","SS","Elementary-secondary education school system revenue from state sources","State and Local ","7780711"
"Annual Survey of School System Finance","Indiana","2017","SS","Elementary-secondary education school system revenue from state sources","State and Local ","7939731"
"Annual Survey of School System Finance","Indiana","2018","SS","Elementary-secondary education school system revenue from state sources","State and Local ","8098355"
"Annual Survey of School System Finance","Indiana","2012","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","17766"
"Annual Survey of School System Finance","Indiana","2013","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","15669"
"Annual Survey of School System Finance","Indiana","2014","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","30443"
"Annual Survey of School System Finance","Indiana","2015","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","16145"
"Annual Survey of School System Finance","Indiana","2016","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","9503"
"Annual Survey of School System Finance","Indiana","2017","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","12381"
"Annual Survey of School System Finance","Indiana","2018","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","9312"
"Annual Survey of School System Finance","Indiana","2012","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","6233249"
"Annual Survey of School System Finance","Indiana","2013","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","6232163"
"Annual Survey of School System Finance","Indiana","2014","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","6472931"
"Annual Survey of School System Finance","Indiana","2015","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","6482079"
"Annual Survey of School System Finance","Indiana","2016","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","6595587"
"Annual Survey of School System Finance","Indiana","2017","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","6726274"
"Annual Survey of School System Finance","Indiana","2018","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","6827589"
"Annual Survey of School System Finance","Indiana","2012","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","1055761"
"Annual Survey of School System Finance","Indiana","2013","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","994087"
"Annual Survey of School System Finance","Indiana","2014","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","1023543"
"Annual Survey of School System Finance","Indiana","2015","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","1051190"
"Annual Survey of School System Finance","Indiana","2016","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","1053109"
"Annual Survey of School System Finance","Indiana","2017","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","1053838"
"Annual Survey of School System Finance","Indiana","2018","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","1124124"
"Annual Survey of School System Finance","Indiana","2012","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","149084"
"Annual Survey of School System Finance","Indiana","2013","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","255040"
"Annual Survey of School System Finance","Indiana","2014","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","98978"
"Annual Survey of School System Finance","Indiana","2015","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","120944"
"Annual Survey of School System Finance","Indiana","2016","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","117737"
"Annual Survey of School System Finance","Indiana","2017","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","139977"
"Annual Survey of School System Finance","Indiana","2018","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","126793"
"Annual Survey of School System Finance","Indiana","2012","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","1527"
"Annual Survey of School System Finance","Indiana","2013","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","1309"
"Annual Survey of School System Finance","Indiana","2014","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","1271"
"Annual Survey of School System Finance","Indiana","2015","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","1380"
"Annual Survey of School System Finance","Indiana","2016","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","1314"
"Annual Survey of School System Finance","Indiana","2017","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","3761"
"Annual Survey of School System Finance","Indiana","2018","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","6860"
"Annual Survey of School System Finance","Indiana","2012","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","27"
"Annual Survey of School System Finance","Indiana","2013","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","132"
"Annual Survey of School System Finance","Indiana","2014","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","2"
"Annual Survey of School System Finance","Indiana","2015","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","321"
"Annual Survey of School System Finance","Indiana","2016","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","40"
"Annual Survey of School System Finance","Indiana","2017","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","166"
"Annual Survey of School System Finance","Indiana","2018","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","232"
"Annual Survey of School System Finance","Indiana","2012","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","5180"
"Annual Survey of School System Finance","Indiana","2013","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","5051"
"Annual Survey of School System Finance","Indiana","2014","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","5070"
"Annual Survey of School System Finance","Indiana","2015","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","4282"
"Annual Survey of School System Finance","Indiana","2016","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","3421"
"Annual Survey of School System Finance","Indiana","2017","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","3334"
"Annual Survey of School System Finance","Indiana","2018","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","3445"
"Annual Survey of School System Finance","Iowa","2012","SS","Elementary-secondary education school system revenue from state sources","State and Local ","2681035"
"Annual Survey of School System Finance","Iowa","2013","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3118413"
"Annual Survey of School System Finance","Iowa","2014","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3247115"
"Annual Survey of School System Finance","Iowa","2015","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3460798"
"Annual Survey of School System Finance","Iowa","2016","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3583134"
"Annual Survey of School System Finance","Iowa","2017","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3732337"
"Annual Survey of School System Finance","Iowa","2018","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3753106"
"Annual Survey of School System Finance","Iowa","2012","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","8867"
"Annual Survey of School System Finance","Iowa","2013","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","8823"
"Annual Survey of School System Finance","Iowa","2014","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","9990"
"Annual Survey of School System Finance","Iowa","2015","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","10131"
"Annual Survey of School System Finance","Iowa","2016","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","9464"
"Annual Survey of School System Finance","Iowa","2017","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","9008"
"Annual Survey of School System Finance","Iowa","2018","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","8655"
"Annual Survey of School System Finance","Iowa","2012","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","2317114"
"Annual Survey of School System Finance","Iowa","2013","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","2342800"
"Annual Survey of School System Finance","Iowa","2014","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","2453217"
"Annual Survey of School System Finance","Iowa","2015","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","2536621"
"Annual Survey of School System Finance","Iowa","2016","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","2615743"
"Annual Survey of School System Finance","Iowa","2017","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","2747460"
"Annual Survey of School System Finance","Iowa","2018","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","2674533"
"Annual Survey of School System Finance","Iowa","2012","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Iowa","2013","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Iowa","2014","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Iowa","2015","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Iowa","2016","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Iowa","2017","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Iowa","2018","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","0"
"Annual Survey of School System Finance","Iowa","2012","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","342918"
"Annual Survey of School System Finance","Iowa","2013","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","755184"
"Annual Survey of School System Finance","Iowa","2014","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","770727"
"Annual Survey of School System Finance","Iowa","2015","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","900702"
"Annual Survey of School System Finance","Iowa","2016","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","944578"
"Annual Survey of School System Finance","Iowa","2017","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","962641"
"Annual Survey of School System Finance","Iowa","2018","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","1057250"
"Annual Survey of School System Finance","Iowa","2012","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","2008"
"Annual Survey of School System Finance","Iowa","2013","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","1886"
"Annual Survey of School System Finance","Iowa","2014","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","1932"
"Annual Survey of School System Finance","Iowa","2015","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","2119"
"Annual Survey of School System Finance","Iowa","2016","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","2121"
"Annual Survey of School System Finance","Iowa","2017","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","2755"
"Annual Survey of School System Finance","Iowa","2018","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","2484"
"Annual Survey of School System Finance","Iowa","2012","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","7495"
"Annual Survey of School System Finance","Iowa","2013","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","7085"
"Annual Survey of School System Finance","Iowa","2014","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","8580"
"Annual Survey of School System Finance","Iowa","2015","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","8619"
"Annual Survey of School System Finance","Iowa","2016","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","8622"
"Annual Survey of School System Finance","Iowa","2017","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","8362"
"Annual Survey of School System Finance","Iowa","2018","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","8206"
"Annual Survey of School System Finance","Iowa","2012","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","2633"
"Annual Survey of School System Finance","Iowa","2013","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","2635"
"Annual Survey of School System Finance","Iowa","2014","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","2669"
"Annual Survey of School System Finance","Iowa","2015","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","2606"
"Annual Survey of School System Finance","Iowa","2016","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","2606"
"Annual Survey of School System Finance","Iowa","2017","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","2111"
