"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","District of Columbia","2012","O","Elementary-secondary education school system total expenditure other","State and Local ","0"
"Annual Survey of School System Finance","District of Columbia","2013","O","Elementary-secondary education school system total expenditure other","State and Local ","0"
"Annual Survey of School System Finance","District of Columbia","2014","O","Elementary-secondary education school system total expenditure other","State and Local ","0"
"Annual Survey of School System Finance","District of Columbia","2015","O","Elementary-secondary education school system total expenditure other","State and Local ","0"
"Annual Survey of School System Finance","District of Columbia","2016","O","Elementary-secondary education school system total expenditure other","State and Local ","0"
"Annual Survey of School System Finance","District of Columbia","2017","O","Elementary-secondary education school system total expenditure other","State and Local ","0"
"Annual Survey of School System Finance","District of Columbia","2018","O","Elementary-secondary education school system total expenditure other","State and Local ","0"
"Annual Survey of School System Finance","District of Columbia","2012","SS","Elementary-secondary education school system revenue from state sources","State and Local ","X"
"Annual Survey of School System Finance","District of Columbia","2013","SS","Elementary-secondary education school system revenue from state sources","State and Local ","X"
"Annual Survey of School System Finance","District of Columbia","2014","SS","Elementary-secondary education school system revenue from state sources","State and Local ","X"
"Annual Survey of School System Finance","District of Columbia","2015","SS","Elementary-secondary education school system revenue from state sources","State and Local ","X"
"Annual Survey of School System Finance","District of Columbia","2016","SS","Elementary-secondary education school system revenue from state sources","State and Local ","X"
"Annual Survey of School System Finance","District of Columbia","2017","SS","Elementary-secondary education school system revenue from state sources","State and Local ","X"
"Annual Survey of School System Finance","District of Columbia","2018","SS","Elementary-secondary education school system revenue from state sources","State and Local ","X"
"Annual Survey of School System Finance","District of Columbia","2012","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","1189542"
"Annual Survey of School System Finance","District of Columbia","2013","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","1308438"
"Annual Survey of School System Finance","District of Columbia","2014","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","1313289"
"Annual Survey of School System Finance","District of Columbia","2015","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","1360942"
"Annual Survey of School System Finance","District of Columbia","2016","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","1374562"
"Annual Survey of School System Finance","District of Columbia","2017","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","1562841"
"Annual Survey of School System Finance","District of Columbia","2018","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","1547292"
"Annual Survey of School System Finance","District of Columbia","2012","TOTREV","Elementary-secondary education school system total revenue","State and Local ","1331006"
"Annual Survey of School System Finance","District of Columbia","2013","TOTREV","Elementary-secondary education school system total revenue","State and Local ","1300036"
"Annual Survey of School System Finance","District of Columbia","2014","TOTREV","Elementary-secondary education school system total revenue","State and Local ","1342220"
"Annual Survey of School System Finance","District of Columbia","2015","TOTREV","Elementary-secondary education school system total revenue","State and Local ","1382282"
"Annual Survey of School System Finance","District of Columbia","2016","TOTREV","Elementary-secondary education school system total revenue","State and Local ","1329719"
"Annual Survey of School System Finance","District of Columbia","2017","TOTREV","Elementary-secondary education school system total revenue","State and Local ","1520849"
"Annual Survey of School System Finance","District of Columbia","2018","TOTREV","Elementary-secondary education school system total revenue","State and Local ","1507836"
"Annual Survey of School System Finance","Florida","2012","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","7124316"
"Annual Survey of School System Finance","Florida","2013","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","7491910"
"Annual Survey of School System Finance","Florida","2014","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","8289299"
"Annual Survey of School System Finance","Florida","2015","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","7477307"
"Annual Survey of School System Finance","Florida","2016","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","8605457"
"Annual Survey of School System Finance","Florida","2017","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","10263996"
"Annual Survey of School System Finance","Florida","2018","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","9982627"
"Annual Survey of School System Finance","Florida","2012","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","1837264"
"Annual Survey of School System Finance","Florida","2013","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","1411455"
"Annual Survey of School System Finance","Florida","2014","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","1468023"
"Annual Survey of School System Finance","Florida","2015","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","1681665"
"Annual Survey of School System Finance","Florida","2016","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","1983363"
"Annual Survey of School System Finance","Florida","2017","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","2292635"
"Annual Survey of School System Finance","Florida","2018","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","2329901"
"Annual Survey of School System Finance","Florida","2012","CS","Elementary-secondary education school system total current expenditures","State and Local ","22788834"
"Annual Survey of School System Finance","Florida","2013","CS","Elementary-secondary education school system total current expenditures","State and Local ","23144871"
"Annual Survey of School System Finance","Florida","2014","CS","Elementary-secondary education school system total current expenditures","State and Local ","24279963"
"Annual Survey of School System Finance","Florida","2015","CS","Elementary-secondary education school system total current expenditures","State and Local ","24933433"
"Annual Survey of School System Finance","Florida","2016","CS","Elementary-secondary education school system total current expenditures","State and Local ","25339845"
"Annual Survey of School System Finance","Florida","2017","CS","Elementary-secondary education school system total current expenditures","State and Local ","25995086"
"Annual Survey of School System Finance","Florida","2018","CS","Elementary-secondary education school system total current expenditures","State and Local ","26855594"
"Annual Survey of School System Finance","Florida","2012","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","16070589"
"Annual Survey of School System Finance","Florida","2013","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","15442014"
"Annual Survey of School System Finance","Florida","2014","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","15304653"
"Annual Survey of School System Finance","Florida","2015","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","14775644"
"Annual Survey of School System Finance","Florida","2016","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","14654281"
"Annual Survey of School System Finance","Florida","2017","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","14872758"
"Annual Survey of School System Finance","Florida","2018","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","14280016"
"Annual Survey of School System Finance","Florida","2012","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","3068321"
"Annual Survey of School System Finance","Florida","2013","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","3027018"
"Annual Survey of School System Finance","Florida","2014","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","3112027"
"Annual Survey of School System Finance","Florida","2015","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","3118041"
"Annual Survey of School System Finance","Florida","2016","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","3147329"
"Annual Survey of School System Finance","Florida","2017","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","3202127"
"Annual Survey of School System Finance","Florida","2018","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","3349018"
"Annual Survey of School System Finance","Florida","2012","LS","Elementary-secondary education school system revenue from local sources","State and Local ","12361242"
"Annual Survey of School System Finance","Florida","2013","LS","Elementary-secondary education school system revenue from local sources","State and Local ","12191525"
"Annual Survey of School System Finance","Florida","2014","LS","Elementary-secondary education school system revenue from local sources","State and Local ","12499725"
"Annual Survey of School System Finance","Florida","2015","LS","Elementary-secondary education school system revenue from local sources","State and Local ","13185984"
"Annual Survey of School System Finance","Florida","2016","LS","Elementary-secondary education school system revenue from local sources","State and Local ","14008861"
"Annual Survey of School System Finance","Florida","2017","LS","Elementary-secondary education school system revenue from local sources","State and Local ","14447639"
"Annual Survey of School System Finance","Florida","2018","LS","Elementary-secondary education school system revenue from local sources","State and Local ","14972849"
"Annual Survey of School System Finance","Florida","2012","O","Elementary-secondary education school system total expenditure other","State and Local ","725949"
"Annual Survey of School System Finance","Florida","2013","O","Elementary-secondary education school system total expenditure other","State and Local ","689074"
"Annual Survey of School System Finance","Florida","2014","O","Elementary-secondary education school system total expenditure other","State and Local ","775672"
"Annual Survey of School System Finance","Florida","2015","O","Elementary-secondary education school system total expenditure other","State and Local ","661951"
"Annual Survey of School System Finance","Florida","2016","O","Elementary-secondary education school system total expenditure other","State and Local ","621908"
"Annual Survey of School System Finance","Florida","2017","O","Elementary-secondary education school system total expenditure other","State and Local ","612468"
"Annual Survey of School System Finance","Florida","2018","O","Elementary-secondary education school system total expenditure other","State and Local ","653051"
"Annual Survey of School System Finance","Florida","2012","SS","Elementary-secondary education school system revenue from state sources","State and Local ","8702317"
"Annual Survey of School System Finance","Florida","2013","SS","Elementary-secondary education school system revenue from state sources","State and Local ","9455562"
"Annual Survey of School System Finance","Florida","2014","SS","Elementary-secondary education school system revenue from state sources","State and Local ","10460928"
"Annual Survey of School System Finance","Florida","2015","SS","Elementary-secondary education school system revenue from state sources","State and Local ","10661586"
"Annual Survey of School System Finance","Florida","2016","SS","Elementary-secondary education school system revenue from state sources","State and Local ","10963807"
"Annual Survey of School System Finance","Florida","2017","SS","Elementary-secondary education school system revenue from state sources","State and Local ","11346682"
"Annual Survey of School System Finance","Florida","2018","SS","Elementary-secondary education school system revenue from state sources","State and Local ","11812839"
"Annual Survey of School System Finance","Florida","2012","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","25352047"
"Annual Survey of School System Finance","Florida","2013","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","25245400"
"Annual Survey of School System Finance","Florida","2014","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","26523658"
"Annual Survey of School System Finance","Florida","2015","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","27277049"
"Annual Survey of School System Finance","Florida","2016","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","27945116"
"Annual Survey of School System Finance","Florida","2017","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","28900189"
"Annual Survey of School System Finance","Florida","2018","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","29838546"
"Annual Survey of School System Finance","Florida","2012","TOTREV","Elementary-secondary education school system total revenue","State and Local ","24131880"
"Annual Survey of School System Finance","Florida","2013","TOTREV","Elementary-secondary education school system total revenue","State and Local ","24674105"
"Annual Survey of School System Finance","Florida","2014","TOTREV","Elementary-secondary education school system total revenue","State and Local ","26072680"
"Annual Survey of School System Finance","Florida","2015","TOTREV","Elementary-secondary education school system total revenue","State and Local ","26965611"
"Annual Survey of School System Finance","Florida","2016","TOTREV","Elementary-secondary education school system total revenue","State and Local ","28119997"
"Annual Survey of School System Finance","Florida","2017","TOTREV","Elementary-secondary education school system total revenue","State and Local ","28996448"
"Annual Survey of School System Finance","Florida","2018","TOTREV","Elementary-secondary education school system total revenue","State and Local ","30134706"
"Annual Survey of School System Finance","Georgia","2012","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","6137255"
"Annual Survey of School System Finance","Georgia","2013","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","5710995"
"Annual Survey of School System Finance","Georgia","2014","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","5727534"
"Annual Survey of School System Finance","Georgia","2015","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","5518927"
"Annual Survey of School System Finance","Georgia","2016","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","6499232"
"Annual Survey of School System Finance","Georgia","2017","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","6862684"
"Annual Survey of School System Finance","Georgia","2018","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","7061974"
"Annual Survey of School System Finance","Georgia","2012","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","1566020"
"Annual Survey of School System Finance","Georgia","2013","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","1632844"
"Annual Survey of School System Finance","Georgia","2014","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","1642099"
"Annual Survey of School System Finance","Georgia","2015","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","1879063"
"Annual Survey of School System Finance","Georgia","2016","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","1834767"
"Annual Survey of School System Finance","Georgia","2017","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","1948645"
"Annual Survey of School System Finance","Georgia","2018","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","1986647"
"Annual Survey of School System Finance","Georgia","2012","CS","Elementary-secondary education school system total current expenditures","State and Local ","15572647"
"Annual Survey of School System Finance","Georgia","2013","CS","Elementary-secondary education school system total current expenditures","State and Local ","15444120"
"Annual Survey of School System Finance","Georgia","2014","CS","Elementary-secondary education school system total current expenditures","State and Local ","15800788"
"Annual Survey of School System Finance","Georgia","2015","CS","Elementary-secondary education school system total current expenditures","State and Local ","16401832"
"Annual Survey of School System Finance","Georgia","2016","CS","Elementary-secondary education school system total current expenditures","State and Local ","17118329"
"Annual Survey of School System Finance","Georgia","2017","CS","Elementary-secondary education school system total current expenditures","State and Local ","17952298"
"Annual Survey of School System Finance","Georgia","2018","CS","Elementary-secondary education school system total current expenditures","State and Local ","18783387"
"Annual Survey of School System Finance","Georgia","2012","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","4655459"
"Annual Survey of School System Finance","Georgia","2013","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","4598756"
"Annual Survey of School System Finance","Georgia","2014","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","4652152"
"Annual Survey of School System Finance","Georgia","2015","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","4025984"
"Annual Survey of School System Finance","Georgia","2016","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","4307801"
"Annual Survey of School System Finance","Georgia","2017","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","4848419"
"Annual Survey of School System Finance","Georgia","2018","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","4997005"
"Annual Survey of School System Finance","Georgia","2012","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1862297"
"Annual Survey of School System Finance","Georgia","2013","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1805878"
"Annual Survey of School System Finance","Georgia","2014","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1804212"
"Annual Survey of School System Finance","Georgia","2015","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1831221"
"Annual Survey of School System Finance","Georgia","2016","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1807371"
"Annual Survey of School System Finance","Georgia","2017","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1846441"
"Annual Survey of School System Finance","Georgia","2018","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1805691"
"Annual Survey of School System Finance","Georgia","2012","LS","Elementary-secondary education school system revenue from local sources","State and Local ","8238616"
"Annual Survey of School System Finance","Georgia","2013","LS","Elementary-secondary education school system revenue from local sources","State and Local ","8068868"
"Annual Survey of School System Finance","Georgia","2014","LS","Elementary-secondary education school system revenue from local sources","State and Local ","8176386"
"Annual Survey of School System Finance","Georgia","2015","LS","Elementary-secondary education school system revenue from local sources","State and Local ","8438709"
"Annual Survey of School System Finance","Georgia","2016","LS","Elementary-secondary education school system revenue from local sources","State and Local ","8821326"
"Annual Survey of School System Finance","Georgia","2017","LS","Elementary-secondary education school system revenue from local sources","State and Local ","9314662"
"Annual Survey of School System Finance","Georgia","2018","LS","Elementary-secondary education school system revenue from local sources","State and Local ","9755272"
"Annual Survey of School System Finance","Georgia","2012","O","Elementary-secondary education school system total expenditure other","State and Local ","249147"
"Annual Survey of School System Finance","Georgia","2013","O","Elementary-secondary education school system total expenditure other","State and Local ","228701"
"Annual Survey of School System Finance","Georgia","2014","O","Elementary-secondary education school system total expenditure other","State and Local ","215454"
"Annual Survey of School System Finance","Georgia","2015","O","Elementary-secondary education school system total expenditure other","State and Local ","210273"
"Annual Survey of School System Finance","Georgia","2016","O","Elementary-secondary education school system total expenditure other","State and Local ","190362"
"Annual Survey of School System Finance","Georgia","2017","O","Elementary-secondary education school system total expenditure other","State and Local ","222223"
"Annual Survey of School System Finance","Georgia","2018","O","Elementary-secondary education school system total expenditure other","State and Local ","218174"
"Annual Survey of School System Finance","Georgia","2012","SS","Elementary-secondary education school system revenue from state sources","State and Local ","7455147"
"Annual Survey of School System Finance","Georgia","2013","SS","Elementary-secondary education school system revenue from state sources","State and Local ","7580785"
"Annual Survey of School System Finance","Georgia","2014","SS","Elementary-secondary education school system revenue from state sources","State and Local ","7837335"
"Annual Survey of School System Finance","Georgia","2015","SS","Elementary-secondary education school system revenue from state sources","State and Local ","8310872"
"Annual Survey of School System Finance","Georgia","2016","SS","Elementary-secondary education school system revenue from state sources","State and Local ","8771192"
"Annual Survey of School System Finance","Georgia","2017","SS","Elementary-secondary education school system revenue from state sources","State and Local ","9212433"
"Annual Survey of School System Finance","Georgia","2018","SS","Elementary-secondary education school system revenue from state sources","State and Local ","9764721"
"Annual Survey of School System Finance","Georgia","2012","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","17387814"
"Annual Survey of School System Finance","Georgia","2013","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","17305665"
"Annual Survey of School System Finance","Georgia","2014","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","17658341"
"Annual Survey of School System Finance","Georgia","2015","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","18491168"
"Annual Survey of School System Finance","Georgia","2016","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","19143458"
"Annual Survey of School System Finance","Georgia","2017","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","20123166"
"Annual Survey of School System Finance","Georgia","2018","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","20988208"
"Annual Survey of School System Finance","Georgia","2012","TOTREV","Elementary-secondary education school system total revenue","State and Local ","17556060"
"Annual Survey of School System Finance","Georgia","2013","TOTREV","Elementary-secondary education school system total revenue","State and Local ","17455531"
"Annual Survey of School System Finance","Georgia","2014","TOTREV","Elementary-secondary education school system total revenue","State and Local ","17817933"
"Annual Survey of School System Finance","Georgia","2015","TOTREV","Elementary-secondary education school system total revenue","State and Local ","18580802"
"Annual Survey of School System Finance","Georgia","2016","TOTREV","Elementary-secondary education school system total revenue","State and Local ","19399889"
"Annual Survey of School System Finance","Georgia","2017","TOTREV","Elementary-secondary education school system total revenue","State and Local ","20373536"
"Annual Survey of School System Finance","Georgia","2018","TOTREV","Elementary-secondary education school system total revenue","State and Local ","21325684"
"Annual Survey of School System Finance","Hawaii","2012","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","X"
"Annual Survey of School System Finance","Hawaii","2013","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","X"
"Annual Survey of School System Finance","Hawaii","2014","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","X"
"Annual Survey of School System Finance","Hawaii","2015","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","X"
"Annual Survey of School System Finance","Hawaii","2016","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","X"
"Annual Survey of School System Finance","Hawaii","2017","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","X"
"Annual Survey of School System Finance","Hawaii","2018","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","X"
"Annual Survey of School System Finance","Hawaii","2012","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","124096"
"Annual Survey of School System Finance","Hawaii","2013","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","146656"
"Annual Survey of School System Finance","Hawaii","2014","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","173200"
"Annual Survey of School System Finance","Hawaii","2015","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","161801"
"Annual Survey of School System Finance","Hawaii","2016","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","216650"
"Annual Survey of School System Finance","Hawaii","2017","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","161655"
"Annual Survey of School System Finance","Hawaii","2018","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","297171"
"Annual Survey of School System Finance","Hawaii","2012","CS","Elementary-secondary education school system total current expenditures","State and Local ","2220637"
"Annual Survey of School System Finance","Hawaii","2013","CS","Elementary-secondary education school system total current expenditures","State and Local ","2199261"
"Annual Survey of School System Finance","Hawaii","2014","CS","Elementary-secondary education school system total current expenditures","State and Local ","2330944"
"Annual Survey of School System Finance","Hawaii","2015","CS","Elementary-secondary education school system total current expenditures","State and Local ","2359203"
"Annual Survey of School System Finance","Hawaii","2016","CS","Elementary-secondary education school system total current expenditures","State and Local ","2516444"
"Annual Survey of School System Finance","Hawaii","2017","CS","Elementary-secondary education school system total current expenditures","State and Local ","2617034"
"Annual Survey of School System Finance","Hawaii","2018","CS","Elementary-secondary education school system total current expenditures","State and Local ","2773688"
"Annual Survey of School System Finance","Hawaii","2012","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","0"
"Annual Survey of School System Finance","Hawaii","2013","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","0"
"Annual Survey of School System Finance","Hawaii","2014","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","0"
"Annual Survey of School System Finance","Hawaii","2015","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","0"
"Annual Survey of School System Finance","Hawaii","2016","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","0"
"Annual Survey of School System Finance","Hawaii","2017","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","0"
"Annual Survey of School System Finance","Hawaii","2018","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","0"
"Annual Survey of School System Finance","Hawaii","2012","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","318728"
"Annual Survey of School System Finance","Hawaii","2013","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","310778"
"Annual Survey of School System Finance","Hawaii","2014","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","286988"
"Annual Survey of School System Finance","Hawaii","2015","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","259390"
"Annual Survey of School System Finance","Hawaii","2016","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","261131"
"Annual Survey of School System Finance","Hawaii","2017","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","252145"
"Annual Survey of School System Finance","Hawaii","2018","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","270487"
"Annual Survey of School System Finance","Hawaii","2012","LS","Elementary-secondary education school system revenue from local sources","State and Local ","55056"
"Annual Survey of School System Finance","Hawaii","2013","LS","Elementary-secondary education school system revenue from local sources","State and Local ","58069"
"Annual Survey of School System Finance","Hawaii","2014","LS","Elementary-secondary education school system revenue from local sources","State and Local ","55177"
"Annual Survey of School System Finance","Hawaii","2015","LS","Elementary-secondary education school system revenue from local sources","State and Local ","62746"
"Annual Survey of School System Finance","Hawaii","2016","LS","Elementary-secondary education school system revenue from local sources","State and Local ","59027"
"Annual Survey of School System Finance","Hawaii","2017","LS","Elementary-secondary education school system revenue from local sources","State and Local ","57845"
"Annual Survey of School System Finance","Hawaii","2018","LS","Elementary-secondary education school system revenue from local sources","State and Local ","60790"
"Annual Survey of School System Finance","Hawaii","2012","O","Elementary-secondary education school system total expenditure other","State and Local ","0"
"Annual Survey of School System Finance","Hawaii","2013","O","Elementary-secondary education school system total expenditure other","State and Local ","0"
"Annual Survey of School System Finance","Hawaii","2014","O","Elementary-secondary education school system total expenditure other","State and Local ","0"
"Annual Survey of School System Finance","Hawaii","2015","O","Elementary-secondary education school system total expenditure other","State and Local ","0"
"Annual Survey of School System Finance","Hawaii","2016","O","Elementary-secondary education school system total expenditure other","State and Local ","0"
"Annual Survey of School System Finance","Hawaii","2017","O","Elementary-secondary education school system total expenditure other","State and Local ","0"
"Annual Survey of School System Finance","Hawaii","2018","O","Elementary-secondary education school system total expenditure other","State and Local ","0"
"Annual Survey of School System Finance","Hawaii","2012","SS","Elementary-secondary education school system revenue from state sources","State and Local ","2161254"
"Annual Survey of School System Finance","Hawaii","2013","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1962923"
"Annual Survey of School System Finance","Hawaii","2014","SS","Elementary-secondary education school system revenue from state sources","State and Local ","2354601"
"Annual Survey of School System Finance","Hawaii","2015","SS","Elementary-secondary education school system revenue from state sources","State and Local ","2381547"
"Annual Survey of School System Finance","Hawaii","2016","SS","Elementary-secondary education school system revenue from state sources","State and Local ","2710361"
"Annual Survey of School System Finance","Hawaii","2017","SS","Elementary-secondary education school system revenue from state sources","State and Local ","2534177"
"Annual Survey of School System Finance","Hawaii","2018","SS","Elementary-secondary education school system revenue from state sources","State and Local ","2940903"
"Annual Survey of School System Finance","Hawaii","2012","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","2344733"
"Annual Survey of School System Finance","Hawaii","2013","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","2345917"
"Annual Survey of School System Finance","Hawaii","2014","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","2504144"
"Annual Survey of School System Finance","Hawaii","2015","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","2521004"
"Annual Survey of School System Finance","Hawaii","2016","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","2733094"
"Annual Survey of School System Finance","Hawaii","2017","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","2778689"
"Annual Survey of School System Finance","Hawaii","2018","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","3070859"
"Annual Survey of School System Finance","Hawaii","2012","TOTREV","Elementary-secondary education school system total revenue","State and Local ","2535038"
"Annual Survey of School System Finance","Hawaii","2013","TOTREV","Elementary-secondary education school system total revenue","State and Local ","2331770"
"Annual Survey of School System Finance","Hawaii","2014","TOTREV","Elementary-secondary education school system total revenue","State and Local ","2696766"
"Annual Survey of School System Finance","Hawaii","2015","TOTREV","Elementary-secondary education school system total revenue","State and Local ","2703683"
"Annual Survey of School System Finance","Hawaii","2016","TOTREV","Elementary-secondary education school system total revenue","State and Local ","3030519"
"Annual Survey of School System Finance","Hawaii","2017","TOTREV","Elementary-secondary education school system total revenue","State and Local ","2844167"
"Annual Survey of School System Finance","Hawaii","2018","TOTREV","Elementary-secondary education school system total revenue","State and Local ","3272180"
"Annual Survey of School System Finance","Idaho","2012","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","640715"
"Annual Survey of School System Finance","Idaho","2013","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","584593"
"Annual Survey of School System Finance","Idaho","2014","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","657869"
"Annual Survey of School System Finance","Idaho","2015","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","801543"
"Annual Survey of School System Finance","Idaho","2016","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","806066"
"Annual Survey of School System Finance","Idaho","2017","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","978131"
"Annual Survey of School System Finance","Idaho","2018","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","1121234"
"Annual Survey of School System Finance","Idaho","2012","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","69239"
"Annual Survey of School System Finance","Idaho","2013","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","62882"
"Annual Survey of School System Finance","Idaho","2014","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","91323"
