"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Alabama","2017","O","Elementary-secondary education school system total expenditure other","State and Local ","175974"
"Annual Survey of School System Finance","Alabama","2018","O","Elementary-secondary education school system total expenditure other","State and Local ","176658"
"Annual Survey of School System Finance","Alabama","2012","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3948651"
"Annual Survey of School System Finance","Alabama","2013","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3898347"
"Annual Survey of School System Finance","Alabama","2014","SS","Elementary-secondary education school system revenue from state sources","State and Local ","4031547"
"Annual Survey of School System Finance","Alabama","2015","SS","Elementary-secondary education school system revenue from state sources","State and Local ","4080167"
"Annual Survey of School System Finance","Alabama","2016","SS","Elementary-secondary education school system revenue from state sources","State and Local ","4148764"
"Annual Survey of School System Finance","Alabama","2017","SS","Elementary-secondary education school system revenue from state sources","State and Local ","4350594"
"Annual Survey of School System Finance","Alabama","2018","SS","Elementary-secondary education school system revenue from state sources","State and Local ","4430889"
"Annual Survey of School System Finance","Alabama","2012","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","7212701"
"Annual Survey of School System Finance","Alabama","2013","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","7479000"
"Annual Survey of School System Finance","Alabama","2014","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","7578390"
"Annual Survey of School System Finance","Alabama","2015","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","7492652"
"Annual Survey of School System Finance","Alabama","2016","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","7854516"
"Annual Survey of School System Finance","Alabama","2017","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","8021065"
"Annual Survey of School System Finance","Alabama","2018","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","8155523"
"Annual Survey of School System Finance","Alabama","2012","TOTREV","Elementary-secondary education school system total revenue","State and Local ","7135105"
"Annual Survey of School System Finance","Alabama","2013","TOTREV","Elementary-secondary education school system total revenue","State and Local ","7153244"
"Annual Survey of School System Finance","Alabama","2014","TOTREV","Elementary-secondary education school system total revenue","State and Local ","7355547"
"Annual Survey of School System Finance","Alabama","2015","TOTREV","Elementary-secondary education school system total revenue","State and Local ","7358479"
"Annual Survey of School System Finance","Alabama","2016","TOTREV","Elementary-secondary education school system total revenue","State and Local ","7605596"
"Annual Survey of School System Finance","Alabama","2017","TOTREV","Elementary-secondary education school system total revenue","State and Local ","7909958"
"Annual Survey of School System Finance","Alabama","2018","TOTREV","Elementary-secondary education school system total revenue","State and Local ","8068664"
"Annual Survey of School System Finance","Alaska","2012","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2013","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2014","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2015","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2016","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2017","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2018","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2012","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","145219"
"Annual Survey of School System Finance","Alaska","2013","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","248505"
"Annual Survey of School System Finance","Alaska","2014","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","269107"
"Annual Survey of School System Finance","Alaska","2015","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","281914"
"Annual Survey of School System Finance","Alaska","2016","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","255041"
