"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Alabama","2013","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","1099427"
"Annual Survey of School System Finance","Alabama","2014","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","1115626"
"Annual Survey of School System Finance","Alabama","2015","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","1116195"
"Annual Survey of School System Finance","Alabama","2016","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","1180584"
"Annual Survey of School System Finance","Alabama","2017","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","1223603"
"Annual Survey of School System Finance","Alabama","2018","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","1245450"
"Annual Survey of School System Finance","Alabama","2012","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","125312"
"Annual Survey of School System Finance","Alabama","2013","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","116826"
"Annual Survey of School System Finance","Alabama","2014","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","116873"
"Annual Survey of School System Finance","Alabama","2015","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","101181"
"Annual Survey of School System Finance","Alabama","2016","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","110651"
"Annual Survey of School System Finance","Alabama","2017","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","98844"
"Annual Survey of School System Finance","Alabama","2018","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","102533"
"Annual Survey of School System Finance","Alabama","2012","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","4397"
"Annual Survey of School System Finance","Alabama","2013","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","5267"
"Annual Survey of School System Finance","Alabama","2014","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","5065"
"Annual Survey of School System Finance","Alabama","2015","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","5210"
"Annual Survey of School System Finance","Alabama","2016","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","6609"
"Annual Survey of School System Finance","Alabama","2017","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","6970"
"Annual Survey of School System Finance","Alabama","2018","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","7278"
"Annual Survey of School System Finance","Alaska","2012","LS","Elementary-secondary education school system revenue from local sources","State and Local ","523484"
"Annual Survey of School System Finance","Alaska","2013","LS","Elementary-secondary education school system revenue from local sources","State and Local ","516689"
"Annual Survey of School System Finance","Alaska","2014","LS","Elementary-secondary education school system revenue from local sources","State and Local ","529590"
"Annual Survey of School System Finance","Alaska","2015","LS","Elementary-secondary education school system revenue from local sources","State and Local ","550200"
"Annual Survey of School System Finance","Alaska","2016","LS","Elementary-secondary education school system revenue from local sources","State and Local ","573685"
"Annual Survey of School System Finance","Alaska","2017","LS","Elementary-secondary education school system revenue from local sources","State and Local ","553757"
"Annual Survey of School System Finance","Alaska","2018","LS","Elementary-secondary education school system revenue from local sources","State and Local ","549260"
"Annual Survey of School System Finance","Alaska","2012","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2013","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2014","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2015","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","0"
