"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Alabama","2016","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","170794"
"Annual Survey of School System Finance","Alabama","2017","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","175310"
"Annual Survey of School System Finance","Alabama","2018","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","177577"
"Annual Survey of School System Finance","Alabama","2012","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","243066"
"Annual Survey of School System Finance","Alabama","2013","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","258868"
"Annual Survey of School System Finance","Alabama","2014","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","236706"
"Annual Survey of School System Finance","Alabama","2015","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","227500"
"Annual Survey of School System Finance","Alabama","2016","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","227474"
"Annual Survey of School System Finance","Alabama","2017","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","237156"
"Annual Survey of School System Finance","Alabama","2018","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","250590"
"Annual Survey of School System Finance","Alabama","2012","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","769404"
"Annual Survey of School System Finance","Alabama","2013","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","791188"
"Annual Survey of School System Finance","Alabama","2014","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","774249"
