Demographic_Factors,pct_Below PovLvL_All_Ages,pct_Below PovLvL_Age_gte_18,pct_Below PovLvL_Age_18_64,pct_Below PovLvL_Age_gte_65,pc_ Educational_Attain_POP_LT9th,pc_Educational_Attain_POP_9th-12th,pc_Educational_Attain_POP_HS_GRAD,pc_Educational_Attain_POP_SomeColl,pc_Educational_Attain_POP_AssocDeg,pc_Educational_Attain_POP_BacDeg,pc_Educational_Attain_POP_GradProf,pct_Educational_Attain_POP_HS_Grad_higher,pct_Educational_Attain_BS_Deg_higher,ALL_MTH04PCTPROF_1415,ECD_MTH04PCTPROF_1415,HOM_MTH04PCTPROF_1415,ALL_MTH08PCTPROF_1415,ECD_MTH08PCTPROF_1415,HOM_MTH08PCTPROF_1415
pct_Below PovLvL_All_Ages,1.0,0.9999989313305510,0.999990520597799,0.8108565991759760,0.2903812417611510,0.9012984992910390,0.8911514475766640,-0.027222171321624200,-0.9027733533776340,-0.9359052236377390,-0.25440077263315700,-0.7446592660941170,-0.7786984780446100,-0.37376165824614000,-0.16718163603551200,0.46121855200803000,-0.2304639972775470,0.04702614278993180,0.6043916923376090
pct_Below PovLvL_Age_gte_18,0.9999989313305510,1.0,0.9999927716469540,0.8106693866375920,0.29088727980718100,0.9012563280018800,0.8910985636561510,-0.027166648767705700,-0.9026669600356340,-0.9360722501200320,-0.2546354287669550,-0.7448468402793670,-0.7789257641330780,-0.37477666899374400,-0.168173391641686,0.46068717182271600,-0.23066056093254500,0.04680189415075090,0.6039993511130300
pct_Below PovLvL_Age_18_64,0.999990520597799,0.9999927716469540,1.0,0.8088348155423140,0.28937163426195600,0.9008480988158210,0.8917893559077720,-0.025334737769808400,-0.9024540727829400,-0.9365274145488130,-0.2555624930396190,-0.7438314178877790,-0.7796997556283520,-0.3754223861375490,-0.1686864317583190,0.460013297559661,-0.23079666663379,0.04657549455360360,0.6024940795468330
pct_Below PovLvL_Age_gte_65,0.8108565991759760,0.8106693866375920,0.8088348155423140,1.0,0.5369830415655130,0.8389603385884220,0.6168943246098570,-0.13225027091608700,-0.8606217896897320,-0.7179192281382900,0.018065741702777600,-0.8176711893969800,-0.4957693572648860,-0.0479755699703443,0.09071399477798710,0.638559058304262,0.061559683239013500,0.2924938921963540,0.8053879403408860
pc_ Educational_Attain_POP_LT9th,0.2903812417611510,0.29088727980718100,0.28937163426195600,0.5369830415655130,1.0,0.5975268297433420,0.17618631641970100,0.25661345485835200,-0.4663316849687650,-0.40046946517603800,-0.39828752533652000,-0.8371538159946610,-0.46958169371416300,-0.13526412154983800,-0.004854293425504130,0.44884574182268000,0.23661931655320600,0.4234627661076990,0.6002662180760910
pc_Educational_Attain_POP_9th-12th,0.9012984992910390,0.9012563280018800,0.9008480988158210,0.8389603385884220,0.5975268297433420,1.0,0.8089405668125650,0.23385359747900600,-0.9423897317837100,-0.9168539207306300,-0.43114323948088600,-0.9378785728038630,-0.849653189207374,-0.25320812009462200,-0.03364527329098170,0.6554600040361410,-0.10288282128702300,0.20728914888031200,0.7179078064832890
pc_Educational_Attain_POP_HS_GRAD,0.8911514475766640,0.8910985636561510,0.8917893559077720,0.6168943246098570,0.17618631641970100,0.8089405668125650,1.0,0.03811144191113220,-0.8840533811949810,-0.9516212335957840,-0.4133872229750380,-0.6298297324289250,-0.8658533197009070,-0.4181308937891630,-0.21872851130415700,0.44459827790015100,-0.40596657835480400,-0.11838448130288800,0.4373736289402430
pc_Educational_Attain_POP_SomeColl,-0.027222171321624200,-0.027166648767705700,-0.025334737769808400,-0.13225027091608700,0.25661345485835200,0.23385359747900600,0.03811144191113220,1.0,-0.12455098565715600,-0.1325497673979510,-0.5469635225830010,-0.24506553361885900,-0.3567623131745860,0.15524929982321100,0.23315736459255300,0.32449075344635400,0.26550830143031500,0.3188745683570490,0.08636808805318480
pc_Educational_Attain_POP_AssocDeg,-0.9027733533776340,-0.9026669600356340,-0.9024540727829400,-0.8606217896897320,-0.4663316849687650,-0.9423897317837100,-0.8840533811949810,-0.12455098565715600,1.0,0.9381576470388200,0.25671417428874800,0.8465474148702520,0.7827273889406740,0.20776176756323300,0.02038458204524350,-0.6915179735432880,0.11022564495500100,-0.18121888809550300,-0.6702991515459520
pc_Educational_Attain_POP_BacDeg,-0.9359052236377390,-0.9360722501200320,-0.9365274145488130,-0.7179192281382900,-0.40046946517603800,-0.9168539207306300,-0.9516212335957840,-0.1325497673979510,0.9381576470388200,1.0,0.4201563821328020,0.7968742467795090,0.9035641185022480,0.4401027019550620,0.211636858567304,-0.5447848330125010,0.2783569003439330,-0.031983820066830700,-0.5241153592079200
pc_Educational_Attain_POP_GradProf,-0.25440077263315700,-0.2546354287669550,-0.2555624930396190,0.018065741702777600,-0.39828752533652000,-0.43114323948088600,-0.4133872229750380,-0.5469635225830010,0.25671417428874800,0.4201563821328020,1.0,0.4529971060750290,0.7683698649097750,0.37093096280998700,0.20267562062756800,-0.059642053706643200,0.2876333953630860,0.09865615676266790,-0.2207004916533710
pct_Educational_Attain_POP_HS_Grad_higher,-0.7446592660941170,-0.7448468402793670,-0.7438314178877790,-0.8176711893969800,-0.8371538159946610,-0.9378785728038630,-0.6298297324289250,-0.24506553361885900,0.8465474148702520,0.7968742467795090,0.4529971060750290,1.0,0.774930054001129,0.23421825705493200,0.031720216039742800,-0.6325165166073730,-0.026513184441853300,-0.3166865900844710,-0.7572026864009700
