ST_NAME,pct_Below PovLvL_All_Ages,pct_Below PovLvL_Age_gte_18,pct_Below PovLvL_Age_18_64,pct_Below PovLvL_Age_gte_65,pc_ Educational_Attain_POP_LT9th,pc_Educational_Attain_POP_9th-12th,pc_Educational_Attain_POP_HS_GRAD,pc_Educational_Attain_POP_SomeColl,pc_Educational_Attain_POP_AssocDeg,pc_Educational_Attain_POP_BacDeg,pc_Educational_Attain_POP_GradProf,pct_Educational_Attain_POP_HS_Grad_higher,pct_Educational_Attain_BS_Deg_higher,ALL_MTH04PCTPROF_1415,ECD_MTH04PCTPROF_1415,HOM_MTH04PCTPROF_1415,ALL_MTH08PCTPROF_1415,ECD_MTH08PCTPROF_1415,HOM_MTH08PCTPROF_1415
VIRGINIA,12.931818181818187,12.9189393939394,12.908333333333331,15.488764044943817,2.4015151515151514,5.606060606060606,26.53030303030303,22.28030303030303,10.257575757575758,18.12121212121212,11.75,90.63636363636364,30.303030303030305,82.43333333333334,73.43333333333334,45.333333333333336,69.1,60.43333333333333,35.233333333333334
TEXAS,13.959646739130434,13.958559782608699,13.959646739130438,14.653385416666666,6.255434782608695,8.53804347826087,27.83695652173913,24.436141304347824,8.28125,15.639945652173912,5.934782608695652,83.91576086956522,22.028532608695652,68.1559633027523,61.3394495412844,44.41284403669725,67.71559633027523,62.825688073394495,39.06422018348624
IOWA,8.027659574468089,8.025835866261403,8.030091185410337,6.127272727272726,2.243161094224924,3.060790273556231,22.796352583586625,22.51671732522796,18.003039513677813,20.793313069908816,7.64741641337386,93.51671732522796,28.88449848024316,74.0909090909091,64.72727272727273,29.454545454545453,67.36363636363636,56.45454545454545,30.90909090909091
NEBRASKA,8.549315068493156,8.55251141552512,8.564383561643838,5.861904761904762,2.2922374429223744,3.6986301369863015,21.4337899543379,23.82648401826484,17.85388127853881,19.799086757990867,8.378995433789955,93.01826484018265,28.552511415525114,71.125,64.125,37.75,65.875,55.75,22.375
OKLAHOMA,14.955756207674936,14.944243792325052,14.965011286681714,11.721759259259258,2.510158013544018,7.106094808126411,33.31151241534989,24.521444695259593,9.079006772009029,15.279909706546276,5.227990970654628,89.09932279909707,20.941309255079005,71.77272727272727,65.9090909090909,42.68181818181818,59.81818181818182,52.22727272727273,35.45454545454545
FLORIDA,16.59850746268657,16.59850746268657,16.583582089552237,16.378688524590164,4.313432835820896,7.0,29.388059701492537,22.029850746268657,10.537313432835822,15.791044776119403,7.6716417910447765,87.14925373134328,23.970149253731343,58.70909090909091,50.78181818181818,35.72727272727273,58.72727272727273,50.127272727272725,37.763636363636365
LOUISIANA,19.904347826086955,19.886956521739126,19.89999999999999,15.209090909090907,2.710144927536232,8.840579710144928,33.88405797101449,22.782608695652176,7.855072463768116,14.08695652173913,6.768115942028985,87.1304347826087,21.347826086956523,64.97297297297297,60.0,40.83783783783784,55.08108108108108,48.5945945945946,36.5945945945946
TENNESSEE,17.12043795620438,17.12189781021898,17.16131386861314,11.234285714285715,2.335766423357664,6.678832116788321,34.33576642335766,22.927007299270073,8.620437956204379,13.985401459854014,8.007299270072993,89.71532846715328,22.467153284671532,52.86666666666667,42.733333333333334,34.2,54.0,43.333333333333336,24.933333333333334
MINNESOTA,8.03212121212122,8.03151515151516,8.02363636363637,7.29438202247191,1.803030303030303,3.4545454545454546,21.48787878787879,23.009090909090908,17.721212121212123,21.12727272727273,8.436363636363636,93.52727272727273,30.015151515151516,63.13636363636363,47.72727272727273,27.272727272727273,52.27272727272727,34.90909090909091,20.318181818181817
INDIANA,11.027526132404184,11.024041811846693,11.01533101045296,9.690728476821192,3.278745644599303,5.456445993031359,29.818815331010452,22.306620209059233,12.320557491289199,16.89547038327526,6.885017421602788,90.01045296167247,24.233449477351915,62.2972972972973,53.7027027027027,39.4054054054054,49.891891891891895,39.972972972972975,25.324324324324323
