,pct_Below PovLvL_All_Ages,pct_Below PovLvL_Age_gte_18,pct_Below PovLvL_Age_18_64,pct_Below PovLvL_Age_gte_65,pc_ Educational_Attain_POP_LT9th,pc_Educational_Attain_POP_9th-12th,pc_Educational_Attain_POP_HS_GRAD,pc_Educational_Attain_POP_SomeColl,pc_Educational_Attain_POP_AssocDeg,pc_Educational_Attain_POP_BacDeg,pc_Educational_Attain_POP_GradProf,pct_Educational_Attain_POP_HS_Grad_higher,pct_Educational_Attain_BS_Deg_higher,ALL_MTH04PCTPROF_1415,ECD_MTH04PCTPROF_1415,HOM_MTH04PCTPROF_1415,ALL_MTH08PCTPROF_1415,ECD_MTH08PCTPROF_1415,HOM_MTH08PCTPROF_1415
pct_Below PovLvL_All_Ages,1.0,0.9999989313305512,0.999990520597799,0.8108565991759756,0.2903812417611513,0.9012984992910392,0.8911514475766643,-0.027222171321624185,-0.9027733533776338,-0.9359052236377393,-0.25440077263315736,-0.7446592660941167,-0.7786984780446096,-0.37376165824614005,-0.16718163603551203,0.46121855200803047,-0.2304639972775468,0.04702614278993183,0.6043916923376085
pct_Below PovLvL_Age_gte_18,0.9999989313305512,1.0,0.9999927716469543,0.8106693866375922,0.29088727980718077,0.9012563280018796,0.8910985636561509,-0.027166648767705668,-0.9026669600356337,-0.9360722501200316,-0.2546354287669547,-0.7448468402793671,-0.7789257641330776,-0.37477666899374373,-0.168173391641686,0.46068717182271607,-0.23066056093254522,0.04680189415075085,0.6039993511130296
pct_Below PovLvL_Age_18_64,0.999990520597799,0.9999927716469543,1.0,0.8088348155423136,0.28937163426195595,0.9008480988158205,0.8917893559077724,-0.025334737769808442,-0.9024540727829404,-0.9365274145488128,-0.2555624930396186,-0.7438314178877788,-0.7796997556283518,-0.3754223861375487,-0.1686864317583186,0.460013297559661,-0.23079666663379,0.04657549455360355,0.6024940795468328
pct_Below PovLvL_Age_gte_65,0.8108565991759756,0.8106693866375922,0.8088348155423136,1.0,0.5369830415655126,0.8389603385884219,0.6168943246098574,-0.13225027091608726,-0.8606217896897318,-0.7179192281382898,0.018065741702777565,-0.8176711893969802,-0.4957693572648856,-0.0479755699703443,0.09071399477798714,0.638559058304262,0.061559683239013493,0.2924938921963541,0.8053879403408863
pc_ Educational_Attain_POP_LT9th,0.2903812417611513,0.29088727980718077,0.28937163426195595,0.5369830415655126,1.0,0.5975268297433418,0.17618631641970053,0.25661345485835224,-0.4663316849687652,-0.40046946517603765,-0.39828752533652007,-0.8371538159946608,-0.46958169371416275,-0.13526412154983797,-0.004854293425504125,0.44884574182267967,0.23661931655320648,0.4234627661076985,0.6002662180760908
pc_Educational_Attain_POP_9th-12th,0.9012984992910392,0.9012563280018796,0.9008480988158205,0.8389603385884219,0.5975268297433418,1.0,0.8089405668125645,0.23385359747900647,-0.9423897317837097,-0.9168539207306303,-0.43114323948088584,-0.9378785728038631,-0.849653189207374,-0.25320812009462174,-0.03364527329098169,0.6554600040361412,-0.10288282128702274,0.20728914888031216,0.7179078064832888
pc_Educational_Attain_POP_HS_GRAD,0.8911514475766643,0.8910985636561509,0.8917893559077724,0.6168943246098574,0.17618631641970053,0.8089405668125645,1.0,0.03811144191113219,-0.8840533811949812,-0.9516212335957841,-0.4133872229750375,-0.6298297324289249,-0.8658533197009072,-0.4181308937891633,-0.21872851130415655,0.44459827790015066,-0.40596657835480426,-0.11838448130288844,0.4373736289402427
pc_Educational_Attain_POP_SomeColl,-0.027222171321624185,-0.027166648767705668,-0.025334737769808442,-0.13225027091608726,0.25661345485835224,0.23385359747900647,0.03811144191113219,1.0,-0.12455098565715568,-0.1325497673979505,-0.5469635225830008,-0.24506553361885947,-0.3567623131745857,0.15524929982321062,0.23315736459255348,0.32449075344635414,0.26550830143031484,0.3188745683570485,0.08636808805318483
pc_Educational_Attain_POP_AssocDeg,-0.9027733533776338,-0.9026669600356337,-0.9024540727829404,-0.8606217896897318,-0.4663316849687652,-0.9423897317837097,-0.8840533811949812,-0.12455098565715568,1.0,0.9381576470388202,0.25671417428874765,0.8465474148702523,0.7827273889406736,0.20776176756323333,0.02038458204524351,-0.6915179735432878,0.11022564495500084,-0.18121888809550304,-0.6702991515459523
pc_Educational_Attain_POP_BacDeg,-0.9359052236377393,-0.9360722501200316,-0.9365274145488128,-0.7179192281382898,-0.40046946517603765,-0.9168539207306303,-0.9516212335957841,-0.1325497673979505,0.9381576470388202,1.0,0.4201563821328015,0.7968742467795091,0.9035641185022484,0.4401027019550615,0.211636858567304,-0.5447848330125008,0.2783569003439329,-0.031983820066830676,-0.5241153592079197
