"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"9700000US0100007","Hoover City School District, Alabama","30675","2155","74.6","4.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","73.6","4.0","5.1","2.8","38.9","5.1","36.2","5.5","19.7","4.1","21671","1628","N","N","N","N","N","N","N","N","N","N","9004","1948","49.2","10.4","46.2","10.4","3.0","2.8","50.8","10.4","45.8","10.0","5.0","4.0","18.8","(X)","19.9","(X)","14.6","(X)","75690","8274","92692","8692","37050","2733","-","**","64853","17156","-","**","N","N","26480","24453","36050","32409","93061","7684","28253","7869","61737","15933","94173","9891","78376","25533","95957","7004","96553","12101","92452","12944","102712","11559","40456","10448","70283","44355","40281","4298","36558","4272","36361","4526","45560","43901","42728","12859","42431","14743","52781","41676","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100270","Baldwin County School District, Alabama","74460","4575","88.5","1.8","8.5","1.3","N","N","N","N","N","N","N","N","N","N","N","N","86.8","2.0","2.4","1.0","30.8","2.3","41.8","2.5","25.0","1.5","52198","3666","N","N","N","N","N","N","N","N","N","N","22262","2998","57.3","6.5","50.2","7.1","7.1","4.4","42.7","6.5","38.2","6.5","4.5","2.6","27.5","(X)","29.2","(X)","22.9","(X)","50900","4988","54003","6446","28752","5153","48375","26912","41159","13481","-","**","N","N","N","N","N","N","53639","6302","27266","27159","52634","12803","62752","13467","42194","5178","66145","3993","65773","14466","66564","5063","75251","6727","25878","5306","24250","20769","33795","6528","27470","3728","25280","4647","46043","9900","38285","3796","37052","3007","95633","18049","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100390","Birmingham City School District, Alabama","86653","3073","26.4","2.2","70.6","2.4","N","N","N","N","N","N","N","N","N","N","N","N","25.0","2.2","6.6","1.5","31.3","2.4","39.8","2.1","22.3","1.5","47176","2123","36.1","3.5","63.9","3.5","51.2","3.6","41.9","3.5","6.9","1.8","39477","3163","56.7","3.6","51.5","3.8","5.1","1.8","43.3","3.6","36.0","3.5","7.4","2.2","32.5","(X)","35.6","(X)","28.0","(X)","28646","2227","45811","5202","23135","2366","N","N","44733","13761","-","**","38585","12373","40185","26762","35142","17614","46436","5981","12646","3534","30597","2017","35089","3293","22983","2399","34116","3902","21863","3351","42995","4308","50737","4777","19659","2070","22480","5603","21775","1712","18298","2937","17281","2400","32532","8147","28185","3595","24709","6433","38217","12678","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101020","Cullman County School District, Alabama","26628","1370","96.6","1.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","94.6","1.5","2.6","1.5","31.6","3.1","40.2","3.2","25.5","2.4","20034","1411","N","N","N","N","N","N","N","N","N","N","6594","1041","45.6","7.0","44.3","7.1","1.3","1.3","54.4","7.0","48.5","7.3","5.9","4.2","29.7","(X)","29.7","(X)","28.8","(X)","39212","5792","38781","5741","62906","43330","63180","43000","-","**","-","**","-","**","N","N","54355","22680","38511","5609","28362","46535","46313","10124","56989","6241","25794","4815","52945","7261","53617","11459","52160","11447","57829","2971","20604","6831","64109","53803","16284","2864","13262","5452","12830","5676","22650","5903","19600","8987","17281","5880","45336","4001","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101230","Dothan City School District, Alabama","25778","874","68.7","2.3","28.3","2.1","N","N","N","N","N","N","N","N","N","N","N","N","68.2","2.4","4.2","0.8","34.6","2.4","36.8","2.3","24.4","1.9","17091","771","42.0","3.0","58.0","3.0","70.7","2.2","25.3","2.1","4.0","1.2","8687","689","59.8","4.0","52.2","4.8","7.6","4.3","40.2","4.0","33.8","3.8","6.3","2.0","28.9","(X)","29.5","(X)","27.2","(X)","41492","2784","53013","4116","23028","3190","34554","20056","N","N","-","**","31193","19816","26268","6512","30568","11069","53268","4184","20313","9218","48333","5833","47913","5142","32741","3368","53048","4182","47317","4346","58735","5765","69032","4045","19018","1281","42701","15686","26311","1995","24605","3059","21784","1918","84792","93482","28424","4369","27500","4202","31934","6577","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101290","Elmore County School District, Alabama","25328","1611","78.4","2.5","19.5","2.5","N","N","N","N","N","N","N","N","N","N","N","N","78.1","2.5","4.2","2.1","34.5","3.4","41.6","3.7","19.7","2.7","18689","1563","N","N","N","N","N","N","N","N","N","N","6639","1334","56.5","8.7","54.0","9.0","2.5","3.0","43.5","8.7","34.5","9.8","9.0","5.6","25.3","(X)","25.0","(X)","23.0","(X)","57920","3723","61136","4831","27598","8019","28990","27014","-","**","-","**","-","**","44968","2714","26675","18883","61289","4907","29544","12619","57176","12253","66868","8811","42411","9707","66303","5632","64921","17390","66567","5396","78534","6949","20566","9770","61103","39973","37032","6776","28606","8597","27610","8568","41427","861","47317","10504","48065","13869","45272","36148","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101800","Huntsville City School District, Alabama","72612","2808","64.8","2.5","29.4","2.3","N","N","N","N","N","N","N","N","N","N","5.1","1.1","62.2","2.4","7.0","1.3","30.6","2.5","39.9","2.5","22.6","2.1","44065","2205","38.5","3.0","61.5","3.0","63.9","3.6","28.1","3.4","8.0","2.1","28547","2533","54.8","5.1","48.9","5.1","5.9","2.2","45.2","5.1","39.6","4.9","5.7","2.1","29.6","(X)","29.2","(X)","29.0","(X)","44652","2863","59027","5878","25784","3324","N","N","27143","26585","-","**","38239","12101","N","N","39718","11956","60331","5234","18100","3931","41549","5475","56545","6814","47011","6070","60073","4318","43038","11440","67467","6059","83124","5948","28172","2794","32877","13561","27932","3523","24071","2597","23396","2898","42573","8633","35945","5776","35847","5527","43953","40235","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101920","Jefferson County School District, Alabama","89923","2851","69.8","2.0","26.9","2.0","N","N","N","N","N","N","N","N","N","N","N","N","69.4","2.1","2.4","0.8","35.8","2.6","38.9","2.3","22.9","1.7","62361","2663","42.8","3.5","57.2","3.5","73.0","3.1","22.3","2.8","4.6","1.5","27562","2584","54.8","4.8","51.0","4.6","3.8","2.0","45.2","4.8","37.8","5.2","7.4","3.0","29.5","(X)","28.6","(X)","30.9","(X)","47168","2683","48369","3096","47141","7353","-","**","N","N","-","**","20976","6710","N","N","23530","9039","48605","3085","22150","7780","49265","7142","57602","4604","31520","2054","59343","4080","58916","9257","59477","4192","71507","4082","32371","6553","36556","7237","27538","2966","27515","4378","26953","3691","41375","13384","27560","4309","26534","4158","31390","24773","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0102220","Madison County School District, Alabama","45919","2123","78.7","2.8","16.6","2.6","N","N","N","N","N","N","N","N","N","N","N","N","77.2","2.8","3.5","1.6","36.2","3.0","43.4","3.4","16.9","2.2","33414","1719","N","N","N","N","N","N","N","N","N","N","12505","2056","50.4","6.9","42.6","6.7","7.8","4.7","49.6","6.9","43.0","7.1","6.5","4.4","33.8","(X)","33.2","(X)","33.5","(X)","62336","4291","62357","5523","66389","13618","55272","35190","63792","13090","-","**","-","**","51173","30834","N","N","62611","5785","48774","13320","68453","8234","76253","9214","37992","5926","76163","6970","75358","9076","77435","10464","90028","5253","40084","12704","42074","10368","30247","4004","24273","6336","23083","6563","40262","25509","39557","7776","36457","9179","100492","68760","(X)","(X)","(X)","(X)","(X)","(X)"
