"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M","S1903_C02_031E","S1903_C02_031M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"9700000US0100007","Hoover City School District, Alabama","29717","1913","75.9","3.9","14.4","3.4","N","N","N","N","N","N","N","N","N","N","N","N","74.1","4.3","5.3","2.9","36.6","4.8","38.6","4.3","19.6","3.3","20678","1478","N","N","N","N","N","N","N","N","N","N","9039","1570","61.1","9.0","51.3","8.9","9.7","5.2","38.9","9.0","29.9","9.2","9.0","6.1","18.1","(X)","17.6","(X)","19.3","(X)","69816","7114","81303","8168","44339","11736","-","**","44195","44074","-","**","40333","29808","-","**","36437","9646","82928","7704","33158","14366","69658","9880","108669","16460","47001","6997","86386","5752","84552","5797","94784","17666","96296","11384","46131","23720","48901","115279","42183","7457","38044","8690","31154","6772","73759","62437","48316","11461","45954","14987","75938","53073","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100270","Baldwin County School District, Alabama","68096","3456","89.4","1.4","8.2","1.1","N","N","N","N","N","N","N","N","N","N","N","N","87.2","1.4","2.6","1.0","29.8","2.2","41.1","2.2","26.4","1.8","48021","3137","N","N","N","N","N","N","N","N","N","N","20075","2075","59.7","5.8","55.6","5.9","4.1","2.0","40.3","5.8","34.8","6.1","5.5","2.7","30.3","(X)","31.3","(X)","26.9","(X)","47502","2902","50159","2712","23191","2122","N","N","N","N","-","**","22470","18575","N","N","33142","11977","50561","2627","35801","4595","47377","5779","52175","4528","40450","5179","56784","3000","55271","7354","58613","5438","62924","3551","25394","4795","40879","8479","25565","3734","22966","3375","21714","3629","45394","17536","33448","6602","27232","9224","69599","33694","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100390","Birmingham City School District, Alabama","87228","2521","27.2","2.3","70.9","2.4","N","N","N","N","N","N","N","N","N","N","N","N","24.8","2.3","6.4","1.4","35.5","2.6","37.0","2.4","21.1","1.4","48750","2183","38.4","3.2","61.6","3.2","43.6","3.8","47.1","3.5","9.3","2.1","38478","2757","52.3","3.6","44.1","3.7","8.2","2.1","47.7","3.6","38.0","3.9","9.7","2.7","30.0","(X)","35.5","(X)","22.5","(X)","30212","1684","38731","4083","26379","1906","39978","39630","39248","37754","-","**","55688","30355","N","N","25207","7660","41080","4989","21630","7671","30932","2943","35928","1511","22443","3020","34971","2953","25440","5767","39526","4229","51378","3260","22911","2945","34744","8447","22306","1937","21783","1552","20173","2309","40402","3790","24074","5725","20548","4986","37227","25415","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101020","Cullman County School District, Alabama","22652","1722","97.4","1.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","96.0","1.6","4.4","1.9","30.3","3.5","38.3","4.3","27.1","3.6","16506","1758","N","N","N","N","N","N","N","N","N","N","6146","1115","48.5","7.6","42.9","8.0","5.6","3.8","51.5","7.6","47.4","8.1","4.1","2.7","23.9","(X)","24.4","(X)","22.5","(X)","35190","5562","36014","5423","12359","9071","N","N","-","**","-","**","32161","15022","-","**","24087","19140","36459","5053","17318","10784","39475","3578","40566","5357","25604","5825","41769","3445","40605","3877","43012","4330","45687","5929","30223","25972","31078","3611","20197","2845","19545","4585","20148","3764","15120","17301","20388","4141","19365","5846","22083","4756","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101230","Dothan City School District, Alabama","25840","1012","66.8","2.1","30.2","2.0","N","N","N","N","N","N","N","N","N","N","N","N","65.8","2.2","4.3","1.2","32.5","2.0","39.9","2.1","23.3","1.9","17507","921","44.4","3.5","55.6","3.5","66.3","3.4","28.3","3.5","5.4","1.4","8333","829","56.1","5.0","51.8","4.8","4.4","2.2","43.9","5.0","38.8","5.1","5.1","2.2","29.1","(X)","30.8","(X)","24.3","(X)","39806","2577","48378","3224","23373","4055","32500","19100","36611","26390","-","**","31269","22242","98180","87019","40766","11470","48443","3232","25134","17936","37637","2959","50004","3387","31409","4308","47928","3191","36875","2607","57731","3810","62848","3514","21793","4714","37545","13573","23954","2729","19643","3826","19356","3135","31289","20101","29580","5854","26362","4741","61810","16561","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101290","Elmore County School District, Alabama","26288","1730","82.2","2.9","14.9","3.0","N","N","N","N","N","N","N","N","N","N","N","N","81.1","2.9","5.1","2.1","33.9","3.9","41.3","3.2","19.7","2.6","20304","2063","N","N","N","N","N","N","N","N","N","N","5984","1169","45.9","9.8","41.6","9.4","4.3","3.9","54.1","9.8","43.8","10.5","10.2","7.5","27.5","(X)","28.4","(X)","22.8","(X)","53869","5802","59412","6618","30071","5382","51250","29585","81159","487","-","**","51703","5155","N","N","34323","23303","60230","6548","33326","5480","63963","11301","63314","7760","37280","10267","64598","5802","64451","8999","64970","8687","74151","6503","30604","3340","41038","17527","30554","4796","30338","7530","26478","9850","37716","16182","30749","6288","27363","7188","55625","55373","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101800","Huntsville City School District, Alabama","70148","2447","68.1","2.6","27.4","2.7","N","N","N","N","N","N","N","N","N","N","N","N","65.3","2.6","6.4","1.7","33.7","2.6","37.5","2.6","22.4","1.7","40562","1726","41.9","3.7","58.1","3.7","70.5","3.7","23.3","3.3","6.2","1.8","29586","2536","54.6","4.1","52.1","4.4","2.4","1.3","45.4","4.1","38.1","3.9","7.3","2.4","31.4","(X)","31.6","(X)","30.0","(X)","42204","2892","52164","3563","26847","4282","N","N","N","N","88265","37496","40648","25013","N","N","41517","11682","52975","4483","12911","4352","40305","5365","58671","3812","41827","6191","59797","3623","48042","7947","65014","6959","79279","6459","23723","3970","33963","12334","26929","3589","24685","4682","23380","4439","58846","55913","30562","4479","29526","6666","35545","23758","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101920","Jefferson County School District, Alabama","89472","2722","73.4","2.0","24.5","1.9","N","N","N","N","N","N","N","N","N","N","N","N","72.6","1.9","3.4","1.2","32.9","2.3","42.8","2.3","20.9","1.5","62841","2695","39.8","3.0","60.2","3.0","69.7","3.1","24.3","2.8","6.0","1.5","26631","2491","59.2","4.8","51.0","5.3","8.2","2.4","40.8","4.8","33.8","4.8","7.0","2.7","28.8","(X)","29.0","(X)","27.5","(X)","46851","2547","48203","3299","43320","6112","N","N","76238","1542","-","**","17983","10503","79884","10737","19172","12626","48529","3311","31547","5544","51647","5313","54845","6098","31894","4199","55945","4053","53101","6405","57357","4874","67725","4610","32850","4135","43934","21368","31980","5333","25043","3476","22312","3252","52995","14143","36673","4772","35295","5742","50190","13199","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0102220","Madison County School District, Alabama","44749","1743","76.3","3.0","17.7","2.6","N","N","N","N","N","N","N","N","N","N","N","N","75.1","3.1","3.2","1.4","36.7","3.5","43.8","2.9","16.4","2.1","32689","1522","N","N","N","N","N","N","N","N","N","N","12060","1554","52.7","7.1","45.6","6.7","7.1","3.9","47.3","7.1","39.4","7.1","7.9","4.2","29.8","(X)","29.8","(X)","29.5","(X)","62474","4789","62573","5389","62906","17049","50211","21492","78140","34019","250,000+","***","56191","34710","N","N","N","N","62307","5305","43141","21620","64359","7654","76619","5523","44523","9372","76729","4714","78832","5433","71146","11874","81877","4384","40421","8016","40711","36379","37399","3785","37193","6320","29073","12526","46747","16064","37540","5674","33438","9214","114454","7416","(X)","(X)","(X)","(X)","(X)","(X)"
