"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"9700000US0100007","Hoover City School District, Alabama","31257","1620","74.5","3.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","72.1","3.0","3.0","1.3","37.9","4.6","37.4","4.5","21.8","2.9","22271","1059","N","N","N","N","N","N","N","N","N","N","8986","1506","57.4","9.1","53.3","9.2","4.1","2.8","42.6","9.1","34.6","8.1","8.0","4.9","34.1","(X)","34.3","(X)","29.7","(X)","80065","7867","90458","9132","49169","6993","-","**","131847","60637","-","**","67747","36106","N","N","49715","22377","91237","8721","27430","18948","75974","9301","119336","15553","54758","13076","102496","13401","110149","23781","96732","16059","119784","15794","49569","9080","51495","25363","41812","6363","33780","7036","31772","7092","70783","5893","60387","19800","61256","18604","48933","57056","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100270","Baldwin County School District, Alabama","76779","3010","90.4","1.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","88.4","1.9","3.1","1.1","24.5","2.2","40.3","2.3","32.2","2.0","49943","3287","N","N","N","N","N","N","N","N","N","N","26836","2574","58.2","5.9","50.8","6.3","7.4","3.3","41.8","5.9","38.2","5.9","3.7","1.8","36.3","(X)","38.6","(X)","30.7","(X)","56732","3829","59249","3562","29990","21408","N","N","N","N","-","**","43239","37990","36805","32583","54290","21283","59023","3675","41028","7801","62073","7841","63005","6256","47562","7653","75741","5089","81911","17937","74740","4568","85509","5320","34161","6317","65704","32964","31812","3580","32123","4908","27057","7246","44446","11143","31568","6364","31169","4776","70385","22884","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100390","Birmingham City School District, Alabama","90117","3280","28.9","2.4","68.2","2.4","N","N","N","N","N","N","N","N","N","N","N","N","28.1","2.4","4.2","0.9","37.2","2.2","36.9","2.2","21.7","1.9","48392","2231","39.0","3.7","61.0","3.7","46.9","3.2","42.4","3.0","10.7","2.3","41725","2927","49.7","3.8","43.7","3.5","6.1","1.9","50.3","3.8","43.9","3.8","6.3","1.9","44.5","(X)","50.0","(X)","37.7","(X)","36241","2015","51179","2491","31638","1931","-","**","90992","74189","-","**","N","N","10895","6909","31456","22599","51284","2945","21132","5243","40600","4199","39976","6020","31716","3173","43062","2697","33491","4887","52302","8131","69007","4535","27793","3515","40702","11053","23901","3110","21391","3905","18518","2882","63116","19671","25695","3782","24374","3853","39820","16270","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101020","Cullman County School District, Alabama","24188","1198","97.1","1.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","96.0","1.6","2.5","1.3","24.5","3.6","44.1","3.7","29.0","2.8","17511","1318","N","N","N","N","N","N","N","N","N","N","6677","1133","49.1","8.7","49.1","8.7","0.0","2.3","50.9","8.7","46.6","8.7","4.2","3.4","35.0","(X)","33.6","(X)","38.8","(X)","39015","3706","39160","3845","36726","5673","-","**","-","**","-","**","34310","26183","49093","42014","33664","24625","39184","3862","32089","7345","43921","10567","49971","10383","32420","5660","48602","3484","49459","9215","48135","4403","58239","8798","22256","5896","21898","22290","24079","6944","20463","5395","20463","5395","-","**","31681","9298","30315","14427","34612","5193","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101230","Dothan City School District, Alabama","26119","1073","65.1","2.0","33.0","1.8","N","N","N","N","N","N","N","N","N","N","N","N","63.8","2.0","4.0","1.1","32.5","2.1","34.6","2.0","28.9","2.0","15977","873","41.7","2.5","58.3","2.5","66.2","2.9","26.9","2.7","6.9","1.7","10142","792","59.5","3.7","54.0","3.7","5.5","1.9","40.5","3.7","34.7","3.9","5.8","1.8","43.0","(X)","43.0","(X)","40.3","(X)","42336","3329","55544","4032","24394","2122","71719","32653","75985","34145","-","**","79167","45832","N","N","48942","19972","56122","4320","16796","9984","39111","3221","56804","5040","38485","3539","56746","3799","46163","7102","64278","4912","76613","3682","25706","2474","26372","9828","24706","2679","22660","2104","21804","1739","41681","17569","30303","5525","26456","5543","46078","12715","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101290","Elmore County School District, Alabama","26273","1456","78.8","2.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","78.5","2.9","4.1","2.0","33.8","3.6","39.3","3.7","22.9","2.5","19087","1977","N","N","N","N","N","N","N","N","N","N","7186","1313","58.4","8.8","50.8","9.9","7.6","4.6","41.6","8.8","39.4","8.9","2.2","1.9","33.3","(X)","35.2","(X)","26.5","(X)","53714","9481","57947","10557","36956","25160","-","**","N","N","-","**","-","**","N","N","76316","75242","57997","10508","40422","29156","62334","13948","64610","17347","47603","9852","69523","9955","64412","12253","77779","13847","82364","7906","24980","6646","40467","44457","31996","9840","23526","9173","19887","5747","49767","23615","40646","5245","40291","5069","54539","40324","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101800","Huntsville City School District, Alabama","80540","2701","62.2","2.6","31.3","2.5","N","N","N","N","N","N","N","N","N","N","N","N","59.5","2.6","5.3","1.2","35.6","2.4","34.8","2.2","24.3","1.7","46374","2317","43.7","3.1","56.3","3.1","68.2","3.6","24.8","3.2","7.1","2.3","34166","2939","52.3","3.5","46.4","3.6","5.9","1.8","47.7","3.5","41.1","3.7","6.7","2.2","28.5","(X)","28.6","(X)","27.2","(X)","51895","3992","68805","6958","29317","5630","N","N","120184","34287","-","**","16387","4160","29186","6602","25663","5674","70762","5351","23172","6537","51288","9608","65404","9163","49507","4352","71114","4986","60553","16790","74657","8460","101310","5749","24791","4327","49754","19301","33097","5247","26966","3795","25694","2785","51786","22761","40615","6759","40395","6708","45483","28283","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101920","Jefferson County School District, Alabama","88145","2802","66.7","2.4","29.3","2.2","N","N","N","N","N","N","N","N","N","N","N","N","66.3","2.4","2.5","0.8","30.8","2.0","39.8","2.1","27.0","2.0","59167","2488","39.0","3.2","61.0","3.2","72.0","3.2","22.3","2.8","5.7","2.0","28978","2742","60.7","4.6","55.2","4.4","5.5","1.9","39.3","4.6","33.0","5.0","6.3","3.0","35.0","(X)","38.6","(X)","26.3","(X)","51598","3168","53478","3645","49830","6652","111932","14032","86331","44130","-","**","39619","30537","21094","19249","35949","11482","53865","3530","35823","16316","54728","4914","60181","6882","35621","4293","66145","2914","62018","8732","70100","4617","75942","3765","33588","3699","71706","18389","30952","2004","28439","5533","24569","3614","60683","12117","34127","4534","33428","5151","35182","12241","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0102220","Madison County School District, Alabama","48073","2336","75.1","2.8","20.2","2.9","N","N","N","N","N","N","N","N","N","N","N","N","73.1","2.9","1.0","0.8","28.8","3.3","45.8","2.9","24.4","2.5","32657","1724","N","N","N","N","N","N","N","N","N","N","15416","2201","48.6","6.8","44.3","6.5","4.3","2.7","51.4","6.8","41.6","6.5","9.8","5.4","31.3","(X)","31.4","(X)","30.5","(X)","66799","5734","69690","7787","57620","11722","N","N","N","N","-","**","-","**","90920","26467","93798","40549","69120","6883","55742","16511","80514","11686","75395","9513","43668","5816","84007","6154","83293","10297","84829","8569","95165","5605","35637","14560","31809","12793","38465","5070","32389","7407","30987","5203","120208","45827","42470","8817","41432","6787","51110","37259","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0102370","Mobile County School District, Alabama","146744","3037","59.7","1.1","35.6","1.0","N","N","N","N","N","N","N","N","N","N","N","N","58.5","1.2","4.2","0.7","32.7","1.5","38.0","1.3","25.1","1.0","95581","3608","39.4","2.6","60.6","2.6","66.6","2.4","26.1","2.1","7.3","1.6","51163","3086","55.5","3.6","49.8","3.5","5.7","1.6","44.5","3.6","37.4","3.4","7.1","1.6","37.2","(X)","36.5","(X)","37.1","(X)","45585","2471","54683","4399","29700","3181","50133","37074","52218","10058","-","**","69372","14695","60582","32630","56422","15067","54820","4353","21741","5767","47762","4002","51263","2151","40259","4153","56633","3213","54309","7538","57820","3560","73780","4321","25754","2435","43830","7146","26175","1601","23302","2517","21538","2279","45458","14548","30134","2944","28811","3186","45021","12037","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0102430","Montgomery County School District, Alabama","87401","1989","37.6","1.4","58.4","1.6","N","N","N","N","N","N","N","N","N","N","N","N","36.5","1.5","5.6","1.4","33.4","1.5","37.7","1.4","23.3","1.0","51734","2473","43.9","3.5","56.1","3.5","57.3","3.6","31.2","2.9","11.5","2.9","35667","2716","56.3","3.5","51.4","3.9","4.9","2.2","43.7","3.5","38.7","3.5","5.0","2.2","35.9","(X)","35.8","(X)","36.0","(X)","42923","4108","59897","4950","32273","2536","N","N","71424","9849","-","**","40991","15236","47172","31861","31679","8261","60477","4865","20505","12245","42067","4822","50571","5187","45944","4678","56529","4011","45914","4992","67941","5427","88380","5043","30300","3570","33375","6945","26560","1771","26428","3182","24507","3787","50879","4156","26683","2673","24696","4010","47679","17613","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0103030","Shelby County School District, Alabama","44766","1841","83.5","2.1","12.7","1.8","N","N","N","N","N","N","N","N","N","N","N","N","82.1","2.0","2.0","0.8","28.6","2.6","46.6","2.6","22.8","1.9","31771","1777","N","N","N","N","N","N","N","N","N","N","12995","1508","58.4","7.0","52.8","7.4","5.6","2.5","41.6","7.0","34.1","6.1","7.5","4.0","31.2","(X)","32.0","(X)","28.5","(X)","71376","3665","71767","3472","62961","25315","-","**","N","N","-","**","83669","51512","85497","53976","83209","21230","71694","3441","30156","21411","79961","6968","81425","11028","48758","9901","86109","6635","89602","6802","82188","10044","94710","3164","35631","5673","56114","10022","39943","5689","37229","6333","36987","6450","40625","47033","42991","7757","32063","13938","76645","32455","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0103360","Tuscaloosa City School District, Alabama","35924","1939","50.9","3.6","44.4","3.7","N","N","N","N","N","N","N","N","N","N","N","N","50.3","3.6","14.8","2.5","29.8","3.6","35.0","3.3","20.3","2.6","18191","1497","N","N","N","N","N","N","N","N","N","N","17733","1970","55.2","6.3","46.3","6.8","8.9","4.1","44.8","6.3","29.4","6.1","15.4","4.8","47.0","(X)","41.2","(X)","52.2","(X)","38441","5757","50346","4456","31171","4152","-","**","N","N","-","**","N","N","N","N","27951","18392","50818","4472","19023","5173","45792","12915","48862","6962","45236","11454","53059","6733","52707","15596","53289","9597","89471","9540","26586","4904","38302","17197","27117","3918","22881","5230","22184","4625","30633","22633","29060","3371","27221","3856","50048","5857","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0103390","Tuscaloosa County School District, Alabama","37901","1605","79.0","3.1","18.9","2.9","N","N","N","N","N","N","N","N","N","N","N","N","77.3","2.9","2.6","1.3","34.4","3.5","39.9","3.2","23.1","2.4","27854","1338","N","N","N","N","N","N","N","N","N","N","10047","1854","55.3","8.4","44.3","7.5","11.0","5.2","44.7","8.4","35.6","7.6","9.1","5.6","45.0","(X)","46.6","(X)","38.6","(X)","54426","7120","63536","6708","33357","17456","-","**","N","N","-","**","36714","24545","73402","30226","36810","29171","63858","7077","20131","19269","64218","5871","64424","15633","47926","6252","69543","4695","70610","14609","69345","3556","78927","5571","26027","3028","59250","30405","33953","7594","26212","5730","25931","4751","41101","41273","36807","3793","35583","12659","47155","42612","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0200180","Anchorage School District, Alaska","105249","1864","72.7","1.4","N","N","6.6","1.0","6.8","0.9","N","N","N","N","5.7","1.0","6.7","1.0","69.3","1.2","6.3","1.1","38.4","1.7","38.7","1.5","16.6","1.2","69999","2666","45.6","2.6","54.4","2.6","72.9","3.0","18.5","2.3","8.7","1.9","35250","2180","47.3","3.7","36.6","3.7","10.8","2.7","52.7","3.7","35.1","4.1","17.6","3.9","28.2","(X)","29.9","(X)","23.2","(X)","85634","4164","93865","5198","69351","36387","57746","12377","73506","14317","64522","41992","76131","23512","63562","9604","72929","11142","94914","5887","51272","12998","83545","5703","104178","6854","68626","7202","98717","6642","88221","6788","104684","4709","112488","4798","54126","5509","89334","23872","59348","5559","49439","7407","39693","8701","90104","13759","67536","6586","56090","11300","84881","22961","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0200510","Matanuska-Susitna Borough School District, Alaska","30305","769","90.8","1.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","88.0","2.0","2.4","0.9","33.4","2.3","44.8","2.7","19.4","2.4","20474","748","45.0","4.0","55.0","4.0","81.4","3.1","13.1","2.8","5.5","1.5","9831","813","47.5","5.2","36.9","4.7","10.6","3.6","52.5","5.2","42.9","5.0","9.7","3.1","31.7","(X)","33.2","(X)","27.2","(X)","69332","4510","69340","4221","N","N","N","N","N","N","-","**","-","**","78485","15332","90893","26357","69009","3915","39331","12676","72209","10229","81339","2887","47236","4815","87104","5791","84469","6045","90968","10827","103475","6773","43610","7658","52313","29638","36242","9481","32296","10766","29924","5885","50579","17291","38472","16513","29883","12888","74940","28881","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0200600","Fairbanks North Star Borough School District, Alaska","33770","1901","81.5","3.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","78.6","3.9","9.4","3.0","38.8","3.3","37.0","3.4","14.9","2.3","21062","1942","N","N","N","N","N","N","N","N","N","N","12708","1766","37.5","6.5","26.9","6.1","10.6","4.3","62.5","6.5","38.6","8.5","23.9","7.9","33.4","(X)","32.5","(X)","32.7","(X)","77328","9603","81215","10496","51250","33884","79802","52294","64023","48552","-","**","N","N","N","N","N","N","81466","9968","41291","17436","74052","15287","99266","11737","73800","30560","86950","9208","65625","16578","100806","10854","98615","9828","51793","30621","44097","11088","54039","6856","40432","23311","35423","6060","103101","25611","54768","8015","37137","19069","115819","21668","(X)","(X)","(X)","(X)","(X)","(X)"
