"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M","S1903_C02_004M"
"9700000US1200180","Broward County School District, Florida","663905","7495","69.5","0.7","22.9","0.6","N","N","2.8","0.2","N","N","2.6","0.4","1.9","0.2","22.0","0.6","51.4","0.7","2.1","0.3","31.5","0.6","42.6","0.8","23.9","0.6","411212","8715","45.4","1.1","54.6","1.1","67.9","1.1","24.7","1.1","7.3","0.8","252693","6551","51.6","1.6","43.8","1.5","7.7","0.8","48.4","1.6","36.8","1.6","11.6","1.1","31.2","(X)","32.5","(X)","27.4","(X)","49793","1066","53881","2041","39807","1809","36292","62344","6119","24225","12457","48827","5269","47485","8868","48199","2838","55830","1914","27426","3639","52424","1960","60544","1445","32972","1481","60119","1396","54846","2937","62291","2203","75707","1615","37190","1988","44127","4389","35592","1239","30313","1400","26156","1357","51467","7441","41353","1646","36097","1411","68965","6001","(X)","(X)","(X)","(X)","(X)","(X)","20559"
"9700000US1200240","Charlotte County School District, Florida","71811","2736","92.2","1.1","N","N","N","N","N","N","N","N","N","N","N","N","4.3","0.9","88.6","1.2","1.3","0.6","15.2","1.9","33.5","1.8","50.1","1.9","47732","2920","24.1","2.7","75.9","2.7","81.6","3.8","13.2","3.7","5.1","1.5","24079","2125","58.4","4.6","51.0","5.4","7.4","2.6","41.6","4.6","33.6","4.3","8.0","2.7","35.3","(X)","35.5","(X)","33.7","(X)","45247","2453","46205","2730","34014","11435","21287","68259","39124","-","**","N","N","28679","12815","41496","11537","46442","2605","23403","16052","50182","7502","55411","5715","39163","3920","55521","2244","52013","11544","55757","2175","58450","3350","31896","8696","40888","5059","26880","2878","22970","3815","21261","1874","50067","19467","30670","5184","27871","4296","73742","17486","(X)","(X)","(X)","(X)","(X)","(X)","15842"
"9700000US1200270","Citrus County School District, Florida","58640","2729","96.5","0.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","93.7","1.5","1.4","0.9","14.8","2.0","36.6","2.1","47.2","2.0","36255","2774","N","N","N","N","N","N","N","N","N","N","22385","2351","51.2","4.3","42.9","4.2","8.3","2.6","48.8","4.3","39.9","4.7","8.9","3.2","32.9","(X)","32.9","(X)","31.3","(X)","39322","2228","39303","2167","N","N","-","N","N","-","**","-","**","73052","6591","39348","22298","39300","2313","38045","3837","48103","8611","45245","5367","33353","3797","46003","4086","41996","14093","46577","3277","52025","4192","21307","5448","21386","11850","25951","2644","23102","3615","20274","2535","43541","4516","28610","7187","26794","7279","32719","21720","(X)","(X)","(X)","(X)","(X)","(X)","**"
"9700000US1200300","Clay County School District, Florida","66918","1985","83.9","2.2","8.6","1.9","N","N","N","N","N","N","N","N","N","N","N","N","78.5","2.2","1.7","0.9","33.5","2.7","42.9","2.6","21.9","1.6","48858","2620","N","N","N","N","N","N","N","N","N","N","18060","2323","52.2","6.7","42.5","5.8","9.7","4.5","47.8","6.7","42.0","7.1","5.7","2.6","28.4","(X)","29.1","(X)","26.6","(X)","54827","6022","57433","4253","35864","18335","N","N","N","-","**","N","N","32099","12307","84578","22697","56296","4178","30399","12788","55281","7959","63392","8665","42077","5527","65640","6125","64628","12546","66267","5899","76893","5834","32808","8412","46181","29493","32009","5585","29151","10056","27689","9150","35590","18649","33078","5109","33213","5296","31980","47682","(X)","(X)","(X)","(X)","(X)","(X)","N"
"9700000US1200330","Collier County School District, Florida","123714","3654","94.1","1.0","3.5","0.7","N","N","N","N","N","N","N","N","N","N","15.0","1.5","80.1","1.6","1.1","0.3","19.5","1.7","34.9","1.5","44.6","1.6","81111","3435","30.6","2.7","69.4","2.7","81.9","2.6","13.1","1.7","5.0","1.5","42603","2804","56.8","3.8","49.9","4.2","6.8","2.4","43.2","3.8","35.2","3.9","8.1","1.7","31.9","(X)","31.4","(X)","31.3","(X)","54126","2537","55421","2708","26313","4832","N","60765","31360","-","**","53548","9320","34283","25152","37940","6191","58507","3984","28492","5053","53653","7419","56135","4234","53605","4193","63164","3662","45910","5808","71602","5738","73591","6557","34238","4117","41261","4723","34131","4639","31267","4400","28992","1955","54547","8800","37308","9049","32445","5868","62513","9631","(X)","(X)","(X)","(X)","(X)","(X)","N"
"9700000US1200360","Columbia County School District, Florida","22636","1411","83.1","2.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","81.0","3.1","3.0","1.8","26.2","3.2","40.4","4.0","30.5","3.3","14248","1203","N","N","N","N","N","N","N","N","N","N","8388","1282","55.6","7.1","50.8","8.0","4.8","4.0","44.4","7.1","35.5","6.8","8.9","5.0","42.3","(X)","39.7","(X)","46.7","(X)","36542","3917","37794","5613","35904","17727","-","-","**","-","**","29450","10915","N","N","32932","25674","37852","5473","25246","17407","43053","8543","41768","11090","26413","6578","41331","8602","37489","10023","44135","11285","51708","5488","30232","5897","19330","8604","25854","1847","22914","2455","23158","2566","14486","35557","28910","6629","27873","5245","34574","55168","(X)","(X)","(X)","(X)","(X)","(X)","**"
"9700000US1200390","Dade County School District, Florida","838772","6288","77.8","0.5","17.1","0.4","N","N","1.7","0.2","N","N","2.1","0.2","1.3","0.2","62.3","0.5","19.7","0.4","2.7","0.3","34.6","0.6","39.8","0.7","22.9","0.5","571678","8397","43.8","1.0","56.2","1.0","63.7","0.9","26.8","0.8","9.4","0.6","267094","7929","50.2","1.4","43.0","1.4","7.2","0.8","49.8","1.4","38.9","1.5","10.9","1.0","30.2","(X)","31.5","(X)","25.2","(X)","41400","656","43901","1502","30783","1292","66742","53463","9148","23116","8912","41913","2981","43585","6041","38509","976","66384","3801","25077","3174","46241","1108","48452","1865","26712","1425","47382","1142","44800","1946","49482","1277","61096","1323","29096","1571","39788","2770","26195","1070","19753","1179","17090","980","50176","4513","32425","1487","28524","3431","49198","3764","(X)","(X)","(X)","(X)","(X)","(X)","35182"
"9700000US1200480","Duval County School District, Florida","328225","4877","65.5","1.0","27.7","0.9","N","N","3.8","0.3","N","N","N","N","2.0","0.4","6.9","0.6","59.9","1.1","4.3","0.5","36.5","0.9","39.5","0.8","19.8","0.6","200575","5474","41.8","1.5","58.2","1.5","66.0","1.6","27.0","1.6","6.9","0.9","127650","5619","55.7","2.1","48.8","2.0","6.9","1.3","44.3","2.1","36.1","2.3","8.2","1.3","35.9","(X)","36.0","(X)","34.8","(X)","43449","1602","50886","1436","30018","2117","61608","67546","8723","89928","33039","22045","20710","31414","9973","39201","3844","51661","1516","27688","4691","44701","2986","51203","2575","35439","1908","54213","1621","46516","3264","60001","2811","70177","3013","28473","2558","40820","3271","28776","2407","25480","1886","23766","2357","40877","7805","34717","2933","31314","2707","51869","8598","(X)","(X)","(X)","(X)","(X)","(X)","23047"
"9700000US1200510","Escambia County School District, Florida","114077","2970","73.6","1.4","20.3","1.3","N","N","2.3","0.4","N","N","N","N","N","N","3.1","0.6","71.5","1.4","5.1","1.1","29.1","1.4","40.6","1.5","25.3","1.1","69795","3226","34.1","3.0","65.9","3.0","69.1","3.3","22.9","2.9","8.1","1.7","44282","2564","56.3","3.6","48.2","3.7","8.1","2.6","43.7","3.6","34.5","3.9","9.2","2.4","25.1","(X)","24.6","(X)","25.1","(X)","45009","1748","49580","2895","29899","3460","N","34950","8253","-","**","N","N","N","N","32568","6860","50550","2709","19873","6973","48518","4520","49518","4350","39962","3493","56106","2202","45106","4079","58858","2761","66039","3184","32021","3428","37047","8322","27459","1710","23088","2192","21040","1958","61538","9132","33381","2535","31248","3735","42471","12069","(X)","(X)","(X)","(X)","(X)","(X)","N"
"9700000US1200540","Flagler County School District, Florida","36358","1803","82.6","2.4","11.8","1.6","N","N","N","N","N","N","N","N","N","N","N","N","80.5","2.6","1.5","1.0","19.4","2.6","37.7","2.8","41.4","2.4","23513","1862","N","N","N","N","N","N","N","N","N","N","12845","1522","59.5","6.2","49.7","5.9","9.8","3.7","40.5","6.2","27.0","5.4","13.5","4.5","32.8","(X)","30.2","(X)","36.1","(X)","42856","2496","43774","2183","30011","7435","-","65553","25686","-","**","N","N","60256","46435","42899","42752","43893","2216","12420","10436","45814","5837","46270","5223","38696","4000","46761","4290","40498","7339","50669","6192","52935","7446","32460","10488","43009","27747","31355","6667","26514","5439","23504","4955","43750","15357","40829","6725","37738","22436","53828","10188","(X)","(X)","(X)","(X)","(X)","(X)","**"
"9700000US1200810","Hernando County School District, Florida","69222","2344","92.6","1.1","4.2","0.7","N","N","N","N","N","N","N","N","N","N","8.2","0.8","86.1","1.0","2.2","0.9","21.0","2.2","35.3","1.8","41.5","1.9","46102","2315","30.1","2.5","69.9","2.5","73.1","2.5","20.6","2.6","6.3","1.4","23120","1940","55.4","4.0","49.0","3.9","6.4","2.5","44.6","4.0","35.4","3.9","9.2","2.9","31.7","(X)","31.4","(X)","31.6","(X)","36515","1950","36957","2194","23858","5899","N","64176","7643","-","**","N","N","36552","16323","38897","16271","36830","2205","23508","11909","35693","3588","45836","3968","31711","2076","43300","2570","40462","9431","44110","2943","51651","3813","25606","4346","30913","9111","23885","1824","22772","2373","21621","1708","36185","8361","24988","4727","23918","4277","29806","27044","(X)","(X)","(X)","(X)","(X)","(X)","N"
"9700000US1200840","Highlands County School District, Florida","39112","2029","90.5","1.7","N","N","N","N","N","N","N","N","N","N","N","N","11.4","1.9","79.9","2.4","2.6","1.2","15.3","2.1","31.6","2.7","50.4","2.7","24094","1849","N","N","N","N","N","N","N","N","N","N","15018","1684","55.1","4.6","49.0","5.2","6.2","2.9","44.9","4.6","41.9","5.3","3.0","2.2","36.1","(X)","36.3","(X)","35.1","(X)","34733","1992","35258","2190","27058","14958","N","N","N","-","**","26250","22774","N","N","20979","12793","36423","3248","11973","6758","43135","8264","40133","6859","32585","3033","42251","4271","40644","7866","43845","5812","44880","4783","29287","7835","40620","41542","19179","2599","17689","2180","17379","2144","32984","24087","24597","8921","21834","7770","62730","19772","(X)","(X)","(X)","(X)","(X)","(X)","N"
"9700000US1200870","Hillsborough County School District, Florida","477259","5230","74.8","0.7","16.4","0.5","N","N","3.2","0.2","N","N","3.1","0.4","2.1","0.3","21.0","0.6","58.1","0.7","4.6","0.5","36.8","0.7","38.5","0.7","20.1","0.5","298882","5410","45.4","1.1","54.6","1.1","69.4","1.3","22.8","1.1","7.8","0.8","178377","4729","52.4","1.6","43.9","1.5","8.5","0.9","47.6","1.6","35.8","1.5","11.7","1.2","30.3","(X)","31.1","(X)","27.5","(X)","46515","1329","50962","1135","31893","1842","39477","60453","9007","N","N","30700","5412","42504","5898","34515","1915","56498","1827","21398","1929","48915","1853","56265","2014","34623","1743","57269","1550","50767","3007","60888","1284","71877","2078","31143","1493","35663","2660","31300","1218","27154","2035","24168","1636","55568","4020","36607","2036","31228","2117","54547","10541","(X)","(X)","(X)","(X)","(X)","(X)","16961"
"9700000US1200930","Indian River County School District, Florida","58950","2239","91.1","1.4","6.7","1.1","N","N","N","N","N","N","N","N","N","N","8.1","1.3","84.0","1.6","1.2","0.8","20.4","2.2","35.5","2.5","43.0","2.2","33929","2332","N","N","N","N","N","N","N","N","N","N","25021","1929","56.4","4.3","50.1","4.6","6.3","3.0","43.6","4.3","38.9","4.3","4.7","1.9","25.7","(X)","23.6","(X)","28.5","(X)","40413","2951","42189","2811","16667","4564","-","83993","15466","-","**","50051","2157","N","N","35688","12858","43353","2929","11404","5360","36250","5672","48075","6695","38729","3889","56085","5934","40617","10751","61771","4066","64736","5348","26250","9720","32505","2875","24072","2619","23276","2418","22552","2280","29182","27875","26541","8046","24067","5268","60954","12869","(X)","(X)","(X)","(X)","(X)","(X)","**"
"9700000US1201050","Lake County School District, Florida","115026","3317","88.1","1.3","8.0","0.9","N","N","N","N","N","N","N","N","N","N","8.9","0.9","80.7","1.3","2.5","0.9","22.7","1.7","34.5","1.7","40.3","1.7","79442","3663","34.7","3.1","65.3","3.1","79.1","2.8","15.8","2.5","5.1","1.5","35584","2809","59.2","3.6","50.9","4.0","8.2","2.4","40.8","3.6","30.2","3.4","10.6","2.7","35.0","(X)","34.4","(X)","35.8","(X)","41083","1774","41418","1909","33207","8904","71355","78357","13710","-","**","25779","25015","49575","44614","39395","9943","41598","1933","17521","9938","43743","9472","48212","5145","36823","1509","51033","4719","42426","7580","53760","3273","60869","3748","22704","5556","28638","7206","25989","2756","24024","2761","21545","3956","45719","15616","29237","4624","24348","5570","40927","17863","(X)","(X)","(X)","(X)","(X)","(X)","24694"
