"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"9700000US0100007","Hoover City School District, Alabama","35024","1753","80.0","3.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","76.1","3.8","0.5","0.5","37.1","4.5","35.3","3.8","27.1","4.1","21674","1115","N","N","N","N","N","N","N","N","N","N","13350","2086","60.0","6.9","57.9","6.9","2.1","1.7","40.0","6.9","33.5","7.2","6.6","3.7","27.9","(X)","29.8","(X)","24.8","(X)","73115","7066","76999","9057","56486","11134","-","**","80087","55720","-","**","26797","8194","-","**","35412","11454","81041","8669","27909","44764","78617","5131","90243","14346","46937","9303","97652","9476","107028","19080","92817","11865","111855","11349","36686","20086","54923","15309","38701","6296","36720","8490","35818","8520","57215","6632","43906","18331","36464","6200","79372","103683","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100270","Baldwin County School District, Alabama","71307","3086","89.5","1.6","7.8","1.2","N","N","N","N","N","N","N","N","N","N","N","N","86.1","1.8","1.5","0.8","22.9","2.5","42.6","2.8","33.0","1.9","47040","3419","30.3","3.8","69.7","3.8","81.0","3.3","14.4","2.9","4.5","1.9","24267","2444","64.7","5.2","60.2","5.4","4.5","2.1","35.3","5.2","30.8","4.8","4.5","2.3","33.1","(X)","33.7","(X)","31.6","(X)","48461","3434","50710","4256","24552","9441","N","N","N","N","-","**","-","**","50968","14949","29361","7147","51594","4834","29704","18859","51786","11473","54976","6968","39143","4701","59607","5779","57473","14985","60760","5126","67640","4977","36015","3563","50540","9471","27240","3240","26149","3773","24538","4482","69087","27990","31456","14810","26494","8597","56317","13941","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0100390","Birmingham City School District, Alabama","88556","2920","25.9","2.0","71.8","2.2","N","N","N","N","N","N","N","N","N","N","N","N","24.6","2.1","4.9","1.2","36.8","2.1","37.2","2.0","21.0","1.5","47561","2103","39.3","2.6","60.7","2.6","44.9","3.7","45.5","3.6","9.6","2.5","40995","3351","54.5","3.5","47.0","3.6","7.5","1.9","45.5","3.5","37.5","3.2","8.0","2.3","40.1","(X)","43.8","(X)","33.9","(X)","30043","1518","45614","6656","26701","1324","N","N","50594","5034","-","**","N","N","N","N","26217","5116","47318","5102","16849","9842","30272","2741","30832","2989","30932","3336","35452","3688","25964","4634","40902","2547","53745","4963","22063","4291","32048","11797","24827","2350","22028","3249","20737","2207","42067","16141","27347","3674","24683","3527","46882","13685","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101020","Cullman County School District, Alabama","23684","1459","96.4","1.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","94.8","1.7","1.7","1.1","34.3","3.3","35.3","4.0","28.7","3.0","16728","1564","N","N","N","N","N","N","N","N","N","N","6956","1176","53.9","9.2","49.4","9.3","4.5","3.5","46.1","9.2","33.2","9.2","12.9","6.7","27.5","(X)","26.6","(X)","29.5","(X)","38596","4020","39246","3738","18908","10474","-","**","-","**","-","**","-","**","-","**","66506","65629","39152","3982","45911","8455","41518","4608","41863","4890","27768","3629","46725","5195","43680","11709","47627","4298","51243","3898","31539","11285","32093","22749","21484","4583","19332","5084","18394","3214","44818","21694","23595","4754","19733","2737","26928","49864","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101230","Dothan City School District, Alabama","25760","932","66.3","2.7","32.0","2.6","N","N","N","N","N","N","N","N","N","N","N","N","65.2","2.7","4.1","1.1","34.1","2.4","35.1","2.1","26.7","2.1","16321","706","42.3","3.0","57.7","3.0","65.8","3.1","29.1","2.9","5.1","1.4","9439","797","56.1","3.5","51.2","3.5","4.9","1.7","43.9","3.5","36.9","3.8","7.0","1.9","31.3","(X)","33.3","(X)","27.0","(X)","39737","3031","50727","2153","22473","3686","35795","20243","N","N","-","**","56208","10644","85299","81201","30341","21000","51173","2182","13479","3573","41806","4796","50827","2638","31700","3536","51314","2597","43564","6466","56414","3998","71842","4441","22667","4120","43692","10606","24022","2502","20531","2179","19578","1977","36984","8594","31182","3460","29659","4662","44913","6637","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101290","Elmore County School District, Alabama","25800","1376","79.4","3.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","78.8","3.2","3.1","2.1","31.6","4.0","41.1","3.3","24.3","2.7","18260","1673","N","N","N","N","N","N","N","N","N","N","7540","1491","58.0","6.7","46.9","8.6","11.0","7.0","42.0","6.7","38.6","6.6","3.4","2.7","30.2","(X)","30.6","(X)","23.6","(X)","56942","4666","59323","5234","45288","39517","-","**","-","**","-","**","N","N","44205","18305","N","N","59306","5268","26148","25146","58613","8315","65421","8505","40800","16858","65693","7054","59198","6225","74826","12058","75674","8652","35522","19892","50997","19756","26170","3293","22989","2890","21899","2299","46178","17662","35990","9105","35598","10406","36767","99975","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101800","Huntsville City School District, Alabama","75206","2464","64.3","2.2","30.6","2.1","N","N","N","N","N","N","N","N","N","N","N","N","61.4","2.2","5.4","1.3","32.2","2.4","38.3","2.2","24.1","1.6","45127","2136","41.5","3.8","58.5","3.8","67.5","3.4","25.6","3.2","6.9","1.8","30079","2376","51.1","4.4","45.8","4.5","5.3","2.4","48.9","4.4","41.2","4.2","7.7","2.3","29.1","(X)","31.9","(X)","24.5","(X)","47670","4306","60161","4654","30641","3533","N","N","41417","16770","-","**","18760","10206","46695","14325","29688","18198","61665","4011","22900","7956","38700","5107","69941","7350","41874","6791","63243","5683","43877","8929","72290","9365","86003","4931","25160","8948","36028","15239","30851","2397","30577","3021","31261","2979","21152","10832","31213","5341","26892","7078","46167","21560","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0101920","Jefferson County School District, Alabama","89283","2831","68.8","2.2","27.6","2.2","N","N","N","N","N","N","N","N","N","N","N","N","68.0","2.1","3.2","1.1","31.0","2.0","40.4","2.3","25.4","1.7","63629","2493","37.1","2.8","62.9","2.8","68.1","3.5","24.6","3.0","7.3","1.8","25654","2954","57.2","4.8","49.5","5.0","7.7","2.9","42.8","4.8","36.1","4.9","6.7","2.5","33.7","(X)","32.5","(X)","35.7","(X)","50684","3124","54007","4508","45985","4556","N","N","46596","37297","-","**","39657","16106","55000","31860","37520","16974","54023","4523","38162","8608","53380","6593","59790","4413","37746","3661","60091","2550","52000","6912","62766","2582","73974","4549","26424","6102","36374","9705","29311","2615","26980","1751","25953","1496","43516","31436","32375","3626","30659","3942","61751","11277","(X)","(X)","(X)","(X)","(X)","(X)"
"9700000US0102220","Madison County School District, Alabama","49421","2013","82.0","3.1","13.7","2.9","N","N","N","N","N","N","N","N","N","N","N","N","79.6","3.1","2.9","1.2","34.6","3.1","42.4","3.0","20.2","2.3","35926","1689","N","N","N","N","N","N","N","N","N","N","13495","2306","52.6","8.8","47.5","8.4","5.0","3.4","47.4","8.8","38.7","8.8","8.8","5.1","28.4","(X)","28.7","(X)","26.9","(X)","72610","5209","73907","5291","63449","16157","114091","98381","87820","62743","-","**","-","**","87175","74858","96071","37462","72933","5716","35091","24821","78652","7924","83345","9000","51580","9982","82825","3998","87852","7477","80295","4356","95265","9123","35311","5522","51344","10880","36682","5161","33267","7682","30684","9752","66022","31342","44464","15962","36664","9492","94304","42060","(X)","(X)","(X)","(X)","(X)","(X)"
