STATE,NAME,YRDATA,TOTALREV,TFEDREV,FEDRCOMP,FEDRSPEC,FEDRNUTR,FEDROTHR,TSTREV,STRFORM,STRSPEC,STRTRANS,STROTHR,TLOCREV,LOCRTAX,LOCRPROP,LOCRPAR,LOCRCICO,LOCROSCH,LOCRCHAR,LOCROTHR,TOTALEXP,TCURSPND,TSALWAGE,TEMPBENE,TCURINST,TCURISAL,TCURIBEN,TCURSSVC,TCURSPUP,TCURSSTA,TCURSGEN,TCURSSCH,TCURSOTH,TCURONON,TCAPOUT,TPAYOTH,TINTRST,DEBTOUT,LONGISSU,LONGRET,PCTTOTAL,PCTFTOT,PCTFCOMP,PCTSTOT,PCTSFORM,PCTLTOT,PCTLTAXP,PCTLOTHG,PCTLCHAR,PPCSTOT,PPSALWG,PPEMPBEN,PPITOTAL,PPISALWG,PPIEMBEN,PPSTOTAL,PPSPUPIL,PPSSTAFF,PPSGENAD,PPSSCHAD,DIVISION,REGION,MEAN INCOME
CA,TWIN RIVERS UNIFIED SCHOOL DISTRICT,15,370600,42138,15346,5805,15534,5453,257165,226113,0,0,31052,71297,49556,49556,0,3553,12070,1740,4378,375253,335353,200640,61548,197933,128047,36248,118955,15955,12171,2934,26169,61726,18465,24122,2516,13262,267292,3156,8669,100.0,11.4,4.1,69.4,61.0,19.2,13.4,4.2,0.5,10750.0,6465.0,1983.0,6378.0,4126.0,1168,3833.0,514,392,95,843,Pacific,West,53568
CA,COLTON JOINT UNIFIED SCHOOL DISTRICT,15,252029,24077,5965,4126,9874,4112,181175,158134,0,0,23041,46777,21740,21073,0,12508,9843,819,1867,252697,229948,137014,56664,135851,89860,35329,82861,16557,7562,1135,13230,44377,11236,13542,2588,6619,205577,0,2030,100.0,9.6,2.4,71.9,62.7,18.6,8.6,8.9,0.3,9859.0,5875.0,2430.0,5825.0,3853.0,1515,3553.0,710,324,49,567,Pacific,West,58882
CA,POWAY UNIFIED SCHOOL DISTRICT,15,405486,11716,1457,6048,2745,1466,153082,107973,16412,0,28697,240688,190643,190643,0,8443,3653,8661,29288,424744,354229,210264,80548,212921,138194,52558,115712,13940,14983,1437,18859,66493,25596,29240,656,40619,467441,117524,115604,100.0,2.9,0.4,37.8,26.6,59.4,47.0,3.0,2.1,9910.0,5901.0,2261.0,5976.0,3879.0,1475,3248.0,391,421,40,529,Pacific,West,129319
CA,LUCIA MAR UNIFIED SCHOOL DISTRICT,15,106302,8058,1266,1976,2386,2430,34634,25129,0,0,9505,63610,54027,54027,0,1080,2778,1103,4622,109930,96593,61330,22397,63690,42880,15133,29338,5157,2155,1018,6362,14646,3565,10790,1887,660,34184,827,3185,100.0,7.6,1.2,32.6,23.6,59.8,50.8,3.6,1.0,8986.0,5726.0,2091.0,5947.0,4004.0,1413,2739.0,482,201,95,594,Pacific,West,93099
CA,SANTA BARBARA UNIFIED SCHOOL DISTRICT,15,167231,12104,2226,2904,4687,2287,28747,15215,205,0,13327,126380,108513,105316,0,5919,571,2154,9223,180397,145653,95115,23547,81161,59141,13819,52582,9632,8626,857,9578,23889,11910,29132,0,5612,198399,0,0,100.0,7.2,1.3,17.2,9.1,75.6,64.9,3.9,1.3,8971.0,6100.0,1510.0,5205.0,3793.0,886,3372.0,618,553,55,614,Pacific,West,97383
CA,VACAVILLE UNIFIED SCHOOL DISTRICT,15,113255,5988,1172,2031,2002,783,66874,60086,0,0,6788,40393,23322,23322,0,8936,2025,1577,4533,110881,104137,65329,22561,60042,42276,14009,40935,9628,5637,773,7638,17259,3160,620,1723,4401,82296,0,0,100.0,5.3,1.0,59.0,53.1,35.7,20.6,9.7,1.4,8100.0,5089.0,1757.0,4677.0,3293.0,1091,3189.0,750,439,60,595,Pacific,West,87863
CA,TURLOCK UNIFIED SCHOOL DISTRICT,15,147865,10690,2793,2216,4358,1323,93308,84397,0,0,8911,43867,26238,26238,0,1383,11820,786,3640,141390,125807,84524,23220,83269,59992,15764,36105,4271,4523,570,9537,17204,6433,9878,3666,2039,41280,0,2490,100.0,7.2,1.9,63.1,57.1,29.7,17.7,8.9,0.5,8851.0,5983.0,1644.0,5894.0,4247.0,1116,2556.0,302,320,40,675,Pacific,West,69019
CA,YUBA CITY UNIFIED SCHOOL DISTRICT,15,136638,12014,2863,2622,4863,1666,88149,73914,0,0,14235,36475,28216,23107,0,324,3590,1530,2815,130964,124922,76964,27492,75421,50031,18448,43704,6551,7320,619,9078,20136,5797,1281,2705,2056,34921,0,3021,100.0,8.8,2.1,64.5,54.1,26.7,20.7,2.9,1.1,9345.0,5758.0,2057.0,5643.0,3743.0,1380,3270.0,490,548,46,679,Pacific,West,66017
CA,CONEJO VALLEY UNIFIED SCHOOL DISTRICT,15,210453,8145,1430,3524,2167,1024,75411,62021,290,0,13100,126897,97124,97124,0,2958,9515,5400,11900,195872,185489,117321,42905,116847,80788,27118,55113,8417,4810,720,13272,27894,13529,3797,1633,4953,77607,38701,8450,100.0,3.9,0.7,35.8,29.5,60.3,46.1,5.9,2.6,8938.0,5947.0,2175.0,5923.0,4095.0,1375,2794.0,427,244,36,673,Pacific,West,139024
CO,ADAMS-ARAPAHOE SCHOOL DISTRICT 28J,15,451384,45224,11726,8547,14296,10655,259490,236611,7780,1575,13524,146670,128893,128893,0,84,75,7520,10098,461238,395797,246382,72611,224528,155747,46002,153497,23768,21613,6563,32339,69214,17772,43385,1372,20684,329190,0,15795,100.0,10.0,2.6,57.5,52.4,32.5,28.6,0.0,1.7,9453.0,5904.0,1740.0,5381.0,3732.0,1102,3678.0,570,518,157,775,Mountain,West,65061
