STATE,NAME,YRDATA,TOTALREV,TFEDREV,FEDRCOMP,FEDRSPEC,FEDRNUTR,FEDROTHR,TSTREV,STRFORM,STRSPEC,STRTRANS,STROTHR,TLOCREV,LOCRTAX,LOCRPROP,LOCRPAR,LOCRCICO,LOCROSCH,LOCRCHAR,LOCROTHR,TOTALEXP,TCURSPND,TSALWAGE,TEMPBENE,TCURINST,TCURISAL,TCURIBEN,TCURSSVC,TCURSPUP,TCURSSTA,TCURSGEN,TCURSSCH,TCURSOTH,TCURONON,TCAPOUT,TPAYOTH,TINTRST,DEBTOUT,LONGISSU,LONGRET,PCTTOTAL,PCTFTOT,PCTFCOMP,PCTSTOT,PCTSFORM,PCTLTOT,PCTLTAXP,PCTLOTHG,PCTLCHAR,PPCSTOT,PPSALWG,PPEMPBEN,PPITOTAL,PPISALWG,PPIEMBEN,PPSTOTAL,PPSPUPIL,PPSSTAFF,PPSGENAD,PPSSCHAD,DIVISION,REGION,MEAN INCOME
AL,BALDWIN COUNTY SCHOOL DISTRICT,10,260945,30989,8795,7272,6023,8899,107281,81381,0,8616,17284,122675,53190,53110,0,50398,24,11785,7278,255644,234058,136645,54449,136628,89605,34866,82848,13563,11676,3527,16412,37670,14582,10446,279,10861,315616,1708,8639,100.0,11.9,3.4,41.1,31.2,47.0,20.4,19.3,4.5,8268.0,4901.0,1953.0,4898.0,3214.0,1251,2972.0,486,419,127,589,East South Central,South,64806
FL,CLAY COUNTY SCHOOL DISTRICT,10,45015,2697,672,672,565,788,38799,9160,0,1279,28360,3519,1291,1286,0,566,0,1156,506,19322,17889,10150,4371,10721,7031,2756,5461,857,442,743,950,2469,1707,1024,25,384,6377,0,349,100.0,6.0,1.5,86.2,20.3,7.8,2.9,1.3,2.6,8243.0,4808.0,2071.0,5079.0,3331.0,1306,2587.0,406,209,352,450,South Atlantic,South,68240
FL,CLAY COUNTY SCHOOL DISTRICT,10,311728,39322,5039,10079,6312,17892,172790,82391,30423,4602,55374,99616,75666,75666,0,0,0,15279,8671,342474,288223,190487,52987,184290,131096,35726,90384,14263,14227,2873,15190,43831,13549,50806,0,3445,74835,0,3412,100.0,12.6,1.6,55.4,26.4,32.0,24.3,0.0,4.9,7982.0,5298.0,1474.0,5125.0,3646.0,994,2514.0,397,396,80,422,South Atlantic,South,68240
AL,CULLMAN COUNTY SCHOOL DISTRICT,10,84449,13214,3403,2906,3091,3814,52612,43356,0,3756,5500,18623,6051,6030,0,5612,0,4585,2375,85371,83283,47844,20294,48754,32585,12842,27524,4330,3183,1127,6135,12749,7005,916,80,1092,13214,0,1937,100.0,15.6,4.0,62.3,51.3,22.1,7.2,6.6,5.4,8199.0,4789.0,2031.0,4880.0,3261.0,1285,2755.0,433,319,113,614,East South Central,South,45295
AL,ELMORE COUNTY SCHOOL DISTRICT,10,93950,16195,3076,6214,2693,4212,53822,43373,0,4737,5712,23933,9298,9267,0,7125,57,5418,2035,96023,90250,50143,21909,53679,33850,13889,28966,4085,5369,1908,4934,12670,7605,3088,77,2608,40090,9325,1890,100.0,17.2,3.3,57.3,46.2,25.5,9.9,7.6,5.8,8019.0,4575.0,1999.0,4897.0,3088.0,1267,2643.0,373,490,174,450,East South Central,South,65957
FL,ESCAMBIA COUNTY SCHOOL DISTRICT,10,44788,8466,2479,1586,2048,2353,24932,19307,0,2912,2713,11390,5201,5146,0,3274,0,1820,1095,45077,43396,24735,10783,24108,15775,6424,15480,2332,1584,1086,3024,7454,3808,1232,67,382,7030,0,7105,100.0,18.9,5.5,55.7,43.1,25.4,11.6,7.3,4.1,9074.0,5292.0,2307.0,5158.0,3375.0,1374,3312.0,499,339,232,647,South Atlantic,South,55689
FL,ESCAMBIA COUNTY SCHOOL DISTRICT,10,394851,77429,22122,17329,12697,25281,158799,68768,25311,5311,59409,158623,123970,123970,0,0,415,13378,20860,387349,352524,200864,63225,201438,127288,37873,127831,16780,28082,4507,14106,64356,23255,32121,0,2704,56033,0,4380,100.0,19.6,5.6,40.2,17.4,40.2,31.4,0.1,3.4,8557.0,4946.0,1557.0,4960.0,3134.0,933,3148.0,413,691,111,347,South Atlantic,South,55689
AL,DOTHAN CITY SCHOOL DISTRICT,10,84238,17439,5107,3146,3498,5688,43736,36102,0,3136,4498,23063,8179,8161,0,10034,0,1822,3028,85232,84201,47871,20119,50883,32564,12979,27066,4671,4145,1369,5118,11763,6252,323,165,543,10679,3752,879,100.0,20.7,6.1,51.9,42.9,27.4,9.7,11.9,2.2,9075.0,5206.0,2188.0,5534.0,3541.0,1412,2944.0,508,451,149,557,East South Central,South,53714
AL,BIRMINGHAM CITY SCHOOL DISTRICT,10,291248,57696,25318,8501,10947,12930,127202,104608,0,5628,16966,106350,77813,77812,0,5784,0,4360,18393,371343,280946,163672,61836,144744,94568,35767,113323,17965,25104,6540,18308,45406,22879,86749,93,3555,462447,0,1567,100.0,19.8,8.7,43.7,35.9,36.5,26.7,2.0,1.5,10229.0,6125.0,2314.0,5408.0,3539.0,1339,4241.0,672,939,245,685,East South Central,South,42347
AL,HOOVER CITY SCHOOL DISTRICT,10,149924,9191,863,3055,1557,3716,54590,43400,0,5764,5426,86143,65476,65472,0,3304,0,11689,5674,152411,145335,83174,34081,83437,54814,20826,49795,8220,5851,1576,9205,24943,12103,927,89,6060,297009,115217,121976,100.0,6.1,0.6,36.4,28.9,57.5,43.7,2.2,7.8,10937.0,6453.0,2644.0,6473.0,4253.0,1616,3863.0,638,454,122,714,East South Central,South,87052
FL,LEE COUNTY SCHOOL DISTRICT,10,94068,10853,1885,3109,2675,3184,55347,38983,0,3840,12524,27868,12630,12585,0,9402,0,3674,2162,106397,81845,48640,20451,49973,33878,13328,25426,4003,2388,1375,4240,13420,6446,21495,64,2993,57680,8481,3201,100.0,11.5,2.0,58.8,41.4,29.6,13.4,10.0,3.9,8299.0,4995.0,2100.0,5132.0,3479.0,1369,2611.0,411,245,141,435,South Atlantic,South,61562
FL,LEE COUNTY SCHOOL DISTRICT,10,821989,116122,21095,21148,23304,50575,162118,33342,10810,2538,115428,543749,487275,487275,0,0,50,34684,21740,836303,721668,383475,124705,423448,235229,74587,257025,26408,33980,5015,41322,150300,41195,91229,0,23406,534149,0,26944,100.0,14.1,2.6,19.7,4.1,66.2,59.3,0.0,4.2,8790.0,4765.0,1549.0,5261.0,2923.0,927,3193.0,328,422,62,513,South Atlantic,South,61562
FL,LEE COUNTY SCHOOL DISTRICT,10,59102,10470,1798,1506,2358,4808,31453,30189,20,0,1244,17179,14519,14518,0,2,0,2034,624,55628,52427,32312,10246,31980,22219,6903,17116,2693,2202,1089,3273,7859,3331,2251,0,950,24340,3675,2350,100.0,17.7,3.0,53.2,51.1,29.1,24.6,0.0,3.4,7648.0,4714.0,1495.0,4665.0,3241.0,1007,2497.0,393,321,159,477,South Atlantic,South,61562
FL,LEE COUNTY SCHOOL DISTRICT,10,31292,6202,2193,943,1224,1842,17509,3773,706,252,12778,7581,5196,5054,0,1065,0,367,953,34227,24836,14285,4281,11905,8334,2306,11210,1597,1980,732,1702,5199,1721,6488,818,2085,55896,0,1520,100.0,19.8,7.0,56.0,12.1,24.2,16.6,3.4,1.2,9809.0,5744.0,1721.0,4732.0,3351.0,927,4507.0,642,796,294,684,South Atlantic,South,61562
AL,HUNTSVILLE CITY SCHOOL DISTRICT,10,246510,33000,10736,7358,6035,8871,105393,90367,0,3345,11681,108117,45446,45410,0,47294,0,6218,9159,272461,240256,136940,54178,138929,91632,35192,87816,12275,12972,3608,16083,42878,13511,31015,35,1155,109181,0,1080,100.0,13.4,4.4,42.8,36.7,43.9,18.4,19.2,2.5,10181.0,5859.0,2318.0,5942.0,3920.0,1506,3757.0,525,555,154,688,East South Central,South,64404
AL,MADISON COUNTY SCHOOL DISTRICT,10,174023,19418,3318,5280,3642,7178,95847,79187,0,7885,8775,58758,18436,18408,0,21445,298,12248,6331,202910,166759,98077,40653,97032,65551,25721,55260,8398,7680,2241,10939,26002,14467,30114,134,5903,163326,19815,23790,100.0,11.2,1.9,55.1,45.5,33.8,10.6,12.5,7.0,8135.0,4893.0,2028.0,4840.0,3270.0,1283,2757.0,419,383,112,546,East South Central,South,76318
AL,MADISON COUNTY SCHOOL DISTRICT,10,26535,6409,2139,1182,980,2108,13671,6283,3041,415,3932,6455,5406,5406,0,0,0,809,240,26832,25650,14455,3957,13082,7969,1981,11149,714,2988,823,1435,5189,1419,1084,0,98,1795,0,180,100.0,24.2,8.1,51.5,23.7,24.3,20.4,0.0,3.0,9395.0,5301.0,1451.0,4797.0,2922.0,726,4088.0,262,1096,302,526,East South Central,South,76318
AL,MADISON COUNTY SCHOOL DISTRICT,10,116884,11244,1044,1893,2090,6217,44089,42086,43,0,1960,61551,52621,52621,0,0,36,6359,2535,106019,87590,50509,15267,52845,36828,11083,30202,3984,4303,1433,5119,15363,4543,14589,0,3840,115834,32000,11047,100.0,9.6,0.9,37.7,36.0,52.7,45.0,0.0,5.4,7551.0,4364.0,1319.0,4566.0,3182.0,958,2609.0,344,372,124,442,East South Central,South,76318
MS,MADISON COUNTY SCHOOL DISTRICT,10,174023,19418,3318,5280,3642,7178,95847,79187,0,7885,8775,58758,18436,18408,0,21445,298,12248,6331,202910,166759,98077,40653,97032,65551,25721,55260,8398,7680,2241,10939,26002,14467,30114,134,5903,163326,19815,23790,100.0,11.2,1.9,55.1,45.5,33.8,10.6,12.5,7.0,8135.0,4893.0,2028.0,4840.0,3270.0,1283,2757.0,419,383,112,546,East South Central,South,88023
MS,MADISON COUNTY SCHOOL DISTRICT,10,26535,6409,2139,1182,980,2108,13671,6283,3041,415,3932,6455,5406,5406,0,0,0,809,240,26832,25650,14455,3957,13082,7969,1981,11149,714,2988,823,1435,5189,1419,1084,0,98,1795,0,180,100.0,24.2,8.1,51.5,23.7,24.3,20.4,0.0,3.0,9395.0,5301.0,1451.0,4797.0,2922.0,726,4088.0,262,1096,302,526,East South Central,South,88023
MS,MADISON COUNTY SCHOOL DISTRICT,10,116884,11244,1044,1893,2090,6217,44089,42086,43,0,1960,61551,52621,52621,0,0,36,6359,2535,106019,87590,50509,15267,52845,36828,11083,30202,3984,4303,1433,5119,15363,4543,14589,0,3840,115834,32000,11047,100.0,9.6,0.9,37.7,36.0,52.7,45.0,0.0,5.4,7551.0,4364.0,1319.0,4566.0,3182.0,958,2609.0,344,372,124,442,East South Central,South,88023
FL,MARION COUNTY SCHOOL DISTRICT,10,34111,5918,2225,1182,1104,1407,21513,16789,0,1539,3185,6680,2008,2000,0,1371,0,2299,1002,33587,32330,18208,7542,20092,12604,5007,9454,1637,919,870,2056,3972,2784,1051,56,150,1458,0,477,100.0,17.3,6.5,63.1,49.2,19.6,5.9,4.0,6.7,8558.0,4925.0,2040.0,5435.0,3409.0,1354,2557.0,443,249,235,556,South Atlantic,South,48677
FL,MARION COUNTY SCHOOL DISTRICT,10,406266,71450,17201,14150,15388,24711,157672,63762,21654,4412,67844,177144,138638,138638,0,0,0,21571,16935,431052,371365,218343,60173,208284,132668,35538,134280,23930,22270,3748,18018,66314,28801,51927,0,7760,160137,21420,10132,100.0,17.6,4.2,38.8,15.7,43.6,34.1,0.0,5.3,8627.0,5198.0,1433.0,4959.0,3158.0,846,3197.0,570,530,89,429,South Atlantic,South,48677
FL,MARION COUNTY SCHOOL DISTRICT,10,23213,4961,915,604,1338,2104,12517,11554,15,0,948,5735,3069,3069,0,0,177,1347,1142,23808,21465,13107,4029,12435,8426,2546,7170,953,1186,558,1352,3121,1860,1922,0,421,4981,189,301,100.0,21.4,3.9,53.9,49.8,24.7,13.2,0.8,5.8,8430.0,5226.0,1606.0,4958.0,3360.0,1015,2859.0,380,473,222,539,South Atlantic,South,48677
AL,MOBILE COUNTY SCHOOL DISTRICT,10,592058,117344,47961,22692,22625,24066,308995,241926,1472,24257,41340,165719,108778,85550,0,23268,0,13840,19833,581520,552522,300217,128923,308357,192396,77758,205986,29189,31634,10499,29556,105108,38179,18559,994,9445,229979,42155,28335,100.0,19.8,8.1,52.2,40.9,28.0,18.4,3.9,2.3,8720.0,4783.0,2054.0,4902.0,3065.0,1239,3282.0,465,504,167,471,East South Central,South,54570
FL,MONROE COUNTY SCHOOL DISTRICT,10,36650,6437,1912,1455,1384,1686,23507,18113,0,1900,3494,6706,2130,2120,0,1820,0,1547,1209,37008,35785,20186,8610,21479,13721,5479,11249,1915,1166,651,2451,5066,3057,1164,59,0,1101,0,0,100.0,17.6,5.2,64.1,49.4,18.3,5.8,5.0,4.2,8566.0,4919.0,2098.0,5234.0,3343.0,1335,2741.0,467,284,159,597,South Atlantic,South,70905
FL,MONROE COUNTY SCHOOL DISTRICT,10,118865,13838,2262,2121,2038,7417,11605,532,113,18,10942,93422,75035,75035,0,0,0,4670,13717,110182,101539,61515,20468,61344,39116,12872,35480,5590,6157,1758,5143,16832,4715,5273,0,3370,116195,36000,11654,100.0,11.6,1.9,9.8,0.4,78.6,63.1,0.0,3.9,12071.0,7428.0,2472.0,7408.0,4724.0,1554,4285.0,675,744,212,621,South Atlantic,South,70905
FL,MONROE COUNTY SCHOOL DISTRICT,10,19671,3290,432,320,777,1761,11109,9995,0,0,1114,5272,3741,3741,0,0,12,1073,446,18596,17960,11393,3500,11722,8231,2471,5064,887,511,460,996,2210,1174,538,0,98,2848,58,340,100.0,16.7,2.2,56.5,50.8,26.8,19.0,0.1,5.5,7822.0,4971.0,1527.0,5114.0,3591.0,1078,2209.0,387,223,201,435,South Atlantic,South,70905
AL,MONTGOMERY COUNTY SCHOOL DISTRICT,10,301209,59993,23003,11097,12204,13689,148635,123330,0,9823,15482,92581,31110,31041,0,49796,0,5759,5916,324935,286481,160892,68623,159951,100466,40340,104081,18421,18456,6158,16208,44838,22449,36113,97,2244,48707,12901,4378,100.0,19.9,7.6,49.3,40.9,30.7,10.3,16.5,1.9,8895.0,5065.0,2160.0,5019.0,3163.0,1270,3277.0,580,581,194,510,East South Central,South,58863
SC,PICKENS COUNTY SCHOOL DISTRICT,10,28725,5591,1692,1320,1319,1260,18143,13226,0,1888,3029,4991,1659,1646,0,888,0,1281,1163,29064,27466,15338,6494,16067,10214,4061,8968,1451,1005,987,1484,4041,2431,1482,53,63,2007,0,290,100.0,19.5,5.9,63.2,46.0,17.4,5.8,3.1,4.5,9138.0,5191.0,2198.0,5437.0,3457.0,1374,3035.0,491,340,334,502,South Atlantic,South,49845
SC,PICKENS COUNTY SCHOOL DISTRICT,10,172634,22430,5415,6004,4014,6997,74526,19305,4483,878,49860,75678,49127,49119,0,288,48,6896,19319,199665,129211,81867,25798,78130,55811,16486,43531,9291,8076,411,7913,17840,7550,52980,512,16962,394574,0,6426,100.0,13.0,3.1,43.2,11.2,43.8,28.5,0.2,4.0,7754.0,4934.0,1555.0,4708.0,3363.0,993,2623.0,560,487,25,477,South Atlantic,South,49845
AL,SHELBY COUNTY SCHOOL DISTRICT,10,278596,27436,4872,8589,5202,8773,133243,103523,0,11032,18688,117917,75115,75059,0,11203,166,19611,11822,262108,244556,143251,59671,143460,93684,37392,79824,12557,12679,2712,15411,36465,21272,10331,276,6945,239188,13641,17861,100.0,9.8,1.7,47.8,37.2,42.3,27.0,4.1,7.0,8619.0,5168.0,2153.0,5176.0,3380.0,1349,2880.0,453,457,98,556,East South Central,South,76857
FL,SUMTER COUNTY SCHOOL DISTRICT,10,28516,7463,3203,1275,1267,1718,17178,9557,0,1533,6088,3875,1998,1670,0,813,0,455,609,32328,23278,12209,5116,12140,7495,2990,8700,1272,895,1258,1180,4095,2438,8319,25,706,15103,0,302,100.0,26.2,11.2,60.2,33.5,13.6,7.0,2.9,1.6,10230.0,5577.0,2337.0,5546.0,3424.0,1366,3974.0,581,409,575,539,South Atlantic,South,55720
FL,SUMTER COUNTY SCHOOL DISTRICT,10,73354,11754,2902,2542,2390,3920,10676,0,0,0,10676,50924,48349,48349,0,0,5,1686,884,73502,67562,31912,9392,43035,19071,5333,21440,2560,4926,1015,2700,10239,3087,4298,0,1642,35660,0,1145,100.0,16.0,4.0,14.6,0.0,69.4,65.9,0.0,2.3,8921.0,4224.0,1243.0,5696.0,2524.0,706,2838.0,339,652,134,357,South Atlantic,South,55720
AL,TUSCALOOSA CITY SCHOOL DISTRICT,10,145298,19721,7379,3474,3927,4941,46413,37797,0,3474,5142,79164,30538,21624,0,12319,39,2311,33957,106983,95887,54507,22669,53270,34659,13750,35677,6428,5218,3215,6384,14432,6940,2218,173,8705,138189,0,35911,100.0,13.6,5.1,31.9,26.0,54.5,21.0,8.5,1.6,9183.0,5290.0,2200.0,5166.0,3364.0,1334,3462.0,624,506,312,620,East South Central,South,59154
AL,TUSCALOOSA COUNTY SCHOOL DISTRICT,10,163084,21987,5662,5288,5195,5842,87102,69702,0,7066,10334,53995,17682,13814,0,21110,0,10046,5157,164292,145447,80117,34122,83513,53184,21320,47919,9431,5417,2560,9932,20579,14015,6973,165,11707,34324,0,3562,100.0,13.5,3.5,53.4,42.7,33.1,10.8,12.9,6.2,8120.0,4541.0,1934.0,4733.0,3014.0,1208,2716.0,535,307,145,563,East South Central,South,59974
AK,ANCHORAGE SCHOOL DISTRICT,10,686143,89922,14638,16093,12074,47117,383161,295892,0,19530,67739,213060,0,0,191914,0,0,12041,9105,755956,666726,356938,270906,369275,216810,129457,282033,87719,39896,4805,38039,111574,15418,60741,0,28489,744618,16907,44874,100.0,13.1,2.1,55.8,43.1,31.1,28.0,0.0,1.8,13435.0,7197.0,5463.0,7446.0,4372.0,2610,5687.0,1769,804,97,767,Pacific,West,91772
CA,HAYWARD UNIFIED SCHOOL DISTRICT,10,217491,33347,7201,7270,5635,13241,113710,63155,267,1281,49007,70434,42595,41350,0,8178,12933,1959,4769,230463,202186,138365,26432,130075,95463,17517,62759,8790,6686,981,14015,32287,9352,17764,2177,8336,100675,0,20530,100.0,15.3,3.3,52.3,29.0,32.4,19.6,9.7,0.9,9063.0,6324.0,1208.0,5945.0,4363.0,801,2869.0,402,306,45,641,Pacific,West,72964
CA,WEST CONTRA COSTA UNIFIED SCHOOL DISTRICT,10,333724,42113,11743,10168,9840,10362,163761,84009,17694,1867,60191,127850,104286,89090,0,14941,0,1827,6796,395546,291344,156556,67549,162059,100378,43873,115861,16967,23178,2151,14971,58594,13424,75607,33,28562,767568,190270,68702,100.0,12.6,3.5,49.1,25.2,38.3,31.2,4.5,0.5,9581.0,5203.0,2245.0,5386.0,3336.0,1458,3851.0,564,770,71,498,Pacific,West,75938
CA,SAN RAMON VALLEY UNIFIED SCHOOL DISTRICT,10,269662,12221,510,8713,498,2500,89705,21936,16309,579,50881,167736,136546,129911,0,4338,2025,5846,18981,297269,226502,144867,47721,148971,102743,31861,72073,9132,8992,927,17083,35939,5458,54360,1267,15140,323629,2971,4665,100.0,4.5,0.2,33.3,8.1,62.2,50.6,2.4,2.2,8096.0,5185.0,1708.0,5332.0,3678.0,1140,2580.0,327,322,33,611,Pacific,West,157641
CA,CLOVIS UNIFIED SCHOOL DISTRICT,10,374342,31437,5152,11044,6386,8855,216921,136022,22639,2667,55593,125984,87032,87032,0,3981,2608,11304,21059,360278,318576,195710,76349,189753,130484,44959,113603,17973,18180,1844,20063,55543,15220,28832,677,12193,282833,0,41173,100.0,8.4,1.4,57.9,36.3,33.7,23.2,1.8,3.0,8229.0,5150.0,2009.0,4993.0,3433.0,1183,2989.0,473,478,49,528,Pacific,West,84715
CA,ALHAMBRA UNIFIED SCHOOL DISTRICT,10,186455,28409,9535,4759,6120,7995,116021,80871,137,1438,33575,42025,24990,24990,0,621,11538,1405,3471,244702,172050,102186,44276,94677,63171,23213,64207,11906,9444,998,11412,30447,13166,65037,3307,4308,153967,5674,0,100.0,15.2,5.1,62.2,43.4,22.5,13.4,6.5,0.8,8943.0,5511.0,2388.0,5106.0,3407.0,1252,3463.0,642,509,54,616,Pacific,West,63164
CA,AZUSA UNIFIED SCHOOL DISTRICT,10,102252,16871,3807,4203,3760,5101,72021,45303,4587,706,21425,13360,10023,10023,0,190,122,1103,1922,107396,100312,64643,16947,59354,42591,10384,34895,4506,4700,768,6612,18309,6063,920,4428,1736,93508,318,956,100.0,16.5,3.7,70.4,44.3,13.1,9.8,0.3,1.1,9015.0,5934.0,1556.0,5449.0,3910.0,953,3203.0,414,431,71,607,Pacific,West,61202
CA,BALDWIN PARK UNIFIED SCHOOL DISTRICT,10,175414,26866,6763,5149,6384,8570,120002,72979,3566,105,43352,28546,12547,12547,0,170,10094,1629,4106,176156,158947,102557,32918,90197,63204,19278,51600,5498,11941,895,9414,23852,17150,9593,4868,2748,104769,1979,4164,100.0,15.3,3.9,68.4,41.6,16.3,7.2,5.9,0.9,7278.0,5032.0,1615.0,4426.0,3101.0,946,2532.0,270,586,44,462,Pacific,West,61394
CA,BELLFLOWER UNIFIED SCHOOL DISTRICT,10,119644,15350,3371,5458,3807,2714,86910,59162,5985,408,21355,17384,10278,10278,0,9,2208,1342,3547,124249,122678,77783,28046,76650,52548,17992,38551,6027,4538,966,9047,17973,7477,1051,1,519,9945,0,1030,100.0,12.8,2.8,72.6,49.4,14.5,8.6,1.9,1.1,8320.0,5392.0,1944.0,5313.0,3643.0,1247,2672.0,418,315,67,627,Pacific,West,65009
CA,BURBANK UNIFIED SCHOOL DISTRICT,10,141340,12180,2946,4422,1796,3016,82925,52506,9106,290,21023,46235,34825,34825,0,450,1723,2456,6781,147090,136658,86326,27384,86907,59570,18167,44178,5726,4950,617,11755,21130,5573,8387,559,1486,103583,4114,6228,100.0,8.6,2.1,58.7,37.1,32.7,24.6,1.5,1.7,8032.0,5159.0,1637.0,5194.0,3560.0,1086,2640.0,342,296,37,703,Pacific,West,77290
CA,MONTEBELLO UNIFIED SCHOOL DISTRICT,10,339440,51192,15520,8967,13282,13423,224009,134207,0,1722,88080,64239,34263,34263,0,1940,21837,1165,5034,326008,304743,193501,70086,174375,118718,42522,105139,19793,20264,1545,17373,46164,25229,14612,1700,4953,197984,36295,8355,100.0,15.1,4.6,66.0,39.5,18.9,10.1,7.0,0.3,8909.0,5910.0,2141.0,5326.0,3626.0,1299,3211.0,605,619,47,531,Pacific,West,53651
CA,POMONA UNIFIED SCHOOL DISTRICT,10,344372,78010,15370,15091,12194,35355,213915,126992,14798,1306,70819,52447,31799,31799,0,450,421,12681,7096,357849,333006,192267,61545,165775,114737,32561,115269,23078,22841,1058,17415,50877,51962,11311,3237,10295,203738,0,7373,100.0,22.7,4.5,62.1,36.9,15.2,9.2,0.3,3.7,10098.0,6620.0,2119.0,5708.0,3950.0,1121,3969.0,795,786,36,600,Pacific,West,58495
CA,MADERA UNIFIED SCHOOL DISTRICT,10,157917,23735,8069,2801,8044,4821,104153,72241,60,2719,29133,30029,17734,17734,0,3074,4904,1407,2910,164900,153340,91539,37238,88240,57893,22242,54693,6877,6128,1310,12443,27935,10407,6939,1417,3204,90764,0,1805,100.0,15.0,5.1,66.0,45.7,19.0,11.2,5.1,0.9,7752.0,4714.0,1918.0,4544.0,2981.0,1145,2817.0,354,316,67,641,Pacific,West,52719
CA,PALM SPRINGS UNIFIED SCHOOL DISTRICT,10,247956,26395,7412,5492,8754,4737,116532,80385,118,2170,33859,105029,36873,36873,0,44131,14222,1444,8359,257829,205135,122520,46900,124784,83815,29030,70859,9795,8981,1216,13266,37601,9492,42034,7,10653,354469,129539,6910,100.0,10.6,3.0,47.0,32.4,42.4,14.9,23.5,0.6,8553.0,5117.0,1959.0,5212.0,3501.0,1212,2959.0,409,375,51,554,Pacific,West,66301
CA,VAL VERDE UNIFIED SCHOOL DISTRICT,10,377589,111220,3555,98121,6958,2586,219290,79764,120376,800,18350,47079,16327,16327,0,6685,18305,1544,4218,389170,147713,87090,26922,93202,60021,16702,47277,8418,5707,608,8949,23595,7234,2752,233716,4989,119767,57357,54912,100.0,29.5,0.9,58.1,21.1,12.5,4.3,6.6,0.4,7523.0,4435.0,1371.0,4746.0,3057.0,851,2408.0,429,291,31,456,Pacific,West,62601
CA,ELK GROVE UNIFIED SCHOOL DISTRICT,10,542045,60553,10012,17808,15055,17678,368985,237447,32755,3078,95705,112507,84873,84551,0,6068,1980,5492,14094,582688,527533,330402,128681,340634,232142,83958,163444,22120,18527,2397,33418,86982,23455,40243,6616,8296,133751,0,5623,100.0,11.2,1.8,68.1,43.8,20.8,15.7,1.5,1.0,8393.0,5288.0,2059.0,5452.0,3715.0,1344,2616.0,354,297,38,535,Pacific,West,74224
CA,COLTON JOINT UNIFIED SCHOOL DISTRICT,10,214427,28804,7817,6979,8056,5952,140614,103888,128,968,35630,45009,9485,8929,0,18459,11656,1578,3831,238816,194707,128293,40605,116334,84004,25116,68996,12777,7964,927,11176,36152,9377,36802,2800,4507,156516,51017,3275,100.0,13.4,3.6,65.6,48.4,21.0,4.4,14.0,0.7,8214.0,5434.0,1720.0,4928.0,3558.0,1064,2923.0,541,337,39,473,Pacific,West,60138
CA,POWAY UNIFIED SCHOOL DISTRICT,10,337724,18129,2012,9823,2120,4174,111457,59125,15888,1820,34624,208138,149873,149873,0,13701,5276,8834,30454,377706,281007,179101,53858,164712,118236,33566,95947,10860,12144,968,14956,57019,20348,63147,417,33135,301601,0,1485,100.0,5.4,0.6,33.0,17.5,61.6,44.4,5.6,2.6,8280.0,5299.0,1594.0,4874.0,3498.0,993,2839.0,321,359,29,443,Pacific,West,111112
CA,TRACY JOINT UNIFIED SCHOOL DISTRICT,10,138136,12482,2235,4660,2993,2594,84022,61698,0,611,21713,41632,24543,24543,0,5183,5725,1901,4280,168933,130646,83883,26599,83636,59751,17713,41431,4874,5926,611,9342,20678,5579,31257,4222,2808,60330,0,460,100.0,9.0,1.6,60.8,44.7,30.1,17.8,7.9,1.4,7406.0,4795.0,1520.0,4781.0,3416.0,1013,2368.0,279,339,35,534,Pacific,West,81777
CA,LUCIA MAR UNIFIED SCHOOL DISTRICT,10,86163,10589,1793,3450,2569,2777,22156,6572,198,1299,14087,53418,45757,45757,0,1824,1529,1963,2345,91505,84228,52597,18125,54598,36785,12097,24982,3756,1634,838,5507,13247,4648,594,4273,2410,51827,0,2151,100.0,12.3,2.1,25.7,7.6,62.0,53.1,3.9,2.3,7789.0,4916.0,1694.0,5103.0,3438.0,1131,2335.0,351,153,78,515,Pacific,West,70561
CA,VACAVILLE UNIFIED SCHOOL DISTRICT,10,107550,8431,1359,3314,1926,1832,68961,47791,60,522,20588,30158,11427,11427,0,10298,2025,1447,4961,110020,91069,61898,19231,54361,41088,11733,33398,6712,4270,811,7329,14276,3310,12163,1679,5109,101945,0,1903,100.0,7.8,1.3,64.1,44.4,28.0,10.6,11.5,1.3,6930.0,4734.0,1471.0,4157.0,3142.0,897,2554.0,513,327,62,560,Pacific,West,84707
CA,TURLOCK UNIFIED SCHOOL DISTRICT,10,126507,12060,3285,3401,4019,1355,68404,49861,0,436,18107,46043,20545,20545,0,7439,9487,1294,7278,124030,113536,77127,18744,77113,55616,13330,30720,3915,3728,532,8170,14375,5703,5101,2644,2749,60750,0,2390,100.0,9.5,2.6,54.1,39.4,36.4,16.2,13.4,1.0,8170.0,5587.0,1358.0,5586.0,4029.0,966,2225.0,284,270,39,592,Pacific,West,62798
CA,YUBA CITY UNIFIED SCHOOL DISTRICT,10,111069,12631,2887,2769,4358,2617,59521,40669,0,714,18138,38917,28903,23865,0,1604,3565,1934,2911,105173,99296,62550,22009,60595,40925,15015,33897,3609,3707,528,8359,17694,4804,2998,19,2860,83685,0,3064,100.0,11.4,2.6,53.6,36.6,35.0,26.0,4.7,1.7,7481.0,4713.0,1658.0,4566.0,3084.0,1131,2554.0,272,279,40,630,Pacific,West,60573
